Place,Title,Time,Payday,Pay,Date
서울 서대문,[슈펜 홍대점] 주2일(12시간)_주말(토일) 아르바이트_모집V,14:00~21:00,월급,"9,160",32분전
서울 영등포,[슈펜 용산점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",57분전
서울 용산구,[슈펜 용산점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",57분전
서울 영등포,[슈펜 용산점] 주2일(12시간)_주말(토일) 아르바이트_모집V,13:00~22:00,월급,"9,160",1시간전
서울 서대문,[슈펜 홍대점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",2시간전
서울 마포구,[슈펜 홍대점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",2시간전
서울 마포구,[슈펜 홍대점] 주2일(12시간)_주말(토일) 아르바이트_모집V,14:00~21:00,월급,"9,160",2시간전
서울 마포구,[슈펜 용산점] 주2일(12시간)_주말(토일) 아르바이트_모집V,14:00~21:00,월급,"9,160",3시간전
경기 성남시,[슈펜 야탑점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",3시간전
경기 안산시,[슈펜 고잔점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",3시간전
경기 안산시,[슈펜 고잔점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",3시간전
경기 고양시,[슈펜 고양 스타필드점]  주2일(12시간)_주말(토일) 아르바이트_모집V,14:00~21:00,월급,"9,160",3시간전
서울 구로구,[슈펜 가산점] 주2일(12시간)_주말(토일) 아르바이트_모집V,14:00~21:00,월급,"9,160",3시간전
서울 금천구,[슈펜 가산점] 주2일(12시간)_주말(토일) 아르바이트_모집V,14:00~21:00,월급,"9,160",3시간전
서울 동작구,[슈펜 강남역 1호점] 주2일(12시간)_주말(토일) 아르바이트_모집V,14:00~21:00,월급,"9,160",3시간전
서울 관악구,[슈펜 강남역 1호점] 주2일(12시간)_주말(토일) 아르바이트_모집V,14:00~21:00,월급,"9,160",3시간전
서울 관악구,[슈펜 강남역 1호점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",3시간전
서울 광진구,[슈펜 천호점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",05/14
서울 강동구,[슈펜 천호점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",05/14
경기 부천시,[슈펜 부천점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,월급,"2,014,440",05/13
