Place,Title,Time,Payday,Pay,Date
경기 시흥시,CU 시흥 정왕삼성점 (수목금1명) (토일1명) 알바 구해요 (19시~24,시간 협의,월급,"9,160",1분전
경기 수원시,CU 고등웰빙점 주말 오후스탭 구합니다,14:00~19:00,월급,"9,160",1분전
경기 과천시,CU과천제이드자이점 주말/평일 야간 및 평일 오후 스태프모집합니다,23:30~06:30,월급,"9,200",1분전
전북 익산시,야간알바구함(금-토주2일),24:00~08:30,월급,"9,160",1분전
충북 옥천군,CU 옥천 향수점   주말 야간 00시ㅡ08시  스태프 모집,16:00~24:00,월급,"9,160",1분전
경기 남양주,CU다산유승센트럴점에서 일요일 근무자를 구합니다,13:00~22:00,월급,"9,160",1분전
광주 광산구,"평일수,목,금  주3일 야간알바구함",24:00~07:00,월급,"9,160",1분전
서울 동작구,씨유 사당대림점에서 함께 일할 스태프 모집합니다(야간),시간 협의,월급,"9,300",1분전
경기 파주시,"CU파주금촌제일점에서 월,화 오전 STAFF 모집공고합니다.",06:00~13:00,월급,"9,160",1분전
충북 옥천군,CU 옥천 향수점  평일 오후 16시 ㅡ 00시 .(시간조율가능)스태프,16:00~24:00,월급,"9,160",1분전
충북 청주시,CU청주개신주공점에서 주말오전(08~16시) 아르바이트 모집합니다.,08:00~16:00,월급,"9,160",1분전
충남 천안시,[백석 리슈빌점]평일 야간 근무자 구합니다,00:00~08:00,월급,"9,160",1분전
울산 남구,(평일야간스탭구함)울산남구cu리치웰점,24:00~06:00,월급,"9,160",2분전
강원 강릉시,[주말오후]CU알펜시아리조트 2호점 스태프 모집,13:00~22:00,월급,"9,160",2분전
충북 청주시,"CU 청주 사직캐슬점 주말 야간(금,토)스태프 모집합니다",22:00~07:00,월급,"9,160",2분전
강원 원주시,"성실한 새벽( 토,일 1시~6시30분) 스태프 구합니다.",01:00~06:30,월급,"9,160",2분전
대구 달서구,CU월성은하점  야간(평일/주말) 아르바이트 모집,22:00~08:00,월급,"9,160",3분전
광주 서구,Cu상무중흥점  평일 야간 알바구함,22:00~08:00,월급,"9,160",3분전
서울 용산구,CU 용산 푸르지오 써밋점 토요일 야간 스태프 모집합니다.,22:00~09:00,월급,"10,000",3분전
경북 포항시,CU포항장성점 평일 수목 야간아르바이트 모집,22:00~06:00,월급,"9,160",3분전
서울 관악구,CU관악봉천점에서 주말야간근무자를 찾습니다,22:00~08:00,월급,"9,160",4분전
부산 해운대,송정태양점 주말야간 급구(금토),23:00~08:00,월급,"9,160",4분전
대전 대덕구,cu대전오정한남점  알바 구합니다,22:30~06:00,월급,"9,160",4분전
서울 강동구,평일 저녁(17:00-21:00) 스태프모집(2명),17:00~21:00,월급,"9,200",4분전
전북 익산시,"[금,토 야간]CU익산동산병원점 스태프 모집(19:00~07:00)",19:00~07:00,월급,"9,160",4분전
경기 화성시,평일야간 구함,23:00~09:00,월급,"9,160",5분전
인천 부평구,일요일   야간 근무자 모집,23:00~07:00,월급,"9,160",6분전
충북 청주시,주말스텝 구합니다,10:00~16:30,월급,"10,000",6분전
경기 포천시,평일오후근무자(수목금),18:00~23:00,월급,"9,160",6분전
부산 부산진,평일 저녁 아르바이트 모집,18:00~23:00,월급,"9,160",6분전
대구 수성구,CU범어월드메르디앙점  평일 야간  스태프 모집합니다.,22:00~08:00,월급,"9,160",7분전
서울 노원구,일 오후 아르바이트 구함,시간 협의,월급,"9,160",7분전
경기 성남시,성남우리점토.오후 일 오전 구합니다,13:00~22:00,월급,"9,160",7분전
경북 포항시,CU포항장성점 평일 일월화 야간아르바이트 모집,22:00~06:00,월급,"9,160",7분전
인천 계양구,"CU계양계산로점에서 함께 근무할분(평일 야간, 주말 오전) 모집합니다.",시간 협의,월급,"9,160",8분전
전북 익산시,CU원광대 스타점  주말(토.일)야간 아르바이트 모집- 편의점 알바 경력자,24:00~08:00,월급,"9,160",8분전
경기 남양주,cu호평천마스타점에서 함께 일할 주말야간 아르바이트생,23:00~08:00,월급,"9,160",9분전
경기 양주시,CU 양주경찰서점 주말 야간  스태프 모집 (내용필독),00:00~06:00,월급,"9,160",9분전
경기 남양주,성실히 함께 근무할 평일야간 근무자를 모집합니다.,23:00~07:00,월급,"9,160",9분전
경남 김해시,김해 cu 삼방점  야간  구합니다,23:00~08:00,월급,"9,160",9분전
