Place,Title,Time,Payday,Pay,Date
경기 동두천,GS네트웍스 남양주센타 피킹담당 모집,09:00~18:00,월급,"2,630,000",3시간전
경기 하남시,GS네트웍스 남양주센타 피킹담당 모집,09:00~18:00,월급,"2,630,000",3시간전
경기 의정부,GS네트웍스 남양주센타 피킹담당 모집,09:00~18:00,월급,"2,630,000",3시간전
경기 남양주,GS네트웍스 남양주센타 피킹담당 모집,09:00~18:00,월급,"2,630,000",3시간전
경기 부천시,[GS네트웍스 김포센타] 상품분류(상온/저온/중분류/냉동)담당 모집,시간 협의,월급,"2,540,000",3시간전
인천 계양구,[GS네트웍스 김포센타] 상품분류(상온/저온/중분류/냉동)담당 모집,시간 협의,월급,"2,540,000",3시간전
경기 김포시,[GS네트웍스 김포센타] 상품분류(상온/저온/중분류/냉동)담당 모집,시간 협의,월급,"2,540,000",3시간전
경기 고양시,[GS네트웍스 김포센타] 상품분류(상온/저온/중분류/냉동)담당 모집,시간 협의,월급,"2,540,000",3시간전
서울 송파구,GS네트웍스 송파 물류센터 피킹 부담당 모집,시간 협의,월급,"2,540,000",3시간전
서울 강동구,GS네트웍스 송파 물류센터 피킹 부담당 모집,시간 협의,월급,"2,540,000",3시간전
경기 성남시,GS네트웍스 송파 물류센터 야간 피킹 부담당 모집,시간 협의,월급,"2,910,000",3시간전
서울 광진구,GS네트웍스 송파 물류센터 야간 피킹 부담당 모집,시간 협의,월급,"2,910,000",3시간전
경기 김포시,GS네트웍스 고촌센타 피킹/검수담당 모집 (주간) /자차출근우대,09:00~18:00,월급,"2,240,000",3시간전
경기 고양시,GS네트웍스 고촌센타 피킹/검수담당 모집 (주간) /자차출근우대,09:00~18:00,월급,"2,240,000",3시간전
인천 서구,GS네트웍스 고촌센타 피킹/검수담당 모집 (주간) /자차출근우대,09:00~18:00,월급,"2,240,000",3시간전
인천 계양구,GS네트웍스 고촌센타 피킹/검수담당 모집 (주간) /자차출근우대,09:00~18:00,월급,"2,240,000",3시간전
인천 중구,GS네트웍스 인천센타 피킹담당 모집,시간 협의,월급,"2,540,000",3시간전
인천 연수구,GS네트웍스 인천센타 피킹담당 모집,시간 협의,월급,"2,540,000",3시간전
경기 김포시,GS네트웍스 인천센타 야간 피킹담당 모집(상온/저온),21:00~06:00,월급,"2,910,000",3시간전
인천 서구,GS네트웍스 인천센타 야간 피킹담당 모집(상온/저온),21:00~06:00,월급,"2,910,000",3시간전
경남 사천시,GS네트웍스 진주센타 피킹담당 모집,09:30~18:30,월급,"2,286,000",3시간전
경남 사천시,GS네트웍스 진주센타 피킹담당 모집,09:30~18:30,월급,"2,286,000",3시간전
경남 진주시,GS네트웍스 진주센타 피킹담당 모집,09:30~18:30,월급,"2,286,000",3시간전
경남 진주시,GS네트웍스 진주센타 피킹담당 모집,09:30~18:30,월급,"2,286,000",3시간전
제주 제주시,GS네트웍스 제주센타 피킹담당 모집,09:00~18:00,월급,"1,936,000",3시간전
제주 제주시,GS네트웍스 제주센타 피킹담당 모집,09:00~18:00,월급,"1,936,000",3시간전
제주 제주시,GS네트웍스 제주센타 피킹담당 모집,09:00~18:00,월급,"1,936,000",3시간전
제주 제주시,GS네트웍스 제주센타 피킹담당 모집,09:00~18:00,월급,"1,936,000",3시간전
강원 횡성군,[GS네트웍스 원주센타 피킹 및 입고검수 담당 모집],09:00~18:00,월급,"2,630,000",3시간전
충북 제천시,[GS네트웍스 원주센타 피킹 및 입고검수 담당 모집],09:00~18:00,월급,"2,630,000",3시간전
강원 원주시,[GS네트웍스 원주센타 피킹 및 입고검수 담당 모집],09:00~18:00,월급,"2,630,000",3시간전
강원 원주시,[GS네트웍스 원주센타 피킹 및 입고검수 담당 모집],09:00~18:00,월급,"2,630,000",3시간전
인천 서구,GS네트웍스 인천센타 피킹담당 모집,시간 협의,월급,"2,540,000",3시간전
서울 금천구,GS네트웍스 인천센타 피킹담당 모집,시간 협의,월급,"2,540,000",3시간전
경기 부천시,GS네트웍스 인천센타 야간 피킹담당 모집(상온/저온),21:00~06:00,월급,"2,910,000",3시간전
경기 부천시,GS네트웍스 인천센타 야간 피킹담당 모집(상온/저온),21:00~06:00,월급,"2,910,000",3시간전
경기 용인시,GS네트웍스 용인센타 피킹담당 모집,시간 협의,월급,"2,540,000",3시간전
경기 용인시,GS네트웍스 용인센타 피킹담당 모집,시간 협의,월급,"2,540,000",3시간전
경기 용인시,GS네트웍스 용인센타 피킹담당 모집,시간 협의,월급,"2,540,000",3시간전
경기 용인시,GS네트웍스 용인센타 피킹담당 모집,시간 협의,월급,"2,540,000",3시간전
