Place,Title,Time,Payday,Pay,Date
울산 남구,GS리테일 랄라블라 울산대점 주말  오후 부담당 구인,시간 협의,월급,"9,160",2시간전
전남 여수시,[GS리테일 H&B 랄라블라 여수여서점] 주말 오전 (10시-14시30분),10:00~14:30,월급,"9,160",3시간전
서울 강남구,GS리테일 H&B 랄라블라 신논현역점 평일 화 목 토마감 부담당 구인,시간 협의,월급,"9,160",3시간전
서울 강남구,GS리테일 H&B 랄라블라 신논현역점 평일 월 수 금마감 부담당 구인,시간 협의,월급,"9,160",3시간전
충남 천안시,GS리테일 H&B 랄라블라 천안중앙점 [월화토일 마감] 부담당 구인,17:00~22:00,월급,"9,160",4시간전
서울 강남구,GS 리테일 H&B 랄라블라 신논현역점 주말 오픈 부담당 구인,11:00~17:00,월급,"9,160",5시간전
경북 경산시,GS리테일 H&B) 랄라블라 영남대점  마감 부담당 구인,16:00~22:00,월급,"9,160",15시간전
경기 군포시,[GS리테일] 랄라블라 산본역점 평일오후 부담당 채용공고,18:00~22:00,월급,"9,160",05/23
서울 전체,GS리테일 랄라블라 합정메세나점 평일 오후 부담당 구인,17:00~20:30,월급,"9,160",05/22
충북 충주시,GS리테일 H&B사업부 랄라블라 충주연수점 주말 오전 부담당 구인 공고,11:00~14:30,월급,"9,160",05/21
경남 김해시,랄라블라 김해율하점 평일오후 구인합니다,16:00~19:00,월급,"9,160",05/20
서울 강남구,GS리테일 H&B 랄라블라 신논현역점 평일 마감 부담당 구인,시간 협의,월급,"9,160",05/20
서울 양천구,GS리테일 랄라블라 파리공원점 주말오픈 부담당 모집,10:00~17:00,월급,"9,160",05/18
경기 평택시,[GS리테일 H&B사업부문] 랄라블라 평택점 주말마감 부담당 채용,16:00~21:30,월급,"9,160",05/18
서울 강서구,랄라블라 까치산점 주말 마감 부담당 모집,17:00~20:00,월급,"9,160",05/16
강원 원주시,랄라블라 원주중앙점 평일 오픈 부담당 모집,10:00~15:30,월급,"9,160",05/16
강원 원주시,랄라블라 원주중앙점 주말 마감 부담당 모집,15:30~20:00,월급,"9,160",05/13
경기 군포시,Gs리테일 h&b 랄라블라 금정점 평일오후구인,17:30~21:00,월급,"9,160",05/12
경기 군포시,Gs리테일 h&b 랄라블라 금정점 평일오후구인,17:30~21:00,월급,"9,160",05/10
경기 평택시,[GS리테일 H&B사업부문] 랄라블라 평택점 주말마감 부담당 채용,16:00~21:30,월급,"9,160",05/09
서울 강남구,GS리테일 H&B 랄라블라 신논현역점 평일 마감 부담당 구인,18:00~21:00,월급,"9,160",05/08
