Place,Title,Time,Payday,Pay,Date
경기 수원시,"신입(트레이니) 정규직 신입바리스타 모집 (커피교육 진행, 아르바이트X)",07:00~23:00,월급,"9,800",8분전
서울 서초구,[폴 바셋 서초본점] 정규 신입 바리스타 모집,06:30~22:00,월급,"9,800",19분전
서울 전체,정규 신입(트레이니) 바리스타 모집,09:30~22:30,월급,"9,800",24분전
서울 송파구,[폴바셋/위례점]정규직 신입(트레이니) 바리스타 모집,09:00~23:00,월급,"9,800",24분전
서울 전체,"[폴바셋 롯데백화점 강남점] 정규직 바리스타 모집 (시급 9,800원)",08:00~22:00,월급,"9,800",39분전
대구 동구,(평일/주말) 신세계백화점 크리스탈제이드(중식당) 아르바이트 채용공고,11:30~20:30,월급,"9,260",43분전
서울 전체,"양식레스토랑 설거지(주방보조,세정) 도우미 모집",12:00~21:00,월급,"1,914,440",46분전
부산 해운대,정규 신입(트레이니) 바리스타 모집,09:30~21:30,월급,"9,800",51분전
서울 전체,[매일유업계열] 이탈리안 레스토랑 설거지(세정) 도우미 모집,10:30~21:30,월급,"9,160",1시간전
서울 강서구,[폴바셋]현대아울렛 김포점 신입 바리스타 모집(교통비20만원별도지급),08:00~22:00,월급,"9,800",1시간전
서울 종로구,[폴바셋 종각역점] 정규 바리스타 모집 (시급9800원),시간 협의,월급,"9,800",1시간전
경기 용인시,[이탈리안레스토랑] 설거지 도우미 모집(교통비 월 20만 별도지급),시간 협의,월급,"9,160",1시간전
서울 광진구,폴 바셋 신입 바리스타 모집(수서역점),06:30~23:00,월급,"9,800",1시간전
서울 서초구,[폴 바셋 서초본점] 정규 신입 바리스타 모집,06:30~22:00,월급,"9,800",2시간전
서울 서초구,[폴바셋 파미에스테이션점] 정규 신입(트레이니) 바리스타 모집,07:00~23:00,월급,"9,800",2시간전
서울 영등포,[폴바셋 롯데마트 양평점] 정규직 신입 바리스타 모집 ( 아르바이트X ),09:00~23:00,월급,"9,800",2시간전
서울 전체,"양식레스토랑 설거지(주방보조,세정) 도우미 모집",12:00~21:00,월급,"1,914,440",2시간전
경기 성남시,[폴 바셋 AK플라자 분당점] 평일 6시간 파트타이머 모집,11:00~17:30,월급,"9,160",2시간전
서울 광진구,[폴바셋 수서역점] 바리스타 모집(신입가능 /시급 : 9800원),06:30~23:00,월급,"9,800",2시간전
서울 전체,이탈리안 레스토랑 주방보조원 채용(설거지/주방보조),11:00~20:00,월급,"1,914,440",2시간전
경북 경산시,[경산임당DT] 오픈 매장 폴바셋 바리스타 모집(신입/경력),시간 협의,월급,"9,800",2시간전
서울 강서구,[폴 바셋 강서부민병원점] 정규직 신입 바리스타 모집,06:30~21:00,월급,"9,800",2시간전
경북 구미시,[신규오픈] 프리미엄 커피전문점 정규직 바리스타 채용,07:00~22:00,월급,"9,800",2시간전
서울 강남구,[폴 바셋 청담역점] 정규직 신입 바리스타 모집,07:00~23:00,월급,"9,800",2시간전
서울 서초구,[폴 바셋 뉴코아강남점] 정규 신입(트레이니) 바리스타 모집,07:00~23:00,월급,"9,800",2시간전
경기 용인시,정규 신입(트레이니) 바리스타 모집,07:00~22:00,월급,"9,800",2시간전
서울 전체,[폴 바셋 페럼타워점] 정규 신입(트레이니) 바리스타 모집,06:30~23:00,월급,"9,800",2시간전
서울 마포구,[폴 바셋 AK&홍대점] 정규직 신입 바리스타 모집(아르바이트X),시간 협의,월급,"9,800",2시간전
서울 영등포,[폴 바셋 국회대로점] 여의도지역 정규직 신입(트레이니) 바리스타 모집,06:30~23:00,월급,"9,800",2시간전
경기 평택시,[주말PT] 주말파트타이머 모집,14:30~21:00,월급,"9,160",2시간전
경기 여주시,[주말] 폴 바셋 신세계 여주점 주말 파트타이머 모집,12:00~19:00,월급,"9,160",2시간전
서울 서초구,[폴바셋 파미에스테이션점] 정규 신입(트레이니) 바리스타 모집,07:00~23:00,월급,"9,800",3시간전
서울 서초구,"[폴바셋 강남삼성타운점] 바리스타 모집(신입/경력 시급 9,800원)",06:30~23:00,월급,"9,800",3시간전
대구 동구,(주말) 신세계백화점 크리스탈제이드(중식당) 아르바이트 채용공고,11:30~20:30,월급,"9,260",3시간전
경기 의정부,정규직 신입(트레이니) 바리스타 모집,시간 협의,월급,"9,800",3시간전
서울 서초구,[폴바셋 파미에스테이션점] 정규 신입(트레이니) 바리스타 모집,07:00~23:00,월급,"9,800",3시간전
서울 영등포,폴바셋 역삼GFC점 정규직 바리스타 채용,06:30~23:00,월급,"9,800",3시간전
서울 성동구,정규 신입 바리스타 모집(알바x),06:30~23:00,월급,"9,800",3시간전
서울 동작구,폴바셋 역삼GFC점 정규직 바리스타 채용,06:30~23:00,월급,"9,800",3시간전
서울 송파구,폴바셋 역삼GFC점 정규직 바리스타 채용,06:30~23:00,월급,"9,800",3시간전
