Place,Title,Time,Payday,Pay,Date
경기 남양주,롯데마트덕소/더페이스샵/이자녹스 아르바이트 채용,17:00~23:00,월급,"9,160",9분전
경기 수원시,수원역/롯데마트/엘지화장품/이자녹스/수려한/비욘드/더페이스샵,18:30~21:30,월급,"9,160",2시간전
경북 구미시,홈플러스 구미점 엘지화장품/비욘드/더페이스샵 직원 구합니다,10:00~14:00,월급,"9,160",16시간전
경기 성남시,더페이스샵 세이브존 알바모집합니다.,09:30~14:30,월급,"9,160",05/21
경북 포항시,네이처컬렉션(더페이스샵)탑마트우현점 주말알바 모집합니다.,시간 협의,월급,"9,160",05/21
부산 기장군,더페이스샵 판매  아르바이트 구함,17:00~22:00,월급,"9,160",05/19
경북 영천시,네이처컬렉션 영천언하점,11:00~09:00,월급,"9,160",05/19
광주 북구,"매장관리,판매",10:30~16:00,월급,"9,160",05/18
경남 전체,알바 구함(NC창원반송시장점),시간 협의,월급,"9,160",05/17
인천 중구,더페이스샵 알바구함,10:00~12:00,월급,"9,160",05/16
광주 서구,네이처컬렉션유스퀘어점 직원구합니다,09:00~21:00,월급,"9,160",05/16
경기 용인시,이마트 동백점 LG화장품 이자녹스 매장 알바구합니다~,06:30~11:00,월급,"9,160",05/15
전남 광양시,네이처컬렉션(더페이스샵) 동광양하나로점 직원 구합니다.,시간 협의,월급,"9,160",05/15
서울 전체,네이처컬렉션(더페이스샵) 잠실지하상가점 직원구해요,09:30~22:00,월급,"9,160",05/14
서울 송파구,더페이스샵(네이처컬렉션) 동종업계 경력자 구함,시간 협의,월급,"11,000",05/13
부산 기장군,더페이스샵 판매  아르바이트 구함,17:00~22:00,월급,"9,160",05/13
경기 성남시,더페이스샵 성남세이브존 알바모집합니다.,09:30~14:30,월급,"9,160",05/08
부산 기장군,급구 더페이스샵 판매  아르바이트 구함,17:00~22:00,월급,"9,160",05/08
