Place,Title,Time,Payday,Pay,Date
경기 김포시,SSG.COM(트레이더스 김포점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",56분전
경기 용인시,[동백점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",2시간전
경기 수원시,[서수원점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",2시간전
충남 천안시,[펜타포트점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",2시간전
경북 구미시,[동구미점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",3시간전
광주 광산구,[광산점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",6시간전
충남 천안시,[천안서북점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",6시간전
전남 목포시,[목포점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",6시간전
부산 사상구,[사상점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",23시간전
부산 연제구,[트레이더스 연산점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/23
경북 김천시,[김천점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/23
인천 중구,SSG.COM(동인천점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",05/22
강원 강릉시,SSG.COM(쓱닷컴) 물류 피킹패킹 스태프(주5일 근무),08:00~16:00,월급,"10,260",05/21
서울 강남구,SSG.COM(역삼점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",05/21
세종 가람동,[세종점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/21
충남 서산시,[서산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/21
경기 군포시,SSG.COM(트레이더스 군포점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/20
충남 아산시,[아산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/20
경기 오산시,[오산점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",05/20
경기 안성시,[안성점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/20
경기 수원시,[서수원점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",05/20
서울 강동구,SSG.COM(명일점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",05/20
경기 안성시,[TRADERS안성점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/20
충남 보령시,[보령점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/20
경기 광명시,SSG.COM(광명소하점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",05/17
경기 남양주,[진접점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/16
대구 수성구,[만촌점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/15
부산 해운대,[해운대점]SSG.COM 스태프(주5일 근무) 모집,14:00~22:00,월급,"10,260",05/14
인천 동구,[TRADERS 송림점]SSG.COM 스태프(주5일 근무)모집,08:00~16:00,월급,"9,990",05/14
서울 영등포,"[영등포점] SSG.COM 스태프 사원 모집(주 5일, 일 7시간 근무)",08:00~16:00,월급,"9,990",05/14
서울 송파구,SSG.COM(가든파이브점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",05/14
서울 성동구,SSG.COM(성수점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",05/14
경기 과천시,SSG.COM(과천점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,월급,"10,260",05/14
경기 군포시,SSG.COM[산본점] 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/14
경기 안양시,SSG.COM[평촌점] 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/14
경기 하남시,SSG.COM(트레이더스 하남점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,월급,"11,240",05/14
경기 하남시,SSG.COM(트레이더스 위례점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,월급,"11,240",05/14
경기 부천시,SSG.COM(트레이더스 부천점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/14
경기 수원시,[TRADERS수원점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/14
경기 화성시,[화성봉담점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,월급,"10,260",05/14
