Place,Title,Time,Payday,Pay,Date
서울 용산구,고디바 아모레타워점  주말(12-18) 근무자 채용,12:00~18:00,월급,"9,160",3시간전
서울 강남구,[고디바 코엑스몰] 직원 및 아르바이트 모집합니다~,시간 협의,월급,"9,160",3시간전
서울 용산구,고디바 아모레타워점 평일 하루(11-14)+토(13-18),13:00~18:00,월급,"9,160",4시간전
서울 용산구,고디바 아모레타워점 평일 하루(11-14)+일(14-17),14:00~17:00,월급,"9,160",7시간전
경기 성남시,고디바 분당 정자점 아르바이트 구인,시간 협의,월급,"9,160",19시간전
서울 서초구,[고디바 삼성타운점] 음료 제조 및 초콜릿 판매 아르바이트 모집,시간 협의,월급,"9,160",05/18
서울 서초구,[고디바 삼성타운점] 음료 제조 및 초콜릿 판매 아르바이트 모집,시간 협의,월급,"9,160",05/18
서울 강남구,고디바 현대압구정점에서 아르바이트 구합니다.,시간 협의,월급,"9,160",05/18
경기 김포시,고디바 현대김포아울렛 주말 아르바이트 모집,12:30~20:00,월급,"10,000",05/18
서울 송파구,고디바 잠실에비뉴엘 스태프 모집합니다,시간 협의,월급,"9,160",05/18
서울 강남구,고디바 현대압구정점에서 아르바이트 구합니다.,시간 협의,월급,"9,160",05/14
경기 김포시,고디바 현대김포아울렛 주말 아르바이트 모집,12:30~20:00,월급,"10,000",05/14
서울 송파구,고디바 잠실에비뉴엘 스태프 모집합니다,시간 협의,월급,"9,160",05/14
경기 김포시,고디바 현대김포아울렛 주말 아르바이트 모집,12:30~20:00,월급,"10,000",05/14
경기 용인시,롯데몰수지점  주말 스탭 모집,시간 협의,월급,"9,160",05/14
서울 강남구,고디바 현대압구정점에서 아르바이트 구합니다.,시간 협의,월급,"9,160",05/14
서울 강남구,고디바 현대압구정점에서 아르바이트 구합니다.,시간 협의,월급,"9,160",05/13
서울 서초구,[고디바 삼성타운점] 음료 제조 및 초콜릿 판매 아르바이트 모집,시간 협의,월급,"9,160",05/12
경기 김포시,고디바 현대김포아울렛 주말 아르바이트 모집,12:30~20:00,월급,"10,000",05/12
서울 송파구,고디바 잠실에비뉴엘 스태프 모집합니다,시간 협의,월급,"9,160",05/12
서울 서초구,[고디바 삼성타운점] 음료 제조 및 초콜릿 판매 아르바이트 모집,시간 협의,월급,"9,160",05/12
