Place,Title,Time,Payday,Pay,Date
울산 남구,"주방 정직원, 홀 알바 (평일/주말) 모집",14:00~24:00,월급,"3,000,000",7분전
전북 전주시,[고반식당 전주에코시티점]  직원 / 아르바이트(주방 및 홀서빙) 모집합니다,시간 협의,월급,"9,500",15분전
경기 안산시,[고반식당 안산고잔점]  정직원 및 아르바이트  모집,시간 협의,월급,"10,000",27분전
전남 순천시,고반식당 순천조례점 / 매니져/주방/주방보조/홀서빙 모집합니다.,13:00~24:00,월급,"10,500",2시간전
경기 양주시,고반식당 양주옥정점 매니저(정직원) / 파트타이머(계약직) 모집,시간 협의,월급,"11,000",7시간전
경기 안산시,[고반식당 안산고잔점]  정직원 및 아르바이트  모집,시간 협의,월급,"10,000",7시간전
경기 안산시,[고반식당 안산고잔점]  아르바이트  모집,시간 협의,월급,"10,000",11시간전
경기 수원시,홀서빙(요일협의-평일/주말) 파트타이머를 모집합니다.,17:00~22:00,월급,"11,000",14시간전
울산 남구,"주방 정직원, 홀 알바 (평일/주말) 모집",14:00~24:00,월급,"3,000,000",05/21
경기 하남시,고반식당 하남미사망월점  홀 직원  컴컴컴 ㅣ분위기 좋은 곳ㅣ보너스많은곳ㅣ,시간 협의,월급,"13,000",05/21
울산 남구,홀/주방정직원(10시간) 주방파트직원(7시간) 홀 주말알바 모집,14:00~24:00,월급,"3,000,000",05/21
경기 안산시,고반식당 송산그린시티점 홀 직원 & 주방보조 모집합니다.,시간 협의,월급,"10,000",05/20
전남 순천시,[고반식당 순천조례점] 매니져/홀서빙 정규직 및 파트타이머 모집합니다.,15:00~24:00,월급,"2,400,000",05/20
서울 송파구,고반식당 송파방이점에서 홀 직원 및 파트타임(알바) 모집합니다.,시간 협의,월급,"2,400,000",05/17
서울 송파구,고반식당 송파방이점에서 홀 직원 및 파트타임(알바) 모집합니다.,시간 협의,월급,"2,400,000",05/17
서울 송파구,고반식당 송파방이점에서 홀 직원 및 파트타임(알바) 모집합니다.,시간 협의,월급,"2,400,000",05/17
경기 수원시,홀서빙(요일협의-평일/주말) 파트타이머를 모집합니다.,17:00~22:00,월급,"11,000",05/10
경기 수원시,홀서빙(요일협의-평일/주말) 파트타이머를 모집합니다.,17:00~22:00,월급,"11,000",05/10
경기 수원시,홀서빙(요일협의-평일/주말) 파트타이머를 모집합니다.,17:00~22:00,월급,"11,000",05/10
경기 평택시,"홀 매니저, 주방장,주방보조, 파트타이머, 주말알바 모집",시간 협의,월급,"2,600,000",05/10
경기 평택시,"홀 매니저, 주방장,주방보조, 파트타이머, 주말알바 모집",시간 협의,월급,"2,600,000",05/10
경기 평택시,"홀 매니저, 주방장,주방보조, 파트타이머, 주말알바 모집",시간 협의,월급,"2,600,000",05/09
