Place,Title,Time,Payday,Pay,Date
서울 관악구,"서울대입구 노랑통닭 홀 알바 모집 (시급10,000원)(토일 알바)",시간 협의,월급,"10,000",3분전
경기 양주시,"노랑통닭 옥정, 주방 정직원 공고",14:00~24:00,월급,"2,500,000",4분전
서울 관악구,서울대입구 노랑통닭 정직원 모집(급여280만원) 숙소지원 지방분 환영,16:00~03:00,월급,"2,800,000",4분전
인천 서구,노랑통닭 검단사거리점 주방정직원  홀알바,15:00~00:00,월급,"2,700,000",10분전
전남 나주시,노랑통닭나주혁신점 홀서빙주방구합니다(시간요일협의가능),17:00~00:30,월급,"10,000",20분전
인천 남동구,노랑통닭 주방알바구함,17:00~00:00,월급,"9,160",34분전
인천 남동구,노랑통닭 홀알바구함,18:00~21:00,월급,"9,200",35분전
인천 남동구,노랑통닭 주방알바구함,17:00~00:00,월급,"11,000",36분전
서울 관악구,[신림]노랑통닭 홀서빙 알바 모집,18:00~01:00,월급,"9,600",54분전
경기 안산시,노랑통닭 상록수점  주방정직원 구합니다 주6일 9시간씩 근무,시간 협의,월급,"2,200,000",54분전
경기 안산시,노랑통닭 상록수점  홀정직원 구합니다~ 주6일 9시간씩 근무,시간 협의,월급,"2,200,000",54분전
서울 강남구,"노랑통닭 논현점에서 주 5일, 6일 직원 구인 합니다(숙소제공)",02:30~01:30,월급,"3,100,000",1시간전
경기 고양시,단순 주방알바 구합니다.,18:00~23:00,월급,"10,000",1시간전
서울 은평구,노랑통닭 연신내 점에서  직원 주방보조  분을 모집합니다,시간 협의,월급,"2,700,000",1시간전
서울 은평구,노랑통닭 연신내 점에서  홀 알바생분을 모집합니다,21:00~01:00,월급,"10,000",1시간전
서울 강북구,노랑통닭 수유점에서  점장 구합니다.,16:00~02:30,월급,"3,000,000",1시간전
서울 강동구,길동점에서 직원및 알바를 구합니다.,14:00~01:00,월급,"2,800,000",1시간전
서울 구로구,노랑통닭 구로디지털점 에서 직원 모집 합니다,18:00~03:00,월급,"2,600,000",1시간전
서울 구로구,노랑통닭 구로디지털점에서 직원 모집 합니다,16:00~03:00,월급,"2,900,000",1시간전
경남 창원시,노랑통닭 반지점 주말 홀 알바 모십니다.,18:00~24:00,월급,"10,000",1시간전
경기 양주시,"노랑통닭 옥정, 주방 정직원 공고",14:00~24:00,월급,"2,500,000",1시간전
서울 구로구,노랑통닭 구로디지털점 에서 직원 모집 합니다,18:00~03:00,월급,"2,600,000",1시간전
인천 미추홀,알바 모집합니다,18:00~23:00,월급,"10,000",2시간전
경기 구리시,"구리 돌다리점 노랑통닭 신규오픈(6월15~25일오픈) 직원,알바생 모집합니다",시간 협의,월급,"2,900,000",2시간전
서울 성동구,"여알바,남직원(숙식제공),여직원을 모십니다.",시간 협의,월급,"3,000,000",2시간전
서울 강북구,홀서빙 주말알바 구해요 (금.토.일),19:00~01:00,월급,"10,000",2시간전
경기 안양시,노랑통닭 범계역점에서 주방 아르바이트 모집합니다.,17:00~22:00,월급,"11,000",2시간전
인천 연수구,노랑통닭 송도점에서 직원분 구합니다,15:00~01:00,월급,"2,600,000",3시간전
경기 하남시,노랑통닭 미사1호점 주방직원,15:00~01:00,월급,"2,800,000",3시간전
경기 하남시,노랑통닭 미사1호점 홀알바 모집 (금토),18:00~23:00,월급,"9,500",3시간전
경기 하남시,노랑통닭 미사1호점 홀알바 모집 (금토일),18:00~23:00,월급,"9,500",3시간전
경기 안양시,노랑통닭 범계역점에서 주방 직원 월6회휴무가능 모집합니다.,16:00~01:00,월급,"2,700,000",3시간전
경기 성남시,"노랑통닭 위례점 주말알바(토, 일) 모집합니다.",17:00~22:00,월급,"10,000",3시간전
경기 성남시,"노랑통닭 위례점 홀알바( 수, 목, 금 )모집합니다.",18:00~23:00,월급,"10,000",3시간전
서울 영등포,노랑통닭 영등포역점 마감직원 구합니다,18:00~03:00,월급,"2,600,000",3시간전
서울 영등포,노랑통닭 영등포역점 직원 구합니다,16:00~03:00,월급,"2,900,000",3시간전
서울 영등포,노랑통닭 영등포역점 직원 구합니다,16:00~03:00,월급,"2,900,000",3시간전
서울 영등포,"노랑통닭 영등포역점  금,토,일 주말알바 구합니다",18:00~23:00,월급,"10,000",3시간전
서울 강북구,(숙식제공)노랑통닭 미아점에서 정직원 모집,15:30~01:30,월급,"2,800,000",3시간전
서울 중랑구,노랑통닭 석계역점 에서 홀 아르바이트생을 모집합니다,17:00~23:00,월급,"9,200",3시간전
