Place,Title,Time,Payday,Pay,Date
전북 남원시,다이소 남원본점 2교대 근무 채용,10:00~16:00,월급,"9,160",1분전
경기 광주시,다이소 상상초월마트광주점에서 직원을 모집합니다.,09:00~18:00,월급,"1,914,440",1분전
전북 전주시,다이소 전주터미널점 2교대근무/ 파트직원 모집,10:00~16:00,월급,"9,160",2분전
전북 익산시,다이소 익산배산점 2교대근무 /  파트 채용,10:00~16:00,월급,"9,160",4분전
강원 춘천시,다이소 춘천온의점 직원 모집(식비 지원),09:00~18:00,월급,"1,914,440",6분전
전남 광양시,다이소 동광양점 2교대근무 / 파트직원 모집,10:00~16:00,월급,"9,160",7분전
강원 춘천시,다이소 춘천명동점 파트직원 모집(식비 지원),09:00~15:00,월급,"9,160",7분전
전남 순천시,다이소순천왕지점 2교대 파트 채용,10:00~16:00,월급,"9,160",8분전
전남 여수시,다이소 여수여서점 2교대 근무 / 파트직원 채용,10:00~16:00,월급,"9,160",9분전
강원 춘천시,다이소 춘천거두점 직원 모집 (식비 지원),09:00~18:00,월급,"1,914,440",10분전
강원 춘천시,다이소 춘천거두점 파트직원 모집 (식비 지원),09:00~15:00,월급,"9,160",11분전
전남 목포시,다이소 목포본점(석현동)  2교대근무 / 파트채용,10:00~16:00,월급,"9,160",12분전
강원 춘천시,롯데마트석사점 파트직원 모집,09:00~22:00,월급,"9,160",13분전
전남 목포시,다이소 목포 옥암점 파트 직원 모집 (2교대 근무),10:00~16:00,월급,"9,160",14분전
광주 광산구,다이소 광주하남지구점 2교대근무 / 파트타임 채용,10:00~16:00,월급,"9,160",16분전
경남 창원시,다이소 창원상남본점 임시사원 모집[오전/오후 교대근무],09:00~18:00,월급,"1,914,440",17분전
광주 전체,다이소 광주봉선2호점 2교대 근무 / 파트직원 모집,10:00~16:00,월급,"9,160",19분전
광주 광산구,다이소 광주첨단점 2교대근무 / 파트직원 모집,10:00~16:00,월급,"9,160",20분전
경남 통영시,다이소 통영무전점 파트사원 모집(오전/오후 로테이션 근무),10:00~16:00,월급,"9,160",21분전
광주 서구,다이소 광주상무점 2교대근무 채용,10:00~16:00,월급,"9,160",21분전
경남 진주시,다이소 진주대안점 임시사원 모집[오전/오후 교대근무],09:00~18:00,월급,"1,914,440",22분전
광주 북구,다이소 동광주점 2교대근무 / 파트타임 채용,10:00~16:00,월급,"9,160",23분전
경남 창원시,다이소 롯데마트양덕점 파트사원 모집 [오전/오후 교대근무],09:00~15:00,월급,"9,160",23분전
부산 사하구,다이소 부산하단2호점 파트사원 모집 [오전 근무],09:00~15:00,월급,"9,160",24분전
부산 남구,다이소 부산경성대점 임시사원 모집 [오전/오후 교대근무],07:00~16:00,월급,"1,914,440",25분전
부산 중구,다이소 부산국제시장점 파트사원 모집[오전 파트 7시~13시],07:00~13:00,월급,"9,160",26분전
부산 사하구,다이소 부산다대점 파트사원 모집 [오전/오후 교대 근무 ],09:00~15:00,월급,"9,160",26분전
부산 사하구,다이소 부산괴정점 파트사원 모집,12:00~18:00,월급,"9,160",27분전
인천 남동구,다이소 인천모래내시장점 오후 계산대 파트직원모집(식비지원),16:00~22:00,월급,"9,160",29분전
부산 부산진,다이소 부산개금점 파트사원 모집 [오전 파트],06:30~12:30,월급,"9,160",30분전
인천 남동구,다이소 인천모래내시장점 직원모집(식비지원),09:30~18:30,월급,"1,914,440",31분전
경기 군포시,다이소 롯데피트인 산본점 직원모집(식대지원),09:00~18:00,월급,"1,914,440",44분전
경기 포천시,다이소 포천송우사거리점에서 함께 근무하실 직원을 모집합니다.,08:00~17:00,월급,"2,114,440",45분전
경기 안성시,"다이소 안성옥산점 계약직모집(백신유급휴가,식대,주휴수당 지급)",시간 협의,월급,"9,160",47분전
광주 전체,다이소 광주봉선2호점 2교대 근무 / 파트직원 모집,10:00~16:00,월급,"9,160",47분전
경기 안산시,다이소 성대유통안산점 파트사원모집,08:30~14:30,월급,"9,160",53분전
경기 안성시,"다이소 안성옥산점 파트모집(백신유급휴가,식대,주휴수당 지급)",시간 협의,월급,"9,160",54분전
서울 강북구,다이소 대지시장점 파트 구합니다,07:00~13:00,월급,"9,160",57분전
경기 하남시,"다이소 하남미사점 직원 모집 (식대 지급, 연차 발생, 주휴수당)",08:00~17:00,월급,"1,914,440",1시간전
서울 강북구,다이소 대지시장점 파트사원 구합니다,12:00~18:00,월급,"9,160",1시간전
