Place,Title,Time,Payday,Pay,Date
인천 부평구,일신동 나이키FOS 팩토리 (정규직) 직원모집합니다,10:30~21:30,월급,"2,130,000",2분전
강원 원주시,[나이키 원주단구동 프리미엄아울렛점] 정규직 판매사원 채용 (주 5일제),10:30~21:30,월급,"2,130,000",25분전
인천 부평구,일신동 나이키FOS 팩토리 (정규직) 직원모집합니다,10:30~21:30,월급,"2,130,000",42분전
인천 부평구,일신동 나이키FOS 팩토리 (정규직) 직원모집합니다,10:30~21:30,월급,"2,130,000",47분전
인천 부평구,[인천 아이즈빌점] 나이키 정규직 판매사원 채용,시간 협의,월급,"2,130,000",1시간전
서울 마포구,[조던 홍대점] 정규직 판매/서비스 사원 채용,11:00~22:30,월급,"2,200,000",1시간전
서울 영등포,[나이키 타임스퀘어점] 나이키 정규직 판매사원 채용,시간 협의,월급,"2,160,000",1시간전
서울 영등포,[나이키 타임스퀘어점] 나이키 정규직 판매사원 채용,시간 협의,월급,"2,160,000",1시간전
전국 전체,[나이키 스타필드 하남 �g드림점] 정규직 판매사원 채용,10:00~20:00,월급,"2,160,000",1시간전
경기 안성시,[안성스타필드나이키]주말알바 (주말2일 7시간근무) -사진 첨부 필수-,시간 협의,월급,"9,200",1시간전
서울 영등포,[나이키 타임스퀘어점] 나이키 정규직 판매사원 채용,시간 협의,월급,"2,160,000",1시간전
경기 수원시,[갤러리아광교점] 나이키 정규직 판매사원 채용,10:00~20:00,월급,"2,080,000",1시간전
충남 천안시,[신세계 천안아산점] 나이키 정규직 판매사원 채용,09:30~20:00,월급,"2,080,000",2시간전
충남 천안시,"[모다아울렛천안점] 나이키 정규직 모집(주5일, 평일휴무)",11:00~21:00,월급,"2,100,000",2시간전
경기 이천시,[이천점]중앙통 나이키 정규직 판매사원 채용(경력급여 a)[1주2회 휴무],10:00~21:00,월급,"2,130,000",2시간전
대전 유성구,나이키 신세계백화점 Art&Science(대전) 정규직 판매 사원 채용,09:30~20:00,월급,"2,080,000",2시간전
대전 유성구,나이키 신세계백화점 Art&Science(대전) 정규직 판매 사원 채용,09:30~20:00,월급,"2,080,000",2시간전
대전 유성구,나이키 신세계백화점 Art&Science(대전) 정규직 판매 사원 채용,09:30~20:00,월급,"2,080,000",2시간전
대전 유성구,나이키 신세계백화점 Art&Science(대전) 정규직 판매 사원 채용,09:30~20:00,월급,"2,080,000",2시간전
경기 하남시,[스타필드 신세계 하남] 나이키(주5.5일) 매장 정규직/파트타임 판매사원,10:00~20:00,월급,"2,160,000",3시간전
경기 부천시,[나이키 스타필드시티 부천점] 정규직 판매사원 채용,10:00~22:00,월급,"2,160,000",3시간전
충북 충주시,[충주점] 나이키 정규직 판매사원 채용,시간 협의,월급,"2,130,000",4시간전
광주 서구,[신세계 광주점] 나이키 정규직 판매사원 채용,10:00~20:30,월급,"2,080,000",4시간전
대구 전체,[신세계 대구점] 나이키 정규직 판매사원 채용,10:00~20:30,월급,"2,080,000",4시간전
서울 마포구,[조던 홍대점] 정규직 판매/서비스 사원 채용,11:00~22:30,월급,"2,200,000",4시간전
경기 고양시,[스타필드 고양점]나이키 정규직 판매사원 채용,시간 협의,월급,"2,160,000",5시간전
충남 천안시,"[모다아울렛천안점] 나이키 정규직 모집(주5일, 평일휴무)",11:00~21:00,월급,"2,100,000",5시간전
서울 영등포,[나이키 타임스퀘어점] 나이키 파트타이머(주말) 채용,13:00~20:00,월급,"9,200",5시간전
경기 성남시,[성남 신흥점] 나이키 정규직 판매사원 채용,11:00~22:00,월급,"2,130,000",6시간전
경기 시흥시,[시흥점] 나이키 정규직 판매사원 채용,10:00~21:00,월급,"2,130,000",6시간전
경기 시흥시,[시흥점] 나이키 정규직 판매사원 채용,10:00~21:00,월급,"2,130,000",6시간전
서울 마포구,[조던 홍대점] 정규직 판매/서비스 사원 채용,11:00~22:30,월급,"2,200,000",6시간전
인천 부평구,일신동 나이키FOS 팩토리 (정규직) 직원모집합니다,10:30~21:30,월급,"2,130,000",7시간전
서울 마포구,[조던 홍대점] 정규직 판매/서비스 사원 채용,11:00~22:30,월급,"2,200,000",7시간전
서울 마포구,[조던 홍대점] 정규직 판매/서비스 사원 채용,11:00~22:30,월급,"2,200,000",7시간전
경기 하남시,[스타필드 신세계 하남] 나이키(주5.5일) 매장 정규직/파트타임 판매사원,10:00~20:00,월급,"2,160,000",7시간전
경기 부천시,[나이키 스타필드시티 부천점] 정규직 판매사원 채용,10:00~22:00,월급,"2,160,000",8시간전
인천 부평구,[인천 부평점] 나이키 정규직 판매사원 채용,10:30~22:00,월급,"2,130,000",8시간전
서울 서초구,[나이키 신세계 강남 스포츠] 정규직 판매사원 채용,시간 협의,월급,"2,080,000",8시간전
광주 서구,[광주 세정아울렛점] 나이키 정규직 판매사원 채용,10:30~21:00,월급,"2,080,000",8시간전
