Place,Title,Time,Payday,Pay,Date
경기 하남시,롤링파스타 미사점에서 주방직원 모집합니다(주5일가능),10:00~22:00,월급,"2,900,000",1분전
경기 용인시,(주5일)홀서빙 오전 파트타임 알바 구합니다(평일),10:00~16:00,월급,"11,000",1분전
경기 하남시,"롤링파스타 미사점에서 평일,주말 홀아르바이트 홀직원 모집합니다",시간 협의,월급,"2,500,000",2분전
서울 금천구,백스비어  알바구해요.,19:00~23:00,월급,"10,000",2분전
서울 강서구,주방 일당 모집,09:30~21:30,일급,"130,000",2분전
서울 강서구,남 주방 경력직원 모집(일반음식점 경력자환영),09:30~21:30,월급,"3,100,000",2분전
서울 강서구,"남 주방 신입직원 모집(완전초보가능, 외국인가능, 나이무관)",09:30~21:30,월급,"3,100,000",2분전
서울 강서구,"남 주방 알바 모집(완전초보가능, 외국인가능, 나이무관)",09:30~21:30,월급,"11,000",2분전
대구 달서구,수토일 저녁 홀 파트타임 채용합니다.,16:00~21:00,월급,"9,160",2분전
경기 용인시,주방 주말 풀타임 알바 구합니다(주말),10:00~21:00,일급,"110,000",2분전
경기 용인시,홀서빙 주말 풀타임 알바 구합니다(주말),12:00~20:00,월급,"10,000",3분전
서울 금천구,백스비어  알바구해요.,19:00~23:00,월급,"10,000",3분전
서울 성북구,롤링파스타 성신여대점 주4일 주방직원 구합니다 ~,10:00~21:30,월급,"9,160",4분전
서울 성북구,롤링파스타 성신여대점 주방직원 구합니다 ~,10:00~21:30,월급,"2,250,000",5분전
서울 금천구,백스비어 주말알바 구해요.,18:00~23:00,월급,"10,000",5분전
대구 달서구,월화수금  저녁 홀 파트타임 채용합니다.,18:00~21:00,월급,"9,160",5분전
인천 서구,주방 주6일제 정직원 구합니다 ~경력자환영,10:00~22:00,월급,"3,200,000",6분전
경기 하남시,한신포차 (추가) 주방직원 및 평일 주말주방보조모집합니다. (내용잘봐주세요),15:30~01:30,월급,"2,800,000",6분전
인천 서구,홀서빙/주말파트 구합니다,10:00~22:00,월급,"9,500",6분전
경기 하남시,한신포차에서 (추가로) 평일/주말 홀아르바이트 및 설거지알바구합니다. 내용필,시간 협의,월급,"10,000",6분전
경기 하남시,한신포차 (추가) 주방직원 및 평일 주말주방보조모집합니다. (내용잘봐주세요),15:30~01:30,월급,"2,800,000",7분전
부산 동래구,홍콩반점사직점 주방직원 모집(초보환영),10:00~21:30,월급,"2,700,000",8분전
부산 동래구,홍콩반점0410+사직점 평일홀써빙11시~3시모집,11:00~15:00,월급,"9,160",8분전
대전 유성구,대전 궁동 역전우동0410 충남대점 월~수 알바구합니다.,16:30~22:00,월급,"9,160",8분전
경기 용인시,[요일 협의] 롤링파스타 광교상현역점에서 주방직원 구인합니다,10:00~21:00,월급,"2,250,000",10분전
경남 통영시,새마을식당 (통영 무전점) 평일 및 주말 홀서빙 구합니다.,시간 협의,월급,"9,160",10분전
경기 용인시,[원하는요일] 롤링파스타 광교상현점에서 홀 서빙 알바 구인합니다.,시간 협의,월급,"9,160",11분전
서울 송파구,역전우동위례중앙점 주5일 240만,10:30~22:30,월급,"2,400,000",11분전
경기 수원시,역전우동 아주대점 정직원채용(주5일 240만),10:30~22:30,월급,"2,400,000",11분전
경기 용인시,연돈볼카츠 용인동백점 토일 주말 마감 구인/단순업무,16:00~21:00,월급,"9,160",12분전
인천 서구,"롤링파스타-루원시티점 ( 주방장, 주방보조 ) 정직원 채용",10:30~21:30,월급,"2,750,000",12분전
경기 용인시,[주5일]롤링파스타 용인역북점 주방직원을 모집합니다.,10:00~21:00,월급,"2,500,000",13분전
대구 달성군,새마을식당대구구지점 주방정직원 모집합니다,10:30~22:30,월급,"2,900,000",13분전
전남 순천시,롤링파스타 주방파트 주말알바 모집,13:00~21:00,월급,"9,160",15분전
강원 원주시,홍콩반점 원주기업도시점 직원 또는 알바 모집.,시간 협의,월급,"2,400,000",16분전
경기 시흥시,[홍콩반점 시흥은계점] 주방 300~330만원/기숙사있음,10:00~22:00,월급,"3,000,000",19분전
전남 순천시,롤링파스타순천연향점 주5일/월210 홀직원모집합니다.,10:00~21:30,월급,"9,160",19분전
전북 전주시,백종원의  한신포차 전북대점에서 홀직원 구합니다,21:00~07:00,월급,"2,400,000",19분전
대구 달성군,새마을식당대구구지점 홀서빙 평일오전타임 알바 모집합니다.,10:30~15:00,월급,"10,000",20분전
경기 평택시,홍콩반점 평택역점에서 함께 일할 주방보조를 모집합니다.,10:00~21:00,월급,"2,600,000",20분전
