Place,Title,Time,Payday,Pay,Date
경기 부천시,알바하실분 모십니다,17:30~09:00,월급,"9,500",4시간전
서울 강서구,따띠삼겹 등촌점과 함께 할 주말 오후 알바 구합니다.,17:00~23:00,월급,"9,500",5시간전
서울 강서구,따띠삼겹 등촌점과 함께 할 주말 오전 알바 구합니다.,10:00~15:00,월급,"9,500",5시간전
서울 강서구,따띠삼겹 등촌점과 함께 할 평일 오전 알바 구합니다.,10:00~15:00,월급,"9,500",7시간전
서울 강서구,따띠삼겹 등촌점과 함께 할 평일 오후 알바 구합니다.,17:00~23:00,월급,"9,500",7시간전
서울 노원구,"따띠삼겹 상계점 주4일(월,화,수,목) 직원 모집",11:00~23:00,월급,"1,950,000",05/21
서울 노원구,"따띠삼겹 상계점 (금,토,일) 11시-23시 직원 모집합니다.",11:00~23:00,월급,"1,500,000",05/21
서울 노원구,"따띠삼겹 상계점 (금,토,일) 오후 아르바이트 모집합니다.",17:00~23:00,월급,"9,500",05/21
서울 관악구,"따띠삼겹 신림점 주3일 수, 목, 금 아르바이트 구합니다.",16:00~21:30,월급,"9,500",05/20
서울 서초구,따띠삼겹 사당점 주 3일 오후 아르바이트 모집합니다.,시간 협의,월급,"9,200",05/19
서울 서초구,"따띠삼겹 사당점 주말(금,토,일) 직원 모집합니다.",10:30~22:00,월급,"1,700,000",05/19
경기 부천시,알바하실분 모십니다,17:30~09:00,월급,"9,160",05/18
서울 동작구,따띠삼겹 사당점 금토일 오후 아르바이트 모집합니다.,시간 협의,월급,"9,200",05/18
서울 마포구,따띠삼겹 망원점 주3일 직원 구합니다~,시간 협의,월급,"1,300,000",05/16
서울 마포구,따띠삼겹 망원점 주3일 직원 구합니다~,시간 협의,월급,"1,300,000",05/16
서울 마포구,따띠삼겹 망원점 주3일 직원 구합니다~,시간 협의,월급,"1,300,000",05/16
서울 마포구,따띠삼겹 망원점 주3일 직원 구합니다~,시간 협의,월급,"1,300,000",05/16
서울 강서구,따띠삼겹 까치산점에서 평일 오후 근무할 직원 구합니다.,15:00~22:30,월급,"1,720,000",05/16
서울 강서구,따띠삼겹 까치산점에서 평일 오후 근무할 직원 구합니다.,15:00~22:30,월급,"1,720,000",05/16
서울 강서구,따띠삼겹 까치산점에서 평일 오후 근무할 직원 구합니다.,15:00~22:30,월급,"1,720,000",05/16
서울 강서구,따띠삼겹 까치산점에서 평일 오후 근무할 직원 구합니다.,15:00~22:30,월급,"1,720,000",05/16
서울 강남구,[강남역 10번 출구] 깔끔한 삼겹살 레스토랑 평일 홀 아르바이트 모집,11:30~15:00,월급,"9,160",05/16
서울 강남구,[강남역 10번 출구] 깔끔한 삼겹살 레스토랑 평일 홀 매니저 모집,11:30~21:30,월급,"2,100,000",05/16
서울 서초구,[강남역 10번 출구] 깔끔한 삼겹살 레스토랑 평일 홀 아르바이트 모집,11:30~15:00,월급,"9,160",05/16
서울 서초구,[강남역 10번 출구] 깔끔한 삼겹살 레스토랑 평일 홀 아르바이트 모집,11:30~15:00,월급,"9,160",05/16
서울 관악구,"따띠삼겹 신림점 주3일 수, 목, 금 아르바이트 구합니다.",16:00~21:30,월급,"9,500",05/16
서울 관악구,"따띠삼겹 신림점 주3일 수, 목, 금 아르바이트 구합니다.",16:00~21:30,월급,"9,500",05/16
서울 관악구,"따띠삼겹 신림점 주3일 수, 목, 금 아르바이트 구합니다.",16:00~21:30,월급,"9,500",05/16
경기 고양시,따띠삼겹 고양화정점에서 월.화 저녁타임 일하실분찾아요,18:00~22:00,월급,"10,000",05/15
경기 고양시,따띠삼겹 고양화정점에서 월.화 저녁타임 일하실분찾아요,18:00~22:00,월급,"10,000",05/15
