Place,Title,Time,Payday,Pay,Date
서울 서초구,(주)러쉬코리아 강남점과 함께 할 해피피플을 찾습니다.,10:00~22:00,월급,"11,230",37분전
서울 영등포,[러쉬]롯데백화점 영등포점 러쉬에서 함께 일할 스텝을 찾습니다.,09:30~20:30,월급,"10,790",1시간전
경기 용인시,[러쉬코리아] 롯데몰수지점 세일즈어시던트(아르바이트)채용,17:30~22:00,월급,"11,230",4시간전
경기 수원시,[러쉬코리아]롯데수원점 파트타이머 채용(장기),09:30~20:30,월급,"11,230",5시간전
서울 서초구,[러쉬코리아]신세계 강남 러쉬와 함께 근무할 파트타이머를 모집합니다,시간 협의,월급,"11,230",18시간전
대전 전체,(주)러쉬코리아 대전 갤러리아 타임월드점에서 함께 근무하실 분을 찾습니다,10:00~20:30,월급,"11,230",18시간전
서울 관악구,[러쉬코리아] 신림 타임스트림점 아르바이트 채용,10:30~22:00,월급,"11,230",20시간전
서울 강남구,"[러쉬코리아] 스타필드코엑스점 함께 성장할 인재 채용(아르바이트)주중, 주말",12:00~22:00,월급,"11,230",05/23
경기 용인시,[러쉬코리아] 롯데몰수지점 세일즈어시던트(아르바이트)채용,17:30~22:00,월급,"11,230",05/22
경남 창원시,［러쉬코리아］신세계백화점마산점 정직원(수습있음) 및 장기파트타이머 구합니다,10:00~20:30,월급,"11,230",05/21
서울 송파구,[러쉬] 롯데잠실점 러쉬에서 함께 일할 주말 파트타이머 구합니다.,09:30~18:30,월급,"11,230",05/19
전국 전체,[장기 근무]러쉬코리아 AK수원점 아르바이트 모집,시간 협의,월급,"11,230",05/19
서울 양천구,[러쉬코리아] 현대목동점 파트타이머 채용,시간 협의,월급,"11,230",05/19
대구 동구,[러쉬코리아]신세계대구 러쉬와 함께 근무할 파트타이머를 채용합니다.,시간 협의,월급,"11,230",05/17
부산 부산진,[러쉬코리아] 롯데부산본점(서면) 파트타이머공고(이메일지원시hwp한글파일X),시간 협의,월급,"11,230",05/17
서울 전체,가로수길점 파트타이머 채용합니다.,시간 협의,월급,"11,230",05/13
충북 청주시,러쉬 현대충청점에서 함께 근무할 파트타이머를 구하고있습니다 :),시간 협의,월급,"11,230",05/08
