Place,Title,Time,Payday,Pay,Date
인천 전체,롯데마트 부평점 단기아르바이트 모집(상품정리),시간 협의,월급,"9,200",7분전
서울 노원구,롯데마트 중계점  주니어 사원  모집합니다,시간 협의,월급,"9,200",8분전
서울 전체,롯데마트 행당역점 주니어사원(무기계약직) 채용,시간 협의,월급,"1,698,300",30분전
서울 영등포,롯데마트 서울 양평점  사원(정직원) 채용,시간 협의,월급,"1,698,300",42분전
전남 무안군,롯데마트 남악점 AR사원 모집,시간 협의,월급,"9,200",48분전
인천 중구,롯데마트 영종도점 주니어사원(무기계약직/정년60세 보장) 모집,시간 협의,월급,"1,698,300",1시간전
서울 노원구,롯데마트 중계점  주니어 사원  모집합니다,시간 협의,월급,"9,200",2시간전
전북 남원시,롯데마트 남원점 장기 아르바이트 모집,시간 협의,월급,"9,200",2시간전
경기 시흥시,롯데마트 시흥배곧점 직원채용(모바일),시간 협의,월급,"1,698,300",3시간전
광주 광산구,롯데마트 첨단점 장기 AR사원 모집,시간 협의,월급,"9,200",3시간전
전남 나주시,롯데마트 나주점 장기 아르바이트 모집,시간 협의,월급,"9,200",3시간전
경기 전체,롯데마트 광교점 음료주류 파트 AR사원 모집안내,시간 협의,월급,"9,300",14시간전
인천 중구,롯데마트 영종도점 주니어사원(무기계약직) 모집,시간 협의,월급,"1,698,300",18시간전
인천 중구,롯데마트 영종도점 주니어사원(무기계약직) 모집,시간 협의,월급,"1,698,300",19시간전
충남 홍성군,아르바이트 채용 공고,시간 협의,월급,"9,200",05/22
부산 부산진,롯데마트 부산점 조리 주니어사원(무기계약직) 모집,08:00~23:00,월급,"9,200",05/22
제주 제주시,"롯데마트 제주점 장기AR 모집(물류,신선)",09:30~17:30,월급,"9,200",05/20
서울 동대문,롯데마트 청량리점에서 같이 근무할 인재를 모집합니다.,00:00~24:00,월급,"9,200",05/20
경기 안양시,롯데식품관 평촌점 주니어 담당(상품지원) 모집,08:00~16:00,월급,"23,000,000",05/20
충남 서산시,롯데마트 서산점 직원 모집(주니어사원),시간 협의,월급,"1,698,300",05/20
전국 전체,롯데마트 판교점  주니어 사원 모집공고,시간 협의,월급,"1,698,300",05/18
서울 송파구,롯데마트 본사(디자인) AR사원 채용,10:00~18:00,월급,"9,200",05/16
서울 강서구,롯데마트 김포공항점 계산 주니어담당 모집합니다.,시간 협의,월급,"1,698,300",05/14
서울 강서구,롯데마트 김포공항점 장기 아르바이트 모집합니다.(농산 및 음료주류),시간 협의,월급,"9,300",05/14
서울 송파구,롯데마트 제타플렉스 모바일 주니어사원 모집,시간 협의,월급,"1,698,300",05/14
전국 전체,롯데마트 판교점  주니어 사원 모집공고,시간 협의,월급,"1,698,300",05/11
서울 광진구,"롯데마트 강변점 모바일,치즈앤도우(우선채용)주니어담당 모집",09:00~22:00,월급,"9,200",05/11
경기 평택시,롯데마트평택점 주니어담당 모집,시간 협의,월급,"1,698,300",05/11
강원 원주시,[롯데마트 원주점]매장관리 AR사원 모집,10:00~18:00,월급,"9,200",05/11
경북 포항시,"롯데마트 포항점(즉석조리, 온라인 피패킹) 장기A/R모집",시간 협의,월급,"9,200",05/10
충남 천안시,"[아르바이트] 즉석조리 식품 포장 진열1명, 가공 상품 진열 1명",14:00~22:00,월급,"9,200",05/10
충남 천안시,"[정규직] 계산원 1명, 수산상품진열 1명 모집",09:30~17:30,월급,"1,698,300",05/10
인천 연수구,롯데마트 송도점 장기 아르바이트 모집,09:00~23:00,월급,"9,200",05/09
서울 전체,롯데마트 행당역점 장기아르바이트 구인,시간 협의,월급,"9,200",05/09
서울 전체,롯데마트 서울 양평점  가공 / 농산 진열 AR 모집,시간 협의,월급,"9,200",05/09
광주 광산구,롯데마트 첨단점 장기 AR사원 모집,시간 협의,월급,"9,200",05/08
전국 전체,롯데마트 판교점  주니어 사원 모집공고,시간 협의,월급,"1,698,300",05/08
경기 김포시,"롯데마트 김포한강점 장기AR 모집 (신선, 조리, 일반영업)",10:00~23:00,월급,"9,200",05/08
충북 청주시,롯데마트 서청주점 Junior 사원 신규 채용 모집,시간 협의,월급,"9,200",05/08
서울 전체,롯데마트 행당역점 주니어담당 신규채용,시간 협의,월급,"1,698,300",05/08
