Place,Title,Time,Payday,Pay,Date
부산 동래구,[사직]  만나플러스 사직총판에서 기사님들을 모집합니다.,10:00~00:30,일급,"150,000",2분전
부산 동래구,[사직]  만나플러스 사직총판에서 기사님들을 모집합니다.,10:00~00:30,일급,"150,000",3분전
경기 부천시,만나플러스 부천 심곡 1지사 배달대행 라이더 모집 합니다.,시간 협의,일급,"250,000",39분전
울산 북구,만나플러스 울산 송정점,시간 협의,월급,"4,000",2시간전
대전 중구,일급30만원이상 당일출금가능 [대전배달대행] 런닝맨 기사모집 초보알바가능,시간 협의,일급,"300,000",4시간전
경기 부천시,만나플러스 부천본점 배달대행 기사님 모집합니다.,10:00~04:30,일급,"250,000",13시간전
경기 안양시,[동안구] 만나+ 안양배달대행 최고수입 기사&관리자 모집,시간 협의,일급,"200,000",22시간전
부산 강서구,[배달대행]만나플러스 부산 명지점 라이더모집,09:00~01:00,월급,"3,500",23시간전
경기 안양시,월 500이상 벌어가실 성실한 라이더 모집중입니다. 많은지원 부탁드려요,시간 협의,월급,"75,000,000",05/22
부산 전체,부산 연제구 연산점 배달대행 라이더 모집,시간 협의,일급,"150,000",05/22
부산 연제구,"만나플러스 [부산연제구] 시청,연산지점 배송원 가족 구합니다.",시간 협의,일급,"150,000",05/22
경기 안산시,만나플러스[안산상록]상록1지사,시간 협의,월급,"1,500,000",05/21
충북 청주시,만나플러스 청주 프렌즈배달대행 에서  기사님 모집합니다,시간 협의,월급,"3,700",05/21
충북 전체,만나플러스 청주 프렌즈배달대행 에서  기사님 모집합니다,시간 협의,월급,"3,700",05/21
경기 안산시,안산 신도시 배달대행 파트너 모집,시간 협의,월급,"4,000,000",05/21
서울 강동구,[하남/미사] 만나플러스 배달대행 [월800만원가능][초보/중장년층 환영],시간 협의,월급,"4,500",05/21
충북 청주시,충북 청주 배달대행 오빠콜 사창지사(베스트사창)에서 라이더를 모집합니다,시간 협의,월급,"3,700",05/20
부산 남구,"만나플러스 경성대,부경대 남구점 라이더모집",시간 협의,월급,"3,300",05/20
경남 양산시,"[양산No.1]배달대행 라이더 모십니다(남부,중부)",11:00~18:00,일급,"150,000",05/20
경남 창원시,북면 만나플러스 배달대행 퀵기사  모집합니다.,시간 협의,월급,"5,000,000",05/20
경기 군포시,"[배달대행]만나플러스(공유다) 라이더 모집[초보 월 5,000,000 가능]",10:00~22:00,월급,"4,000",05/19
대구 달서구,대구배달/대구퀵/배달대행/대구배달대행/달서구배달대행/죽전동배달대행,시간 협의,월급,"5,000,000",05/18
경기 남양주,진접.오남  배달대행 라이더 모집합니다.,시간 협의,일급,"200,000",05/18
부산 동래구,만나플러스(정성콜)동래점  동래구 배달대행 배달라이더님 모집합니다.,10:00~22:00,월급,"4,000",05/18
경기 시흥시,"시흥 배달대행 만나플러스 북시흥총판 라이더모집 (신천,대야,은행,은계)",시간 협의,월급,"4,100",05/18
경기 시흥시,"【정왕동 배달대행】기사모집/월500+고수익/초보,알바환영/리스,렌탈가능",시간 협의,월급,"5,000,000",05/18
경기 하남시,하남최고요금/피자몰 배달대행 기사 모집합니다.,시간 협의,월급,"5,000",05/18
부산 금정구,콜단가 최고[만나플러스]부산금정 배달대행에서 기사를 모집합니다,09:00~02:00,월급,"3,500",05/18
경기 시흥시,시흥정왕[배달대행] 여성/주부/초보자가능/격력자우대/[최강복지/꿀알바],시간 협의,일급,"250,000",05/17
경기 시흥시,"【시흥정왕동 배달대행】기사모집/월500만원+/초보,여성,알바환영/꿀알바",시간 협의,월급,"5,000,000",05/17
대구 달성군,카카오콜 서재지사에서 가족구합니다.,10:00~02:00,월급,"3,000",05/17
서울 은평구,[은평서대문 만나플러스연합회] 유어파트너 건별 배송료 평균 4700원 이상,시간 협의,월급,"4,700",05/17
경북 안동시,+안동 최대규모 배달대행 만나플러스  퀵 기사님 모집합니다+,시간 협의,일급,"200,000",05/17
경기 성남시,"야탑동배달대행 오전,오후 기사님모십니다  -오토바이지원함 자전거가능-",시간 협의,일급,"200,000",05/16
인천 서구,만나플러스[인천서구] 검단김포검암청라전지역 배달기사님 모십니다,시간 협의,일급,"300,000",05/16
대구 중구,[대구 배달대행]고고씽프라임 중구캠프 배송파트너 상시 모집합니다.,시간 협의,일급,"200,000",05/16
대구 달서구,[대구 배달대행]고고씽프라임 달서캠프 배송파트너 상시 모집합니다.,시간 협의,일급,"200,000",05/16
대구 서구,[대구 배달대행]고고씽프라임 서구캠프 배송파트너 상시 모집합니다.,시간 협의,일급,"200,000",05/16
대구 남구,[대구 배달대행]고고씽프라임 남구캠프 배송파트너 상시 모집합니다.,시간 협의,일급,"200,000",05/16
부산 사하구,사하구 배달대행,08:00~03:00,일급,"200,000",05/15
