Place,Title,Time,Payday,Pay,Date
서울 노원구,배스킨라빈스 수락산역점,18:00~23:00,월급,"9,160",3분전
인천 서구,배스킨라빈스 검단사거리점 월 화 수 P.T 채용합니다,시간 협의,월급,"9,160",6분전
서울 전체,배스킨라빈스 선릉점입니다,18:00~23:00,월급,"9,160",8분전
서울 서초구,배스킨라빈스 반포서래마을점 에서 함께 일할분 모집합니다,16:00~23:00,월급,"9,160",9분전
경북 구미시,배스킨라빈스 구미선산점 아르바이트 모집,10:00~23:00,월급,"9,160",12분전
인천 미추홀,배스킨라빈스 인천도화점 주말 마감  근무자 모집 (경력자우대),20:00~23:00,월급,"9,160",13분전
서울 송파구,배스킨라빈스 신천역점 평일(목.금) 알바를 모집합니다,19:00~24:00,월급,"9,400",14분전
서울 노원구,배스킨라빈스 공릉점(과기대 옆)에서 평일 마감 아르바이트를 구합니다,18:00~23:00,월급,"9,160",17분전
서울 노원구,"삼육대 10분거리  금,토일  알바 모집. 배라경력자즉시채용",19:00~23:00,월급,"9,160",22분전
경기 안양시,배스킨라빈스 안양만안구청점 / 아르바이트  모집합니다,시간 협의,월급,"9,160",23분전
경기 남양주,"삼육대 10분거리  금,토일  알바 모집. 배라경력자즉시채용",19:00~23:00,월급,"9,160",24분전
대구 동구,배스킨라빈스이시아점 수목 알바모집,18:00~23:00,월급,"9,160",28분전
충남 천안시,배스킨라빈스 천안먹자골목점 주3일 매니져,15:30~23:30,월급,"1,100,000",31분전
인천 서구,배스킨라빈스 가정점 주말  파트너 모십니다.,시간 협의,월급,"9,160",32분전
경기 성남시,배스킨라빈스 서현로데오점 파트타이머 주간/주말 구인,18:00~23:00,월급,"9,160",35분전
서울 은평구,배스킨라빈스 응암서부점에서 평일마감 파트너를 모집합니다.,17:30~24:00,월급,"9,160",45분전
경북 구미시,"화.목 1명  화,금 1명  오후6시부터 11시까지  근무하실분구합니다",18:00~23:00,월급,"9,160",46분전
서울 전체,배스킨라빈스  함께   근무할   오전  직원 모집합니다.,09:30~16:00,월급,"1,550,000",56분전
서울 광진구,아차산역점 배스킨라빈스  주말파트타이머 구합니다,17:00~22:00,월급,"9,160",57분전
경기 포천시,주말 알바를 구합니다,18:00~22:30,월급,"9,160",1시간전
경기 수원시,배스킨라빈스 수원율전점 매니저 모집,15:00~23:00,월급,"2,000,000",1시간전
경남 하동군,배스킨라빈스 경남하동점 마감파트타이머 구합니다,19:00~23:00,월급,"9,160",1시간전
경기 성남시,배스킨라빈스 분당시범점 주말 아르바이트 모집,시간 협의,월급,"9,500",1시간전
서울 강남구,배스킨라빈스 SPC스퀘어강남 점 에서 함께 근무하실 파트너님 찾습니다,10:00~15:00,월급,"9,160",1시간전
대구 수성구,배스킨라빈스 수성4가점 토. 일 마감 파트너 모집,20:00~23:00,월급,"9,160",1시간전
울산 중구,평일/ 주말마감 충원합니다.,시간 협의,월급,"9,160",1시간전
경남 창원시,배스킨라빈스 봉곡점 주5일  금-마감 /  토-오픈 모집합니다.,시간 협의,월급,"9,160",1시간전
충북 충주시,신연수동  배스킨라빈스  아르바이트,시간 협의,월급,"10,000",1시간전
제주 제주시,배스킨라빈스 제주중앙점 주말 아르바이트,시간 협의,월급,"9,160",1시간전
경남 창원시,배스킨라빈스 봉곡점  주2일  금 -마감 / 토- 오픈 모집합니다.,시간 협의,월급,"9,160",1시간전
경기 오산시,배스킨라빈스 수청점 알바구합니다,18:00~23:00,월급,"9,160",2시간전
경기 용인시,배스킨라빈스 용인 동백 2호점에서 아르바이트 구합니다. (동백 이마트 뒤),17:00~21:00,월급,"9,160",2시간전
부산 해운대,배스킨라빈스 중동역점 화금  파트너 모집합니다,19:30~23:30,월급,"9,160",2시간전
대구 수성구,배스킨라빈스 상동점 주말 파트너 모집,시간 협의,월급,"9,160",2시간전
경기 수원시,배스킨라빈스수원하나로점(주말) 알바모집합니다,시간 협의,월급,"9,160",2시간전
경기 평택시,배스킨라빈스 평택소사벌점에서 성실하고 친절한 알바생을  모집합니다,시간 협의,월급,"9,160",2시간전
서울 서초구,BR 고속터미널역점 평일/주말마감 파트너 모집,16:00~22:00,월급,"9,160",2시간전
경기 구리시,배스킨라빈스 구리갈매점에서 주말 근무 파트너를 모집합니다.,18:00~23:00,월급,"9,200",2시간전
서울 서초구,BR 고속터미널역점 평일/주말마감 파트너 모집,16:00~22:00,월급,"9,160",2시간전
경기 남양주,배스킨라빈스 남양주진접역점  화금일 저녁알바 모집,시간 협의,월급,"9,500",2시간전
