Place,Title,Time,Payday,Pay,Date
전남 여수시,상무초밥(낭만포차거리점)에서  홀직원  주방직원 평일오후알바 채용합니다,시간 협의,월급,"4,000,000",20분전
부산 해운대,상무초밥 해운대센텀점에서 함께하실 [홀 ] 정직원 모집합니다.,시간 협의,월급,"2,580,000",25분전
부산 전체,상무초밥 해운대센텀점에서 함께하실 [설거지] 이모님 모십니다.,시간 협의,월급,"3,000,000",26분전
부산 전체,"상무초밥 해운대센텀점에서 주중  아르바이트 (점심,저녁)  모집",시간 협의,월급,"9,160",41분전
전북 전주시,상무초밥 송천점 함께할 직원 및 아르바이트 구합니다,시간 협의,월급,"2,700,000",52분전
전북 전주시,[주방]경력자/초보 직원모집합니다,시간 협의,월급,"2,800,000",56분전
부산 전체,상무초밥 해운대센텀점에서 함께하실 [홀 ] 정직원 모집합니다.,시간 협의,월급,"2,580,000",57분전
부산 전체,"상무초밥 해운대센텀점에서 주중  아르바이트 (점심,저녁)  모집",시간 협의,월급,"9,160",57분전
경기 안산시,"(주5일가능)상무초밥 안산점에서 파트너,매니저를 모집합니다",시간 협의,월급,"2,800,000",1시간전
전북 전주시,[주방]경력자/초보 직원모집합니다,시간 협의,월급,"2,750,000",1시간전
전북 전주시,상무초밥 송천점 함께할 직원 및 아르바이트 구합니다,시간 협의,월급,"2,700,000",1시간전
대전 서구,+상무초밥 둔산점에서 함께하실 [홀]정직원 모집합니다.,시간 협의,월급,"2,580,000",1시간전
경남 창원시,"[상무초밥 창원점] -주방 경력자 및 보조 , 배우실분 모집(남녀)",10:00~22:00,월급,"2,800,000",1시간전
경남 창원시,[상무초밥 창원점] -홀 남&여 직원(20대) 5명 모집합니다,10:00~22:00,월급,"2,760,000",1시간전
전남 여수시,상무초밥(낭만포차거리점)에서  홀직원  주방직원 평일오후알바 채용합니다,시간 협의,월급,"4,000,000",2시간전
전남 목포시,홀직원/알바 주방경력자/~찬모~/모집합니다,시간 협의,월급,"3,500,000",2시간전
경기 안산시,"(주5일가능)상무초밥 안산점에서 파트너,매니저를 모집합니다",시간 협의,월급,"2,800,000",3시간전
경기 안산시,"(주5일가능)상무초밥 안산점에서 파트너,매니저를 모집합니다",시간 협의,월급,"2,800,000",3시간전
경기 안산시,"(주5일가능)상무초밥 안산점에서 파트너,매니저를 모집합니다",시간 협의,월급,"2,800,000",3시간전
경기 고양시,"상무초밥 일산점에서  주방직원, 홀알바 (평일 오후타임)모셔요",시간 협의,월급,"4,000,000",3시간전
대구 수성구,상무초밥범어점[홀]직원(260-)알바1만원(주중/오전ㆍ오후)주말,시간 협의,월급,"4,000,000",3시간전
대구 수성구,상무초밥범어점[홀]직원(260-)알바1만원(주중/오전ㆍ오후)주말,시간 협의,월급,"4,000,000",3시간전
대구 수성구,상무초밥범어점[홀]직원(260-)알바1만원(주중/오전ㆍ오후)주말,시간 협의,월급,"4,000,000",3시간전
충남 천안시,"상무초밥에서 홀 평일,주말  알바구합니다",시간 협의,월급,"9,160",3시간전
경기 성남시,"홀아르바이트, 주방,홀직원 구함 상무초밥 분당서현점",10:00~22:00,월급,"2,700,000",3시간전
경기 성남시,"홀아르바이트, 주방,홀직원 구함 상무초밥 분당서현점",10:00~22:00,월급,"2,700,000",3시간전
대전 서구,"+상무초밥 둔산점에서 함께하실 [홀,주방 ]  정직원  모집합니다.",시간 협의,월급,"2,940,000",4시간전
광주 서구,상무초밥 상무점)주방직원&홀직원&카운터&아르바이트  설거지이모구함 경력자우대,10:00~23:00,월급,"4,000,000",4시간전
대전 유성구,"상무초밥 유성점 홀,주방 직원구합니다",시간 협의,월급,"2,940,000",4시간전
경기 고양시,"상무초밥 일산점에서  주방직원, 홀알바 (평일 오후타임)모셔요",시간 협의,월급,"4,000,000",4시간전
충남 천안시,상무초밥에서 직원모집합니다,11:00~22:00,월급,"2,700,000",4시간전
전남 순천시,직원밥도 맛있는 상무초밥 순천점] 홀 직원  /주말알바/ 주방과장구함,09:30~21:30,월급,"3,200,000",4시간전
경남 창원시,[상무초밥 창원점] -홀 남&여 직원(20대) 5명 모집합니다,10:00~22:00,월급,"2,760,000",6시간전
경남 창원시,"[상무초밥 창원점] -주방 경력자 및 보조 , 배우실분 모집(남녀)",10:00~22:00,월급,"2,800,000",6시간전
인천 전체,"[상무초밥 송도점] 홀직원&주방직원(직원 주5일제), 평일&주말파트머 모집",시간 협의,월급,"2,800,000",6시간전
인천 연수구,"[상무초밥 송도점] 홀직원&주방직원(직원 주5일제), 평일&주말파트머 모집",시간 협의,월급,"2,800,000",6시간전
인천 남동구,"[상무초밥 송도점] 홀직원&주방직원(직원 주5일제), 평일&주말파트머 모집",시간 협의,월급,"2,800,000",6시간전
인천 동구,"[상무초밥 송도점] 홀직원&주방직원(직원 주5일제), 평일&주말파트머 모집",시간 협의,월급,"2,800,000",6시간전
전북 익산시,상무초밥익산점 주방직원(경력자우대) 모집,09:00~20:00,월급,"2,800,000",6시간전
전북 전주시,"상무초밥도청점 주방직원(초밥,오로시,다네) 모집합니다",11:00~22:00,월급,"3,300,000",6시간전
