Place,Title,Time,Payday,Pay,Date
경기 수원시,(수원)성원아이북랜드 독서교사 모집(신입정착금지원/경력자 환영),15:00~06:30,월급,"1,500,000",2분전
경기 수원시,(수원)성원아이북랜드 독서교사 모집(신입정착금지원/경력자 우대),15:00~06:30,월급,"1,500,000",2분전
경기 수원시,(수원)성원아이북랜드 독서교사 모집(신입정착금지원/경력자 우대),15:00~06:30,월급,"1,500,000",2분전
충북 전체,급구모집 -율량동 지역 책읽어주기 교사모집,15:00~08:00,월급,"50,000",3분전
서울 강남구,독서코칭 선생님을 모십니다(정착지원금 최대 300만원),시간 협의,월급,"1,500,000",13분전
서울 노원구,상계동 책 읽어 주시는 선생님을 모십니다.(정착 지원금 최대 300만원지급),시간 협의,월급,"1,500,000",22분전
경기 하남시,(급구)책 읽어주기 선생님을 모집합니다,시간 협의,월급,"1,000,000",57분전
경기 하남시,(급구)책 읽어주기 선생님을 모집합니다,시간 협의,월급,"1,000,000",57분전
서울 강남구,책 읽어주기 선생님을 모십니다,시간 협의,월급,"1,000,000",1시간전
대구 동구,"(봉무동,연경동)-도서대여 및 책읽어주기 선생님 모집/신입정착금지원",시간 협의,월급,"45,000",1시간전
전국 전체,"[인천서구,계양구,김포시]책 읽어주는 선생님을 모십니다~",14:00~20:00,월급,"1,800,000",1시간전
전국 전체,"[인천서구,계양구,김포시]책 읽어주는 선생님을 모십니다~",14:00~20:00,월급,"1,800,000",1시간전
경남 창원시,책 읽어주기 선생님을 모집합니다,시간 협의,월급,"1,200,000",1시간전
전국 전체,"[인천서구,계양구,김포시]책 읽어주는 선생님을 모십니다~",14:00~20:00,월급,"1,800,000",1시간전
경남 김해시,책 읽어주기 선생님을 모집합니다,시간 협의,월급,"1,200,000",1시간전
경남 창원시,책 읽어주기 선생님을 모집합니다,시간 협의,월급,"1,200,000",1시간전
서울 노원구,공릉동 책 읽어주시는 선생님을 모십니다.(정착 지원금 최대 300만원지급),시간 협의,월급,"1,500,000",2시간전
울산 전체,(긴급)책읽어주기.독서.논술지도 방문교사 -초보자가능(교육지원).경력자우대,시간 협의,월급,"50,000",2시간전
대구 달서구,(월성동)도서대여 책읽어주기선생님 모집(정착지원금 지원),시간 협의,월급,"35,000",2시간전
대구 달서구,(화원)도서대여 책읽어주기선생님 모집(정착지원금 지원),시간 협의,월급,"35,000",2시간전
경기 평택시,성원아이북랜드 책 읽어주기 수업 선생님 모집(신입정착금지원/최대300만원),시간 협의,월급,"38,000",2시간전
서울 강서구,"[영등포구] 유아동 도서대여, 독서논술, 책읽어주기 선생님 모집",14:00~20:00,월급,"1,000,000",2시간전
서울 강서구,"[양천구] 유아동 도서대여, 독서논술, 책읽어주기 선생님 모집",14:00~20:00,월급,"1,000,000",2시간전
서울 강서구,"[강서구] 유아동 도서대여, 독서논술, 책읽어주기 선생님 모집",14:00~20:00,월급,"1,000,000",2시간전
대구 동구,"(동구전지역)-도서대여,책읽어주기 선생님 모집/정착금지원,경력자우대",시간 협의,월급,"45,000",2시간전
경북 영주시,"책읽어 주기,책읽기 습관 지도 방문교사 모십니다(영주)",16:00~20:00,월급,"1,200,000",2시간전
경북 안동시,"책읽어 주기,독서 논술 선생님 모십니다.(안동)",16:00~20:00,월급,"1,200,000",2시간전
경기 평택시,성원아이북랜드 책 읽어주기 수업 선생님 모집(신입정착금지원/최대300만원),시간 협의,월급,"38,000",2시간전
경기 화성시,"(병점,1동탄)책읽기,독서코칭,독서논술 선생님 모집",시간 협의,월급,"1,500,000",3시간전
인천 남동구,"[인천남동구- 서창,논현,구월] 책읽어주기선생님모집/주2,3일가능/정착지원금",15:00~20:00,월급,"1,500,000",3시간전
인천 연수구,"[인천송도] 초보가능/ 책 읽어주기 수업 선생님 모집/주 2,3일가능",15:00~20:00,월급,"1,500,000",3시간전
인천 연수구,[인천송도] 책읽어주기/ 독서교사 모집/ 주 2~3일가능/정착지원금지급,15:00~20:00,월급,"1,500,000",3시간전
경기 용인시,성원아이북랜드 용인본부 독서 교사 모집 (신입 정착금 지원/최대 300만원),시간 협의,월급,"2,000,000",3시간전
경기 용인시,성원아이북랜드 용인본부 독서 교사 모집 (신입 정착금 지원/최대 300만원),시간 협의,월급,"2,000,000",3시간전
경기 고양시,[덕양구] 책 읽어주기 선생님 모집합니다.,시간 협의,월급,"1,000,000",3시간전
경기 고양시,[덕양구] 독서.논술 선생님 모집합니다.,시간 협의,월급,"1,000,000",3시간전
서울 성동구,[급구] 성원아이북랜드 책읽어주는 선생님 추가모집,시간 협의,월급,"2,000,000",3시간전
서울 성동구,[급구] 성원아이북랜드 책읽어주는 선생님 추가모집,시간 협의,월급,"2,000,000",4시간전
대전 중구,도안동.원신흥동 책읽어주기 선생님 모집,14:00~19:00,월급,"50,000",5시간전
대전 서구,[지족동] 배본관리 /책읽어주기 교사 모집합니다,시간 협의,월급,"1,000,000",7시간전
