Place,Title,Time,Payday,Pay,Date
서울 서대문,노브랜드버거 서울시청점  파트타이머 모집,시간 협의,월급,"11,208",6분전
서울 송파구,(주)신세계푸드 노브랜드버거 잠실학원사거리점 직원 모집,시간 협의,월급,"11,208",11분전
경기 화성시,노브랜드버거 동탄반송점 평일/주말 아르바이트 구인합니다,17:00~23:00,월급,"9,160",12분전
서울 서초구,NBB 남부터미널점 주니어 파트너 주5일 모집,시간 협의,월급,"11,208",23분전
서울 양천구,노브랜드버거 목동역점 주니어파트너 모집,시간 협의,월급,"11,208",30분전
서울 중구,노브랜드버거 을지로4가역점 마감 파트타이머 모집,18:00~22:30,월급,"11,208",30분전
서울 양천구,노브랜드버거 목동역점 주니어파트너 모집,시간 협의,월급,"11,208",30분전
서울 양천구,노브랜드버거 목동역점 주니어파트너 모집,시간 협의,월급,"11,208",30분전
서울 양천구,노브랜드버거 목동역점 주니어파트너 모집,시간 협의,월급,"11,208",30분전
서울 양천구,노브랜드버거 목동역점 주니어파트너 모집,시간 협의,월급,"11,208",32분전
대구 달서구,[노브랜드버거월성점] NBB대구월성점 오후 마감조 모집(수목금토),17:30~22:00,월급,"11,208",34분전
서울 전체,노브랜드버거 양재역점 파트타이머 구함,시간 협의,월급,"11,000",37분전
서울 송파구,(주)신세계푸드 노브랜드버거 잠실학원사거리점 직원 모집,시간 협의,월급,"11,208",40분전
인천 부평구,노브랜드버거 부평역점 정규직원 구인,00:00~24:00,월급,"5,102,120",42분전
서울 강북구,[NBB 수유역점]  근무하실 파트너 모집합니다.,시간 협의,월급,"11,000",42분전
서울 강북구,[NBB 수유역점]  근무하실 파트너 모집합니다.,시간 협의,월급,"11,000",42분전
서울 강동구,노브랜드버거 길동역점 주말 근무자 모집,13:30~22:30,월급,"11,000",44분전
서울 서초구,NBB 남부터미널점 주니어 파트너 주5일 모집,시간 협의,월급,"11,208",44분전
서울 전체,[NBB 수유역점]  근무하실 파트너 모집합니다.,시간 협의,월급,"11,000",45분전
서울 강북구,[NBB 수유역점]  근무하실 파트너 모집합니다.,시간 협의,월급,"11,000",45분전
서울 서초구,NBB 남부터미널점 주니어 파트너 주5일 모집,시간 협의,월급,"11,208",47분전
서울 강북구,"[신세계푸드]신세계백화점본점B1베키아에누보 조리,델리샌드위치,샐러드제조 모집",07:00~16:00,월급,"1,952,060",48분전
서울 서대문,노브랜드버거 종로구청점 평일 마감 아르바이트 모집합니다,시간 협의,월급,"11,208",49분전
부산 해운대,신세계 센텀 라운지 바리스타 모집,11:00~20:00,월급,"1,952,060",50분전
서울 서초구,NBB 남부터미널점 주니어 파트너 주5일 모집,시간 협의,월급,"11,208",53분전
서울 관악구,노브랜드버거 방배역점에서 평일 오전 아르바이트생을 모집합니다.,09:00~18:00,월급,"11,208",54분전
서울 동작구,[신세계푸드]신세계백화점 본점 B1 베키아에누보 베이커리 제빵사 모집,07:00~16:00,월급,"1,952,060",54분전
서울 동대문,[신세계푸드]신세계백화점 본점 B1 베키아에누보 베이커리 제빵사 모집,07:00~16:00,월급,"1,952,060",56분전
서울 서초구,[주5일] 노브랜드 버거 남부터미널점 주니어 파트너 모집,시간 협의,월급,"11,208",1시간전
서울 중랑구,[신세계푸드]신세계백화점 본점 B1 베키아에누보 베이커리 제빵사 모집,07:00~16:00,월급,"1,952,060",1시간전
서울 강북구,노브랜드버거 미아사거리역점  주4일 주니어파트너 모집,시간 협의,월급,"9,340",1시간전
서울 성동구,"[(주)신세계푸드 노브랜드버거 건대입구점] 파트타이머,주니어파트너 모집",시간 협의,월급,"11,000",1시간전
서울 송파구,"[(주)신세계푸드 노브랜드버거 건대입구점] 파트타이머,주니어파트너 모집",시간 협의,월급,"11,000",1시간전
서울 광진구,"[(주)신세계푸드 노브랜드버거 건대입구점] 파트타이머,주니어파트너 모집",시간 협의,월급,"11,000",1시간전
서울 동대문,"[(주)신세계푸드 노브랜드버거 건대입구점] 파트타이머,주니어파트너 모집",시간 협의,월급,"11,000",1시간전
서울 강북구,노브랜드 버거고려대점 /주5일 40시간/주4일20식간/금토일15시간,시간 협의,월급,"11,208",1시간전
서울 동대문,노브랜드 고려대점 /주5일40시간/주4일월화수목/금토일15시간,17:00~22:30,월급,"11,208",1시간전
서울 노원구,노브랜드 고려대점 /노브랜드버거 고려대점/금토일15시간 월화수목20시간/,17:00~22:30,월급,"11,208",1시간전
서울 성북구,노브랜드버거 고려대점/금토일15시간 월화수목20시간/ 보건증필수,14:30~22:30,월급,"11,208",1시간전
서울 도봉구,[신세계푸드]신세계백화점 본점 B1 베키아에누보 베이커리 제빵사 모집,07:00~16:00,월급,"1,952,060",1시간전
