Place,Title,Time,Payday,Pay,Date
서울 용산구,[내일채움공제] 국내최대 인도레스토랑 아그라 이태원점  홀정직원모집-정규직,11:00~22:00,월급,"2,400,000",34분전
경기 의왕시,인도레스토랑 아그라 의왕점에서 (경력직)직원 채용합니다.,시간 협의,월급,"2,610,000",1시간전
경기 의왕시,인도레스토랑 아그라 의왕점에서 (경력직)직원 채용합니다.,시간 협의,월급,"2,610,000",1시간전
경기 의왕시,인도레스토랑 아그라 의왕점에서 (경력직)직원 채용합니다.,시간 협의,월급,"2,610,000",1시간전
경기 의왕시,인도레스토랑 아그라 의왕점에서 (경력직)직원 채용합니다.,시간 협의,월급,"2,610,000",1시간전
서울 동작구,아그라 여의도점 오전 아르바이트 (주휴수당 지급),11:00~15:00,월급,"10,992",2시간전
서울 강서구,"아그라 롯데몰 김포공항점에서 평일, 주말아르바이트 모집합니다.",시간 협의,월급,"11,160",3시간전
서울 중구,아그라 센터원점 주5일 정규직 신입/경력 모집,10:00~22:00,월급,"2,400,000",4시간전
부산 해운대,[아그라센텀시티점]아그라에서 평일 런치 파트타이머 모집합니다,10:00~16:00,월급,"9,300",5시간전
대구 동구,아그라 대구 신세계점에서 즐겁게 일할 주말 아르바이트를 구합니다.,12:00~21:00,월급,"10,992",6시간전
서울 중구,아그라 서울로테라스점에서 평일런치 함께하실 파트타이머 모집합니다.,11:00~15:00,월급,"10,992",6시간전
서울 은평구,"아그라 은평점에서 평일 디너, 주말 홀 아르바이트를 모집합니다.",시간 협의,월급,"10,992",23시간전
서울 용산구,[내일채움공제] 국내최대 인도레스토랑 아그라 이태원점  홀정직원모집-정규직,11:00~22:00,월급,"2,400,000",05/22
서울 전체,아그라 김포롯데몰점에서 신입/경력 직원 채용합니다,11:00~21:00,월급,"2,400,000",05/22
서울 용산구,[내일채움공제] 국내최대 인도레스토랑 아그라 이태원점  홀정직원모집-정규직,11:00~22:00,월급,"2,400,000",05/22
서울 전체,[정직원] 국내최대 인도레스토랑 아그라 이태원점  홀정직원모집-내일채움공제,11:00~22:00,월급,"2,400,000",05/21
서울 은평구,[정직원] 국내최대 인도레스토랑 아그라 은평점에서 홀 정직원을 모집합니다,12:00~22:00,월급,"2,400,000",05/21
서울 중구,인디안다이닝 Agra / 고베 샤브  센터원점 홀서빙 파트타이머 모집,시간 협의,월급,"10,992",05/21
서울 중구,인디안 다이닝 레스토랑 Agra  센터원점 주5일 정규직 신입/경력 모집,10:00~22:00,월급,"2,400,000",05/21
서울 은평구,"아그라 은평점에서 평일 디너, 주말 홀 아르바이트를 모집합니다.",시간 협의,월급,"10,992",05/21
서울 용산구,[내일채움공제] 국내최대 인도레스토랑 아그라 이태원점  홀정직원모집-정규직,11:00~22:00,월급,"2,400,000",05/20
서울 용산구,아그라 용산점에서 아르바이트(평일/주말) 모집합니다.,시간 협의,월급,"11,160",05/20
인천 전체,"아그라 인천점에서 주 4일 신입,경력 직원 채용합니다",11:00~21:00,월급,"1,919,000",05/16
서울 용산구,[정직원] 국내최대 인도레스토랑 아그라 용산아이파크몰점 홀 정직원 모집,12:00~22:00,월급,"2,400,000",05/16
서울 전체,아그라 영등포점에서 주말 풀타임 파트타이머 모집합니다,12:00~21:00,월급,"9,160",05/15
서울 전체,아그라 영등포점에서 주말 풀타임 파트타이머 모집합니다,12:00~21:00,월급,"9,160",05/15
부산 해운대,[아그라센텀시티점]아그라에서 주말 파트타이머 모집합니다,시간 협의,월급,"9,300",05/15
서울 중구,아그라 서울로테라스점에서 함께하실 파트타이머 모집합니다.,11:00~15:00,월급,"9,160",05/14
서울 용산구,[주말] 국내 최고 인도레스토랑 AGRA 용산아이파크몰점 주말알바 모집,12:00~21:00,월급,"11,160",05/10
인천 전체,아그라 인천점에서 주말 아르바이트 채용합니다,12:00~21:00,월급,"9,160",05/10
인천 전체,아그라 인천점에서 주말 아르바이트 채용합니다,12:00~21:00,월급,"9,160",05/10
