Place,Title,Time,Payday,Pay,Date
강원 원주시,오늘 와인한잔에서 같이 근무하실분 구합니다,19:00~01:00,월급,"10,000",52분전
제주 제주시,오늘와인한잔 제주일도점  아르바이트 모집,18:00~22:00,월급,"12,000",1시간전
제주 제주시,오늘와인한잔 제주일도점  아르바이트 모집,18:00~22:00,월급,"12,000",1시간전
제주 제주시,오늘와인한잔 제주일도점  아르바이트 모집,18:00~22:00,월급,"12,000",1시간전
제주 제주시,"오늘,와인한잔 제주외도점에서 함께 할 아르바이트생 보집합니다.홀서빙",20:00~02:00,월급,"10,000",1시간전
제주 제주시,"오늘,와인한잔 제주외도점에서 함께 할 아르바이트생 보집합니다.홀서빙",20:00~02:00,월급,"10,000",1시간전
제주 제주시,"오늘,와인한잔 제주외도점에서 함께 할 아르바이트생 보집합니다.홀서빙",20:00~02:00,월급,"10,000",1시간전
제주 제주시,"오늘,와인한잔 제주외도점에서 함께 할 아르바이트생 보집합니다.홀서빙",20:00~02:00,월급,"10,000",1시간전
전남 나주시,"오늘, 와인한잔 나주혁신도시점에서 서빙을 모십니다.(직원, 아르바이트)",20:00~24:00,월급,"10,000",1시간전
전남 나주시,"오늘, 와인한잔 나주혁신도시점에서 서빙을 모십니다.(직원, 아르바이트)",20:00~24:00,월급,"10,000",1시간전
전남 나주시,"오늘, 와인한잔 나주혁신도시점에서 서빙을 모십니다.(직원, 아르바이트)",20:00~24:00,월급,"10,000",1시간전
대구 수성구,오늘와인한잔 수성못점 파트타임 구합니다,20:30~01:00,월급,"10,000",1시간전
대구 수성구,오늘와인한잔 수성못점 파트타임 구합니다,20:30~01:00,월급,"10,000",1시간전
대구 수성구,오늘와인한잔 수성못점 파트타임 구합니다,20:30~01:00,월급,"10,000",1시간전
울산 동구,홀 직원 모집합니다.,시간 협의,월급,"9,160",1시간전
울산 동구,홀 직원 모집합니다.,시간 협의,월급,"9,160",1시간전
울산 동구,홀 직원 모집합니다.,시간 협의,월급,"9,160",1시간전
인천 부평구,"홀서빙 [금,토 (20:00~26:00)] 알바 모집",20:00~02:00,월급,"9,160",2시간전
인천 부평구,"홀서빙 [금,토 (20:00~26:00)] 알바 모집",20:00~02:00,월급,"9,160",2시간전
인천 부평구,"홀서빙 [금,토 (20:00~26:00)] 알바 모집",20:00~02:00,월급,"9,160",2시간전
인천 부평구,"홀서빙 [금,토 (20:00~26:00)] 알바 모집",20:00~02:00,월급,"9,160",2시간전
경기 안산시,"오늘, 와인한잔 안산고잔점에서 홀서빙/간단조리 새식구 구합니다.",시간 협의,월급,"1,950,000",2시간전
경기 안산시,"오늘, 와인한잔 안산고잔점에서 홀서빙/간단조리 새식구 구합니다.",시간 협의,월급,"1,950,000",2시간전
경기 안산시,"오늘, 와인한잔 안산고잔점에서 홀서빙/간단조리 새식구 구합니다.",시간 협의,월급,"1,950,000",2시간전
경기 안산시,"오늘, 와인한잔 안산고잔점에서 홀서빙/간단조리 새식구 구합니다.",시간 협의,월급,"1,950,000",2시간전
서울 강서구,오늘와인한잔 마곡나루역점 주말 파트타이머 모집,시간 협의,월급,"11,000",2시간전
서울 강서구,오늘와인한잔 마곡나루역점 주말 파트타이머 모집,시간 협의,월급,"11,000",2시간전
서울 강서구,오늘와인한잔 마곡나루역점 주말 파트타이머 모집,시간 협의,월급,"11,000",2시간전
서울 강서구,오늘와인한잔 마곡나루역점 주말 파트타이머 모집,시간 협의,월급,"11,000",2시간전
경기 고양시,라페스타 오늘와인한잔 알바 구합니다,19:30~00:30,월급,"10,000",2시간전
경기 고양시,라페스타 오늘와인한잔 알바 구합니다,19:30~00:30,월급,"10,000",2시간전
경기 고양시,라페스타 오늘와인한잔 알바 구합니다,19:30~00:30,월급,"10,000",2시간전
경기 고양시,라페스타 오늘와인한잔 알바 구합니다,19:30~00:30,월급,"10,000",2시간전
서울 서초구,오늘와인한잔 사당점 파트타이머&매니저 구인입니다.,시간 협의,월급,"12,000",2시간전
서울 서초구,오늘와인한잔 사당점 파트타이머&매니저 구인입니다.,시간 협의,월급,"12,000",2시간전
서울 서초구,오늘와인한잔 사당점 파트타이머&매니저 구인입니다.,시간 협의,월급,"12,000",2시간전
서울 서초구,오늘와인한잔 사당점 파트타이머&매니저 구인입니다.,시간 협의,월급,"12,000",2시간전
서울 성동구,"오늘와인한잔/알바모집/PM.19시30분 부터/시급11,000/시간,요일협의",19:30~23:30,월급,"11,000",2시간전
서울 성동구,"오늘와인한잔/알바모집/PM.19시30분 부터/시급11,000/시간,요일협의",19:30~23:30,월급,"11,000",2시간전
서울 성동구,"오늘와인한잔/알바모집/PM.19시30분 부터/시급11,000/시간,요일협의",19:30~23:30,월급,"11,000",2시간전
