Place,Title,Time,Payday,Pay,Date
서울 은평구,매장 단기 파트타이머(주 14시간) 모집합니다.,08:00~21:30,월급,"11,160",38분전
제주 제주시,[유니클로] 롯데마트 제주점 단기 파트타이머 모집합니다.(6월1달/협의가능),시간 협의,월급,"11,160",40분전
경남 거제시,유니클로 디큐브백화점 거제점 파트타이머 (주28시간) 모집합니다.,시간 협의,월급,"11,160",40분전
서울 은평구,매장 스태프(풀타이머) 모집합니다.,시간 협의,월급,"26,330,000",41분전
서울 강남구,[유니클로] 신사점 스태프 모집합니다.,시간 협의,월급,"26,330,000",1시간전
서울 강남구,[유니클로] 신사점 파트파이머(주4일) 모집합니다.,시간 협의,월급,"11,160",1시간전
충남 천안시,[유니클로 ] 천안구성점 스태프 모집합니다,시간 협의,월급,"26,330,000",1시간전
경기 광명시,유니클로 광명점 매장  단기 파트타이머(주 14시간) 모집합니다.,시간 협의,월급,"9,300",1시간전
경기 광명시,유니클로 광명점 매장 단기 파트타이머(주 28시간) 모집합니다.,시간 협의,월급,"11,160",1시간전
서울 서초구,[유니클로]이마트 양재점 단기 파트타이머 (주 4일) 모집합니다.,시간 협의,월급,"9,160",1시간전
서울 서초구,[유니클로]이마트 양재점 단기 파트타이머 (주 2일) 모집합니다.,시간 협의,월급,"9,300",1시간전
전북 전체,[유니클로] 전주 효자점 매장 스태프 모집합니다.,시간 협의,월급,"26,330,000",1시간전
충남 아산시,[유니클로] 아산풍기점 단기 파트타이머(주4일) 모집합니다.,시간 협의,월급,"11,160",1시간전
서울 강남구,[유니클로]이마트 양재점 파트타이머 (주 4일) 모집합니다.,시간 협의,월급,"11,160",1시간전
전북 전주시,[유니클로] 전주효자점 파트타이머 주 4일 모집합니다,시간 협의,월급,"11,160",1시간전
충남 아산시,[유니클로] 아산풍기점 단기 파트타이머(주2일) 모집합니다.,시간 협의,월급,"9,300",1시간전
충남 아산시,[유니클로] 아산풍기점 스태프 모집합니다.,시간 협의,월급,"26,330,000",2시간전
서울 서초구,[유니클로]매장 스태프(풀타이머) 모집합니다.,시간 협의,월급,"26,330,000",2시간전
경기 전체,[유니클로] 안성점 파트타이머(주2일) 모집합니다.,시간 협의,월급,"9,300",2시간전
경기 전체,[유니클로] 안성점 파트타이머(주4일) 모집합니다.,시간 협의,월급,"11,160",2시간전
인천 전체,[유니클로] 부평역사점 스태프 모집합니다.,시간 협의,월급,"26,330,000",2시간전
경기 전체,[유니클로] 안성점 파트타이머(주4일) 모집합니다.,시간 협의,월급,"11,160",2시간전
광주 전체,[유니클로]광주 연제점 파트타이머 (주 4일) 모집합니다.,시간 협의,월급,"11,160",2시간전
경기 전체,[유니클로] 안성점 매장 스태프(풀타이머) 모집합니다.,시간 협의,월급,"26,330,000",2시간전
대구 달서구,유니클로 감삼점 STAFF(풀타이머) 모집합니다. (6개월 이상 근무 가능자,시간 협의,월급,"26,330,000",2시간전
경북 안동시,[유니클로] 안동점 단기 파트타이머(주4일) 모집합니다.,시간 협의,월급,"11,160",2시간전
서울 강북구,[유니클로 롯데미아점]매장 파트타이머(주 14시간) 모집합니다.,09:00~21:30,월급,"9,300",2시간전
서울 송파구,유니클로 롯데백화점 잠실점 파트타이머(주28시간) 모집합니다.,08:00~22:30,월급,"11,160",2시간전
서울 송파구,롯데백화점 잠실점 스태프(풀타이머) 모집합니다.,시간 협의,월급,"26,330,000",2시간전
경기 안양시,[유니클로] 롯데백화점 평촌점 매장 단기 파트타이머 모집합니다. (주 4일),시간 협의,월급,"11,160",2시간전
경기 안양시,[유니클로] 롯데백화점 평촌점 매장 단기 파트타이머 모집합니다. (주2일),시간 협의,월급,"9,300",2시간전
경기 안양시,[유니클로] 롯데백화점 평촌점 매장 풀타이머 모집합니다.,시간 협의,월급,"26,330,000",2시간전
경기 성남시,[유니클로 롯데백화점 분당점] 매장 파트타이머(주 28시간) 모집합니다.,시간 협의,월급,"11,160",2시간전
경기 수원시,매장 파트타이머(주 28시간) 모집합니다.,시간 협의,월급,"11,160",3시간전
경기 수원시,[유니클로] 롯데몰수원점 스태프 모집합니다.,시간 협의,월급,"26,330,000",3시간전
경기 전체,[유니클로] 롯데피트인 산본점 파트타이머 모집합니다.,14:30~22:30,월급,"11,160",3시간전
인천 부평구,[유니클로] 인천구산점 스태프 모집합니다.,시간 협의,월급,"26,330,000",3시간전
제주 제주시,[유니클로] 제주이도점 매장 스태프 모집합니다.,시간 협의,월급,"26,330,000",3시간전
경기 김포시,[유니클로] 김포 장기점 매장 파트타이머(주2일) 모집합니다.,시간 협의,월급,"9,300",3시간전
서울 마포구,UNIQLO 합정점 파트타이머 (주4일) 모집합니다.,시간 협의,월급,"11,160",3시간전
