Place,Title,Time,Payday,Pay,Date
경기 김포시,윤이 불 닭발 주말알바구합니다,17:00~24:00,월급,"10,000",05/14
서울 강동구,윤이불닭발 천호점에서 즐겁게일할 아르바이트 모집합니다:),시간 협의,월급,"11,000",05/14
서울 강동구,윤이불닭발 천호점에서 즐겁게일할 아르바이트 모집합니다:),시간 협의,월급,"11,000",05/14
전남 순천시,윤이 불닭발 오후 아르바이트생 모집합니다.,시간 협의,월급,"9,500",05/10
전남 순천시,윤이 불닭발 오후 아르바이트생 모집합니다.,시간 협의,월급,"9,500",05/10
전남 순천시,윤이 불닭발 오후 아르바이트생 모집합니다.,시간 협의,월급,"9,500",05/10
전남 순천시,윤이 불닭발 오후 아르바이트생 모집합니다.,시간 협의,월급,"9,500",05/10
서울 강동구,윤이불닭발 천호점에서 즐겁게일할 아르바이트 모집합니다:),시간 협의,월급,"11,000",05/10
인천 미추홀,윤이불닭발 용현점에서 알바 모집합니다(포장전문점),시간 협의,월급,"9,160",05/10
인천 미추홀,윤이불닭발 용현점에서 알바 모집합니다(포장전문점),시간 협의,월급,"9,160",05/10
인천 미추홀,윤이불닭발 용현점에서 알바 모집합니다(포장전문점),시간 협의,월급,"9,160",05/10
인천 미추홀,윤이불닭발 용현점에서 알바 모집합니다(포장전문점),시간 협의,월급,"9,160",05/10
경기 성남시,윤이불닭발 성남 양지점 직원구함,15:00~01:00,월급,"2,800,000",05/10
경기 성남시,윤이불닭발 성남 양지점 직원구함,15:00~01:00,월급,"2,800,000",05/10
경기 성남시,윤이불닭발 성남 양지점 직원구함,15:00~01:00,월급,"2,800,000",05/10
경기 성남시,윤이불닭발 성남 양지점 직원구함,15:00~01:00,월급,"2,800,000",05/10
경기 성남시,윤이불닭발 분당점과 함께 일할 알바님을 구합니다~,18:00~23:00,월급,"10,000",05/10
경기 성남시,윤이불닭발 분당점과 함께 일할 알바님을 구합니다~,18:00~23:00,월급,"10,000",05/10
경기 성남시,윤이불닭발 분당점과 함께 일할 알바님을 구합니다~,18:00~23:00,월급,"10,000",05/10
경기 성남시,윤이불닭발 분당점과 함께 일할 알바님을 구합니다~,18:00~23:00,월급,"10,000",05/10
경기 수원시,윤이불닭발 인계점에서 즐겁게 일할 알바님을 구합니다.,시간 협의,월급,"9,160",05/10
경기 수원시,윤이불닭발 인계점에서 즐겁게 일할 알바님을 구합니다.,시간 협의,월급,"9,160",05/10
경기 수원시,윤이불닭발 인계점에서 즐겁게 일할 알바님을 구합니다.,시간 협의,월급,"9,160",05/10
경기 수원시,윤이불닭발 인계점에서 즐겁게 일할 알바님을 구합니다.,시간 협의,월급,"9,160",05/10
