Place,Title,Time,Payday,Pay,Date
경기 전체,[ZARA 자라] 고양 원마운트 파트타이머 채용공고,시간 협의,월급,"11,510",55분전
인천 전체,[ZARA 자라] 인천 스퀘어원 파트타이머 채용공고,시간 협의,월급,"11,510",56분전
경남 전체,[ZARA 자라] 창원 롯데백화점 파트타이머 채용 공고,시간 협의,월급,"11,510",57분전
부산 전체,[ZARA 자라] 부산 서면점 파트타이머 채용,시간 협의,월급,"11,510",58분전
서울 전체,[ZARA 자라] 가로수길점 파트타이머 채용공고,시간 협의,월급,"11,510",1시간전
서울 송파구,[ZARA 자라] 잠실 롯데백화점 파트타이머 채용공고,07:30~15:30,월급,"11,510",1시간전
서울 전체,[ZARA 자라] 신도림 디큐브시티 파트타이머 채용공고,07:30~15:30,월급,"11,510",1시간전
서울 전체,[ZARA 자라] 김포 롯데몰 파트타이머 채용,시간 협의,월급,"11,510",1시간전
대구 전체,[ZARA 자라] 봉무 이시아폴리스점 주말 파트타이머 채용,시간 협의,월급,"11,510",1시간전
부산 전체,[ZARA 자라] 부산 광복점 파트타이머 채용,07:00~15:00,월급,"11,510",1시간전
대전 전체,[ZARA 자라] 대전 타임월드 파트타이머 채용,07:00~15:00,월급,"11,510",1시간전
서울 전체,[ZARA 자라] 강남역점 파트타이머 채용,시간 협의,월급,"11,510",1시간전
울산 남구,[ZARA 자라] 울산 롯데백화점 파트타이머 채용,07:00~15:00,월급,"11,510",1시간전
광주 전체,[ZARA 자라] 광주 충장로점 파트타이머 채용,08:00~16:00,월급,"11,510",1시간전
서울 전체,[ZARA 자라] 영등포 타임스퀘어점 파트타이머 채용공고,시간 협의,월급,"11,510",1시간전
서울 전체,[ZARA 자라] 용산 아이파크몰 파트타이머 채용공고,시간 협의,월급,"11,510",1시간전
부산 해운대,[ZARA 자라] 부산 센텀 롯데백화점 파트타이머 채용,07:00~15:00,월급,"11,510",1시간전
대구 전체,[ZARA 자라] 대구 동성로점 파트타이머 채용공고,시간 협의,월급,"11,510",1시간전
경기 성남시,[ZARA 자라] 분당 서현점 파트타이머 채용공고,시간 협의,월급,"11,510",1시간전
서울 전체,[ZARA 자라] 명동 엠플라자 파트타이머 채용공고,시간 협의,월급,"11,510",1시간전
