Place,Title,Time,Payday,Pay,Date
대구 전체,주2일~3일 회원관리 장원선생님 모집,시간 협의,월급,"2,000,000",17분전
대구 전체,주2일~3일 회원관리 장원선생님 모집,시간 협의,월급,"2,000,000",18분전
대구 전체,배우면서 일 하실 분 찾습니다.,시간 협의,월급,"2,000,000",18분전
대구 전체,칠곡지역장원교사모집,시간 협의,월급,"2,000,000",19분전
대전 대덕구,장원학습지교사모집(대전가오동지역),시간 협의,월급,"1,800,000",25분전
대전 대덕구,장원학습지교사모집(대전 탄방동 지역),시간 협의,월급,"1,800,000",25분전
대전 대덕구,장원학습지교사모집(대전 둔산동 지역),시간 협의,월급,"1,800,000",26분전
대전 대덕구,초등전문 학습지 방문교사 모집 (동대전지역),시간 협의,월급,"1,800,000",26분전
대구 달서구,상인동지역 장원교육 선생님을 모집합니다,시간 협의,월급,"2,000,000",32분전
대구 달서구,유천동지역 장원교육 선생님을 모집합니다,시간 협의,월급,"2,000,000",33분전
대구 달서구,진천동지역 장원교육 선생님을 모집합니다,시간 협의,월급,"2,000,000",35분전
대구 달서구,도원동지역 장원교육 선생님을 모집합니다,시간 협의,월급,"2,000,000",35분전
대구 전체,장원교육 수성동지역 주부교사 모집합니다,시간 협의,월급,"2,000,000",41분전
대구 전체,장원교육 상동지역 주부교사 모집합니다,시간 협의,월급,"2,000,000",42분전
대구 전체,장원교육 만촌동지역 주부교사 모집합니다,시간 협의,월급,"2,000,000",43분전
대구 전체,장원교육 황금동지역 주부교사 모집합니다,시간 협의,월급,"2,000,000",44분전
충북 청주시,초등전문 학습지 방문교사 모집 - 청주지국(가경동),14:00~22:00,월급,"2,000,000",1시간전
경북 영주시,아이들의 학습코치가 되어주실 장원선생님을 모집합니다.,10:00~18:00,월급,"2,000,000",1시간전
충북 청주시,초등전문 학습지 방문교사 모집 - 청주지국(흥덕구),14:00~22:00,월급,"2,000,000",1시간전
충북 청주시,초등전문 학습지 방문교사 모집 - 청주지국(사창동),14:00~22:00,월급,"2,000,000",1시간전
충북 청주시,초등전문 학습지 방문교사 모집 - 청주지국(복대동),14:00~22:00,월급,"2,000,000",1시간전
충북 청주시,초등전문 학습지 방문교사 모집 - 청주지국(용암동),14:00~22:00,월급,"2,000,000",1시간전
울산 북구,아이들과 함께 꿈을 펼치실 장원선생님을 모십니다.,10:00~20:00,월급,"2,000,000",1시간전
경남 창원시,(교육컨설턴트)장원교육 마산지역 선생님을 모십니다,시간 협의,월급,"1,800,000",1시간전
경남 김해시,"장원한자-중국어,일본어,한국사,국어등교사모집",14:00~21:00,월급,"15,000,000",1시간전
경남 김해시,"주)장원교육 장원선생님을 모십니다 {장원한자,중국어,일본어,한국사,국어등",14:00~21:00,월급,"15,000,000",1시간전
대구 동구,연경지구/봉무동 관리하실 장원선생님을 모집합니다.,15:00~21:30,월급,"1,900,000",1시간전
대구 전체,장원 대구중구.서구지역 방문교사 모집(공부방교사),14:00~21:00,월급,"2,000,000",1시간전
서울 영등포,"장원교사 모집(구로구,영등포구 지역)",14:00~20:00,월급,"2,000,000",1시간전
대구 전체,대구 시지지역 배우면서 일하실  장원선생님을 모십니다.,13:30~21:00,월급,"1,800,000",1시간전
대구 전체,배우면서 일하실 선생님을 모십니다.(동변동.서변동.연경동),시간 협의,월급,"1,500,000",1시간전
충남 전체,장원 선생님 모집,14:00~10:00,월급,"1,800,000",1시간전
경기 평택시,아이들과 같이 꿈을 키울 장원 선생님을 모집 합니다,10:00~18:00,월급,"1,800,000",1시간전
경기 여주시,[장원교육 여주양평지점] 장원선생님을 모집합니다.,시간 협의,월급,"2,000,000",1시간전
서울 금천구,장원교육 금천지점에서 교육컨설턴트를 모집합니다.(가산동),10:00~20:00,월급,"2,000,000",1시간전
서울 금천구,아이들을 가르치는 뿌듯함을 함께 느끼고자 합니다.(시흥동),10:00~20:00,월급,"2,000,000",1시간전
서울 마포구,[장원교육 은평남부] 열정 가득한 장원선생님을 모십니다.,시간 협의,월급,"2,000,000",1시간전
인천 계양구,[장원교육 인천계양지점] 장원선생님 모집,10:00~19:00,월급,"2,000,000",1시간전
인천 전체,"한자,중국어,한국사 상담관리교사 모집합니다.",시간 협의,월급,"1,800,000",1시간전
경기 부천시,[장원교육 부천소사] 장원선생님을 모십니다.,10:00~19:00,월급,"2,000,000",1시간전
