Place,Title,Time,Payday,Pay,Date
광주 광산구,다이어트식당 짐키친 수완점(식사지원),03:00~09:00,월급,"10,000",05/20
광주 광산구,다이어트식당 짐키친 수완점(식사지원),03:00~09:00,월급,"10,000",05/20
광주 광산구,다이어트식당 짐키친 수완점(식사지원),03:00~09:00,월급,"10,000",05/20
광주 광산구,다이어트식당 짐키친 수완점(식사지원),03:00~09:00,월급,"10,000",05/20
서울 강남구,짐키친 다이어트식단 음식점 청담점 아르바이트 다이어트식사제공 헬스장무료이용,시간 협의,월급,"11,300",05/20
서울 강남구,짐키친 다이어트식단 음식점 청담 강남점 아르바이트/매니저 구인 헬스장무료이용,시간 협의,월급,"11,300",05/20
서울 강남구,짐키친 다이어트식단 음식점 청담 강남점 아르바이트/매니저 구인 헬스장무료이용,시간 협의,월급,"11,200",05/20
서울 강남구,짐키친 다이어트식단 음식점 청담 강남점 아르바이트/매니저 구인 헬스장무료이용,시간 협의,월급,"11,300",05/20
부산 해운대,해운대 짐키친 식당 직원 또는 아르바이트생 구합니다,시간 협의,월급,"9,160",05/15
부산 해운대,짐키친 장산점에서 가족을 찾습니다,11:00~14:00,월급,"9,160",05/15
부산 해운대,짐키친 장산점에서 가족을 찾습니다,11:00~14:00,월급,"9,160",05/15
부산 해운대,해운대 짐키친 식당 직원 또는 아르바이트생 구합니다,시간 협의,월급,"9,160",05/15
서울 서초구,짐키친 강남점 다이어트식 식당 아르바이트 다이어트식사무료 MN헬스장 무료이용,시간 협의,월급,"11,300",05/15
서울 서초구,짐키친 강남점 다이어트식 식당 아르바이트 다이어트식사무료 MN헬스장 무료이용,시간 협의,월급,"11,300",05/15
서울 서초구,짐키친 강남점 다이어트식 식당 아르바이트 다이어트식사무료 MN헬스장 무료이용,시간 협의,월급,"11,300",05/15
서울 서초구,짐키친 강남점 다이어트식 식당 아르바이트 다이어트식사무료 MN헬스장 무료이용,시간 협의,월급,"11,300",05/15
대구 달서구,짐키친 대구죽전점 파트타임 아르바이트 채용합니다(식사제공),시간 협의,월급,"9,500",05/15
대구 달서구,짐키친 대구죽전점 파트타임 아르바이트 채용합니다(식사제공),시간 협의,월급,"9,500",05/15
대구 달서구,짐키친 대구죽전점 파트타임 아르바이트 채용합니다(식사제공),시간 협의,월급,"9,500",05/15
대구 달서구,짐키친 대구죽전점 파트타임 아르바이트 채용합니다(식사제공),시간 협의,월급,"9,500",05/15
