Place,Title,Time,Payday,Pay,Date
인천 남동구,"할리스 인천구월로데오점 금,토 파트타이머 모집합니다.",시간 협의,월급,"9,160",4분전
서울 성동구,한양대시티빌점 알바 및 직원 구인,시간 협의,월급,"9,160",4분전
경기 전체,할리스커피 파주야당역점 에서  주5일 직원 모집합니다,14:00~23:00,월급,"2,100,000",8분전
충북 청주시,할리스커피 청주명암레이크점 메니져 채용,시간 협의,월급,"2,200,000",10분전
서울 중구,"할리스 을지로입구점 금,토 마감 파트타이머",19:00~22:30,월급,"9,160",13분전
인천 미추홀,할리스커피 인천주안역점 미들pt 모집합니다(금토일),12:30~17:00,월급,"9,160",18분전
인천 미추홀,할리스커피 인천주안역점 평일오후pt 모집합니다(수목금),18:30~23:30,월급,"9,160",18분전
서울 성동구,한양대시티빌점 알바 및 직원 구인,시간 협의,월급,"9,160",23분전
부산 해운대,할리스 부산달맞이점 주말 미들 파트타이머 모집,12:00~17:30,월급,"9,160",27분전
충북 청주시,할리스 오송점에서 평일/주말 마감 PT를 모집합니다.,18:00~23:00,월급,"9,160",27분전
부산 해운대,할리스 부산달맞이점 주말 미들 파트타이머 모집,12:00~17:30,월급,"9,160",27분전
부산 사상구,할리스커피 부산백양대로점(직영)에서 주말(금~일)파트타이머 모집합니다.,시간 협의,월급,"9,160",28분전
부산 해운대,할리스 부산달맞이점 주말 마감 파트타이머 모집,18:00~23:30,월급,"9,160",28분전
충북 청주시,할리스 오송점에서 평일/주말 마감 PT를 모집합니다.,18:00~23:00,월급,"9,160",29분전
서울 영등포,할리스커피 여의도파이낸스타워점 평일 마감 PT 구합니다.,19:00~23:00,월급,"9,160",33분전
경기 화성시,할리스커피제부도점에서 함께 할 근무자를 모집합니다.,시간 협의,월급,"9,160",33분전
전북 익산시,주3일 마감근무자 채용합니다-주부가능-(월금토 혹은 월금일-일정변경가능),시간 협의,월급,"9,160",34분전
경기 화성시,주말알바모집,12:00~19:00,월급,"10,000",35분전
경기 김포시,할리스김포운양점미들PT모집합니다,12:00~17:00,월급,"9,160",35분전
부산 해운대,할리스 부산달맞이점 주말 마감 파트타이머 모집,18:00~23:30,월급,"9,160",37분전
울산 남구,할리스커피 울산삼산로점(직영)에서 주말미들 파트타이머를 구합니다.(토-일),12:00~18:00,월급,"9,160",38분전
서울 광진구,할리스 광나루역점 평일미들 파트타이머 모집합니다.,12:00~17:00,월급,"9,160",38분전
서울 서대문,"할리스커피 신촌연세로점에서 토,일 미들 PT를 모집합니다.",20:00~23:00,월급,"9,160",40분전
서울 광진구,할리스 광나루역점 평일 마감 파트타이머 모집합니다.,19:00~22:00,월급,"9,160",41분전
서울 광진구,"할리스 광장점에서 평일 마감, 주말 미들, 마감 파트타이머를 모집합니다",시간 협의,월급,"9,160",42분전
전남 순천시,성실한 직원구함,07:00~16:00,월급,"2,100,000",43분전
충북 청주시,[청주산남DT점] 금~일 마감 함께 할 파트타이머를 구합니다.,19:00~23:00,월급,"9,160",47분전
서울 노원구,할리스 당고개역점에서 평일 PT를 모집합니다.,시간 협의,월급,"9,160",47분전
경기 화성시,할리스 커피 화성 융건릉점에서 [평일 미들] 파트타임 모집합니다.,12:30~16:30,월급,"9,160",48분전
경기 화성시,할리스 커피 화성 융건릉점에서 [주말 미들] 파트타임 모집합니다.,12:30~17:00,월급,"9,160",49분전
서울 서초구,22시 이후 시급 1.5배/ 할리스교대역점 평일 마감 알바 구합니다,20:00~24:00,월급,"9,160",49분전
서울 종로구,서울대학교병원점에서 마감 파트타이머를 모집합니다.,18:30~23:00,월급,"9,160",50분전
서울 종로구,서울대학교병원점에서 마감 파트타이머를 모집합니다.,10:00~14:30,월급,"9,160",52분전
서울 관악구,할리스 신림점에서 평일 마감PT 모집합니다.,18:00~23:00,월급,"9,160",52분전
전북 익산시,"부송동할리스커피 익산부송점 화,수,목 마감알바 모집합니다.",시간 협의,월급,"9,160",53분전
서울 서대문,"할리스커피 신촌연세로점에서 월~화,수~목 마감PT를 모집합니다.",20:00~23:00,월급,"9,160",53분전
전북 익산시,할리스커피 익산부송점 점장 모집합니다.,14:30~23:30,월급,"2,500,000",56분전
서울 종로구,서울대학교병원점에서 마감 파트타이머를 모집합니다.,17:30~23:00,월급,"9,160",56분전
서울 용산구,[할리스커피 이태원점] 오픈/미들 파트타이머 모집합니다.,시간 협의,월급,"9,160",59분전
인천 남동구,"토오픈, 일미들 파트타이머 모집합니다.",시간 협의,월급,"9,200",1시간전
