Place,Title,Time,Payday,Pay,Date
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,월급,"2,250,000",4분전
광주 서구,[홍대개미 신세계 백화점 광주점] 주방 주5일 정직원 모집,09:00~20:00,월급,"2,250,000",17분전
부산 해운대,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,월급,"2,250,000",28분전
광주 전체,[홍대개미 신세계백화점 광주점] 주방/파트타임,시간 협의,월급,"9,160",48분전
경기 안산시,안산 홍대개미 홀서빙 아르바이트 모집,시간 협의,월급,"9,160",49분전
부산 북구,홍대개미 덕천점  직원 모집합니다,10:00~22:00,월급,"2,510,000",57분전
광주 전체,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,월급,"2,250,000",58분전
경남 김해시,김해 롯데 아울렛 포베이 주말 파트타이머 (서빙)채용합니다,10:00~21:00,월급,"9,160",1시간전
경기 수원시,"[홍대개미 갤러리아 광교] 파트타이머구인(금,토,일)",16:30~20:30,월급,"9,160",2시간전
부산 북구,홍대개미 덕천점  직원 모집합니다,10:00~22:00,월급,"2,510,000",2시간전
경기 평택시,"[시급11,400원/주중,주말] 홍대개미 안성점 주중,주말 알바모집",시간 협의,월급,"11,400",2시간전
경기 평택시,"[시급11,400원/주중,주말] 홍대개미 안성점 주중,주말 알바모집",시간 협의,월급,"11,400",2시간전
경기 안성시,"[시급11,400원/주중,주말] 홍대개미 안성점 주중,주말 알바모집",시간 협의,월급,"11,400",2시간전
경기 안성시,"[시급11,400원/주중,주말] 홍대개미 안성점 주중,주말 알바모집",시간 협의,월급,"11,400",3시간전
경기 평택시,[주5일/230만] 홍대개미 스타필드안성 주방직원 모집,11:00~21:00,월급,"2,300,000",3시간전
경기 평택시,[주5일/230만] 홍대개미 스타필드안성 주방직원 모집,11:00~21:00,월급,"2,300,000",3시간전
경기 안성시,[주5일/230만] 홍대개미 스타필드안성 주방직원 모집,11:00~21:00,월급,"2,300,000",3시간전
경기 안성시,[주5일/230만] 홍대개미 스타필드안성 주방직원 모집,11:00~21:00,월급,"2,300,000",3시간전
광주 서구,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,월급,"2,250,000",3시간전
경기 수원시,"[홍대개미 갤러리아 광교] 파트타이머구인(금,토,일)",16:30~20:30,월급,"9,160",3시간전
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,월급,"2,250,000",4시간전
부산 해운대,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,월급,"2,250,000",5시간전
부산 해운대,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,월급,"2,250,000",6시간전
부산 해운대,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,월급,"2,250,000",6시간전
광주 서구,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,월급,"2,250,000",7시간전
경남 김해시,김해 롯데 아울렛 포베이 주말 파트타이머 (서빙)채용합니다,10:00~21:00,월급,"9,160",18시간전
부산 부산진,"주 4, 5일주방직원 / 평일 오후 홀서빙",시간 협의,월급,"2,308,320",18시간전
서울 강북구,홍대개미 청량리역사점 주방 직원 모집(255만원),시간 협의,월급,"2,550,000",19시간전
서울 동대문,홍대개미 청량리역사점 주방 직원 모집(255만원),시간 협의,월급,"2,550,000",19시간전
서울 중랑구,홍대개미 청량리역사점 주방 직원 모집(255만원),시간 협의,월급,"2,550,000",19시간전
서울 용산구,홍대개미 공덕점 주방 직원 모집(225만원),시간 협의,월급,"2,250,000",19시간전
부산 부산진,"주 4, 5일주방직원 / 평일 오후 홀서빙",시간 협의,월급,"2,308,320",21시간전
경기 수원시,"[홍대개미 갤러리아 광교] 파트타이머구인(금,토,일)",16:30~20:30,월급,"9,160",23시간전
광주 서구,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,월급,"2,250,000",05/23
부산 북구,홍대개미 덕천점  직원 모집합니다,10:00~22:00,월급,"2,510,000",05/23
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,월급,"2,250,000",05/23
경기 수원시,"[홍대개미 갤러리아 광교] 파트타이머구인(금,토,일)",16:00~20:00,월급,"9,160",05/22
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,월급,"2,250,000",05/20
대구 수성구,[홍대개미 신세계백화점 대구점] 주방 주5일 정직원 모집,09:00~20:00,월급,"2,250,000",05/20
서울 용산구,홍대개미(신규오픈) 용산 아이파크몰점 주5일 정직원 및 파트타임 모집,시간 협의,월급,"2,550,000",05/20
