Place,Title,Time,Payday,Pay,Date
경기 오산시,[일9시간/월278만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴),10:00~19:00,월급,"2,789,000",44분전
경기 광주시,셀프주유소 자동세차(터널식) 유경험자 모집합니다 (숙식가능),시간 협의,월급,"3,000,000",48분전
전국 전체,셀프 주유소 주유안내원 모집 합니다 (숙식가능),시간 협의,월급,"2,800,000",55분전
경기 광주시,서민셀프주유소 직원 모집합니다,시간 협의,월급,"2,500,000",1시간전
경기 전체,주유소 야간 직원 구합니다(숙소 1인1실 제공),20:00~08:00,월급,"3,000,000",1시간전
경기 전체,주유소 야간 직원(아르바이트) 구합니다(숙소 1인1실 제공),22:00~08:00,월급,"9,200",2시간전
경기 전체,주유소 야간 직원(아르바이트) 구합니다(숙소 1인1실 제공),21:00~08:00,월급,"9,200",2시간전
부산 전체,초량self주유소 주말알바모집,시간 협의,월급,"9,160",2시간전
경기 안양시,세차및 매장관리,12:00~22:00,월급,"2,850,000",3시간전
서울 전체,남.여 주유원모집/SK풍한주유소/알바가능/1년이상 경력자,시간 협의,월급,"9,160",3시간전
서울 전체,총무직원주유직원구함,시간 협의,월급,"2,200,000",4시간전
서울 양천구,주유원 (토/일)주말알바 모집,09:00~18:00,월급,"9,500",4시간전
경기 성남시,서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,월급,"2,400,000",6시간전
경기 성남시,서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,월급,"2,400,000",6시간전
경기 성남시,서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,월급,"2,400,000",6시간전
경기 성남시,서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,월급,"2,400,000",6시간전
서울 송파구,일요일휴무 자동세차 직원구합니다~(기숙사제공),09:00~19:00,월급,"2,400,000",6시간전
서울 송파구,일요일휴무 자동세차 직원구합니다~(기숙사제공),09:00~19:00,월급,"2,400,000",6시간전
서울 송파구,일요일휴무 자동세차 직원구합니다~(기숙사제공),09:00~19:00,월급,"2,400,000",6시간전
서울 송파구,일요일휴무 자동세차 직원구합니다~(기숙사제공),09:00~19:00,월급,"2,400,000",6시간전
서울 양천구,주유원 모집(주6일),15:00~23:00,월급,"9,500",16시간전
경남 양산시,주간근무 직원(셀프주유소) 모집합니다.,06:00~16:00,월급,"9,160",16시간전
경기 용인시,풍덕천셀프주유소 주말 알바 모집,10:00~17:00,월급,"9,160",19시간전
경기 안양시,세차및 매장관리,12:00~22:00,월급,"2,740,000",21시간전
서울 전체,주유원모집/SK풍한주유소/알바가능/경력자우대,시간 협의,월급,"9,160",23시간전
경기 고양시,주유및세차원 모집합니다.,시간 협의,월급,"9,160",23시간전
인천 중구,SK남항주유소 직원 모집,04:00~11:00,월급,"9,160",23시간전
서울 마포구,망원동주유소 세차 하시는 아르바이트 직원분 모집합니다.,09:30~18:00,월급,"9,160",05/23
전국 전체,주유소 야간 직원(아르바이트) 구합니다(숙소 1인1실 제공),20:00~08:00,월급,"3,000,000",05/23
전국 전체,주유사원모집,시간 협의,월급,"2,180,000",05/23
전국 전체,주유사원모집,시간 협의,월급,"9,160",05/23
전국 전체,소장님구함,07:00~18:00,월급,"3,200,000",05/23
부산 전체,초량self주유소 주말알바모집,시간 협의,월급,"9,160",05/23
경기 오산시,[일9시간/월278만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴),10:00~19:00,월급,"2,789,000",05/23
인천 중구,셀프주유소에서 근무하실분 모십니다,시간 협의,월급,"9,160",05/23
서울 광진구,"주유사원모집(오전,오후)",시간 협의,월급,"9,500",05/23
경기 남양주,"주유사원모집(오전,오후)",시간 협의,월급,"9,500",05/23
서울 전체,"주유사원모집(오전,오후)",시간 협의,월급,"9,500",05/23
경기 수원시,SK청담에너지 주유 및 세차직원 구함,10:00~20:00,월급,"2,750,000",05/22
경기 오산시,[일9시간/월278만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴),10:00~19:00,월급,"2,789,000",05/22
