Place,Title,Time,Payday,Pay,Date
강원 강릉시,"슈퍼마켓 직원, 주3일(금/토/일), 일일7시간(오후근무), 강릉시 교동A",12:30~20:00,월급,"10,000",11분전
경기 고양시,자연드림 일산주엽점 매장 직원 모집,08:00~14:30,월급,"10,000",13분전
제주 제주시,자연드림 제주이도점 매장파트타이머 구인,08:00~11:00,월급,"10,000",41분전
제주 제주시,자연드림 제주연동점 매장파트타이머 모집,16:00~22:00,월급,"10,000",46분전
강원 강릉시,"정육코너초보실장 모집, 주5일, 주40시간, 년봉3000만원, 강릉시 교동c",09:30~18:30,월급,"30,000,000",51분전
제주 제주시,자연드림 제주삼화점 매장파트타이머 구인,14:30~20:00,월급,"10,000",55분전
경기 전체,자연드림 별양점 오전입고직원모집,08:00~10:00,월급,"10,000",58분전
대구 달서구,자연드림 대구월성점 매장 파트타이머 모집,08:30~15:00,월급,"10,000",1시간전
서울 광진구,자연드림 광진구의점 주5일 오후근무직원 모집,18:00~21:00,월급,"10,000",2시간전
경남 김해시,"자연드림 김해삼계점 파트타이머(일 6시간,주 5일) 모집",08:30~15:00,월급,"10,000",2시간전
서울 광진구,자연드림 광진구의점 주6일 오전근무직원 모집,09:00~11:00,월급,"10,000",2시간전
충북 괴산군,[시급 1만원] 자연드림 괴산파크점 주말 직원 모집,시간 협의,월급,"10,000",2시간전
부산 남구,자연드림 부산 용호점 매장직원 모집,08:00~15:00,월급,"10,000",2시간전
경남 진주시,"자연드림 충무공점 물류직원 모집(일 2시간,주6일)",08:00~10:00,월급,"10,000",2시간전
경북 경주시,자연드림 경주용강점 오전 파트타이머 모집,09:00~12:00,월급,"10,000",3시간전
경북 경주시,자연드림 경주용강점 물류정리 파트타이머 모집,07:00~09:00,월급,"10,000",3시간전
서울 관악구,자연드림 서울관악점 주5일 오전 직원 모집,08:00~12:30,월급,"10,000",4시간전
경북 경주시,자연드림 경주용강점 파트타이머 모집,09:00~14:00,월급,"10,000",4시간전
대전 중구,[시급 1만원] 자연드림 서대전점(문화동) 매장 직원 모집 (2일 근무),15:00~21:30,월급,"10,000",4시간전
강원 강릉시,"정육코너초보실장 모집, 주5일, 주40시간, 년봉3000만원, 강릉시 교동d",09:30~18:30,월급,"30,000,000",5시간전
강원 원주시,"주3일(금토일), 오전7시~오전10시, 슈퍼마켓 상품진열 (원주 행구동)c",07:00~10:00,월급,"10,000",5시간전
서울 영등포,자연드림 서울신길점(카페) 주5일(평일) 근무직원 모집,14:30~21:00,월급,"9,300",5시간전
경북 포항시,직원 구인,09:00~15:00,월급,"10,000",5시간전
경남 진주시,"자연드림 충무공점 파트타이머 모집(일 5시간,주5일)",15:30~21:00,월급,"10,000",5시간전
전북 전주시,[자연드림] 전주효자점 판매직 모집,08:00~15:00,월급,"10,000",6시간전
서울 송파구,자연드림 송파오금점 오전근무직원 모집(월~토),08:30~10:30,월급,"10,000",6시간전
경남 김해시,"자연드림 장유율하점 물류직원(일 2시간,주 6일) 모집",08:30~10:30,월급,"10,000",7시간전
경기 수원시,자연드림수원정자점[오전셋팅주6일],08:00~10:00,월급,"10,000",7시간전
대구 수성구,자연드림 대구범어점 파트타이머(물류) 모집,07:30~09:30,월급,"10,000",8시간전
대전 서구,[시급 1만원] 자연드림 대전 월평점 오전 직원 모집,07:00~09:30,월급,"10,000",18시간전
울산 남구,자연드림 울산삼산점 파트타이머(물류) 모집,08:00~10:00,월급,"10,000",22시간전
부산 남구,자연드림 부산 용호점 매장직원 모집,08:00~15:00,월급,"10,000",05/23
강원 강릉시,"정육코너초보실장 모집, 주5일, 주40시간, 년봉3000만원, 강릉시 교동b",10:00~19:00,월급,"30,000,000",05/22
강원 원주시,"주3일(금토일), 오전7시~오전10시, 슈퍼마켓 상품진열 (원주 행구동)b",07:00~10:00,월급,"10,000",05/22
경기 화성시,자연드림동탄호수공원점 직원 구인( 주중4일 6시간),08:30~15:00,월급,"10,000",05/22
전북 전주시,[자연드림] 전주 서신점 진열직 모집,07:00~09:00,월급,"10,000",05/22
경기 고양시,아이쿱 자연드림 고양마두점 베이커리 실장 채용,07:00~16:00,월급,"28,900,000",05/22
경기 고양시,아이쿱 자연드림 고양마두점 배송 직원 채용,07:00~16:00,월급,"31,100,000",05/22
부산 연제구,쿱스토어부산 거제점 주말물류직원 모집,06:00~11:00,월급,"10,000",05/22
경기 고양시,자연드림 고양탄현점 매장직원 모집,08:00~14:00,월급,"10,000",05/21
