Place,Title,Time,Payday,Pay,Date
경기 수원시,공차 AK&수원점 평일 파트타이머 모집합니다.,17:30~22:30,월급,"9,160",40분전
경기 전체,공차 AK&수원점 평일 파트타이머 모집합니다.,17:30~22:30,월급,"9,160",41분전
경기 수원시,공차 AK&수원점 평일 파트타이머 모집합니다.,17:30~22:30,월급,"9,160",42분전
경기 수원시,공차 AK&수원점 평일 파트타이머 모집합니다.,17:30~22:30,월급,"9,160",42분전
서울 양천구,공차 현대목동점 주말 미들/마감 PT 모집합니다,시간 협의,월급,"9,160",4시간전
서울 전체,"공차 롯데청량리점 주4일 PT채용(월,화,토,일)",14:30~20:00,월급,"9,160",4시간전
서울 전체,대학로마로니에점 주말 미들PT 1명 모집합니다,12:00~17:00,월급,"9,160",4시간전
서울 강서구,공차 김포롯데몰점에서 평일 PT를 모집합니다.,12:00~16:30,월급,"9,160",5시간전
서울 강남구,공차 직영점 코엑스도심공항점 아르바이트 모집,시간 협의,월급,"9,160",7시간전
경기 성남시,공차 직영점 분당서울대병원점 아르바이트 모집,시간 협의,월급,"9,160",7시간전
서울 강남구,공차 직영점 대치점 아르바이트 모집,시간 협의,월급,"9,160",7시간전
경기 의왕시,공차 직영점 롯데아울렛의왕점 아르바이트 모집,시간 협의,월급,"9,160",7시간전
서울 서초구,공차 직영점 센트럴시티점 아르바이트 모집,시간 협의,월급,"9,160",7시간전
서울 양천구,공차 현대목동점 주말 마감 PT 모집합니다,15:00~21:30,월급,"9,160",7시간전
서울 강남구,공차 직영점 강남글라스점 아르바이트 모집,시간 협의,월급,"9,160",8시간전
서울 서초구,공차 직영점 고속터미널점 아르바이트 모집,시간 협의,월급,"9,160",8시간전
서울 강남구,SRT수서역점 알바모집,시간 협의,월급,"9,160",8시간전
인천 전체,공차 현대프리미엄아울렛 송도점 파트타이머(평일&주말 마감) 모집합니다,시간 협의,월급,"9,160",05/23
서울 송파구,"공차 서울아산병원점 토,일,월,화 15-21시 구인합니다.",15:00~21:00,월급,"9,300",05/21
서울 종로구,공차 대학로점 토일  마감 근무자 구인합니다.,17:00~22:30,월급,"9,160",05/21
인천 전체,공차 현대프리미엄아울렛 송도점 파트타이머(평일&주말 마감) 모집합니다,시간 협의,월급,"9,160",05/21
서울 강동구,공차 강동성심병원점 주말,06:30~14:00,월급,"9,160",05/21
서울 강동구,공차 강동성심병원점 평일,07:00~14:00,월급,"9,160",05/21
서울 송파구,하이마트 잠실점  주말 9시 14시 17시,09:00~15:00,월급,"9,160",05/21
서울 양천구,공차 현대목동점 주말 마감 PT 모집합니다,15:00~21:30,월급,"9,160",05/21
서울 송파구,"공차 롯데월드어드벤처점 평일 미들 ,  주말 미들 PT 를 모집합니다.",시간 협의,월급,"9,160",05/20
서울 송파구,"공차 하이마트잠실점 평일, 주말 오픈/미들/ 마감 pt를 모집합니다.",시간 협의,월급,"9,160",05/20
서울 강동구,현대천호점 공차 목금토일 마감 PT 구합니다,시간 협의,월급,"9,160",05/20
서울 종로구,공차 대학로점 월-금 미들 타임 근무자 구인합니다.,16:00~20:30,월급,"9,160",05/20
서울 강동구,현대천호점 공차 목금토일 마감 PT 구합니다,시간 협의,월급,"9,160",05/20
서울 강동구,현대천호점 공차 목금토일 마감 PT 구합니다,시간 협의,월급,"9,160",05/20
서울 전체,공차 김포공항국내선점 주말 파트타이머 모집합니다.,15:30~21:00,월급,"9,300",05/20
경기 안성시,공차 스타필드안성점에서 주말 파트타이머 모집합니다,18:00~22:30,월급,"9,160",05/20
경기 안성시,공차 스타필드안성점에서 주말 파트타이머 모집합니다,18:00~22:30,월급,"9,160",05/20
서울 중구,공차 서울역점 주말알바 구합니다. (토일),15:00~21:30,월급,"9,160",05/20
서울 용산구,공차 (직영) 서울역점 주말 마감 구합니다.,15:00~21:30,월급,"9,160",05/20
서울 송파구,공차 잠실롯데몰점 평일 오픈/미들/ 마감 pt를 모집합니다.,시간 협의,월급,"9,160",05/20
서울 마포구,"공차 홍대점 (직영점) 주말 미들,마감 파트타이머 모집",17:00~23:30,월급,"9,160",05/20
서울 마포구,공차 홍대점 (직영점) 평일/주말 미들/마감 파트타이머 모집,12:30~18:00,월급,"9,160",05/20
서울 마포구,공차 홍대점 (직영점) 평일/주말 미들/마감 파트타이머 모집,12:30~18:00,월급,"9,160",05/17
