Place,Title,Time,Payday,Pay,Date
경기 시흥시,파트타임 함께할 친구 구해요,11:00~20:00,월급,"9,200",52분전
세종 전체,세종/족발배달전문점/월180만원/주6일/6시간 파트직원구함/구구족,16:00~22:00,월급,"1,800,000",1시간전
경기 성남시,구구족 분당점에서 직원을 찾고 있어요.,10:00~22:00,월급,"2,600,000",2시간전
서울 마포구,구구족(족발 배달 전문) 정직원 구합니다,시간 협의,월급,"2,600,000",2시간전
경기 시흥시,파트타임 함께할 친구 구해요,11:00~20:00,월급,"9,200",2시간전
세종 전체,세종/족발배달전문점/월180만원/주6일/6시간 파트직원구함/구구족,16:00~22:00,월급,"1,800,000",2시간전
세종 전체,세종/족발배달전문점/월180만원/주6일/6시간 파트직원구함/구구족,16:00~22:00,월급,"1,800,000",2시간전
경기 성남시,구구족 분당점에서 직원을 찾고 있어요.,10:00~22:00,월급,"2,600,000",2시간전
경기 남양주,구구족 다산점  직원모집/급여300/파트모집,10:00~22:00,월급,"3,000,000",2시간전
경기 남양주,구구족 다산점  직원모집/급여300/파트모집,10:00~22:00,월급,"3,000,000",2시간전
서울 강서구,구구족 화곡점 정직원 및 알바 구함,10:00~02:30,월급,"2,400,000",2시간전
서울 강서구,구구족 화곡점 정직원 및 알바 구함,10:00~02:30,월급,"2,400,000",2시간전
충남 아산시,구구족 아산점 실장님 구해요,14:00~01:30,월급,"3,200,000",2시간전
울산 북구,구구족 울산 북구 호계점 정규직 및 파트타임,시간 협의,월급,"10,000",2시간전
울산 북구,구구족 울산 북구 호계점 정규직 및 파트타임,시간 협의,월급,"10,000",2시간전
서울 마포구,구구족(족발 배달 전문) 정직원 구합니다,시간 협의,월급,"2,600,000",2시간전
서울 동작구,구구족 신대방삼거리역점 주말 오픈 알바,11:00~02:00,월급,"11,000",2시간전
서울 동작구,구구족 신대방삼거리역점 주말 오픈 알바,11:00~02:00,월급,"11,000",2시간전
서울 서초구,(예시) 구구족 가맹점 구인 공고,시간 협의,월급,"9,160",2시간전
경기 광명시,[광명/하안/철산] 구구족본점 주방직원 모집 [주5일/290만원],15:00~03:00,월급,"2,900,000",2시간전
서울 성북구,구구족 성신여대점 직원 모집,10:00~08:00,월급,"2,500,000",2시간전
서울 강남구,구구족 강남대치점 아르바이트 모집,시간 협의,월급,"13,000",2시간전
서울 강남구,구구족 강남대치점  정직원 모집합니다,시간 협의,월급,"3,200,000",2시간전
경기 용인시,구구족 (용인보정점) 알바 大모집,시간 협의,월급,"10,000",2시간전
충북 청주시,구구족 가족 모십니다.,10:00~22:00,월급,"3,200,000",2시간전
충북 청주시,구구족 가족 모십니다.,10:00~22:00,월급,"3,200,000",2시간전
충북 청주시,구구족 가족 모십니다.,10:00~22:00,월급,"3,200,000",2시간전
서울 성북구,구구족 성신여대점 직원 모집,10:00~08:00,월급,"2,500,000",3시간전
경기 성남시,단대오거리역/구구족에서 아르바이트 하실분을 모집합니다.,시간 협의,월급,"9,500",3시간전
서울 강남구,구구족 강남대치점  정직원 모집합니다,시간 협의,월급,"3,200,000",4시간전
서울 강남구,구구족 강남대치점 아르바이트 모집,시간 협의,월급,"13,000",4시간전
서울 동작구,구구족 신대방삼거리역점 주말 오픈 알바,11:00~02:00,월급,"11,000",4시간전
울산 북구,구구족 울산 북구 호계점 정규직 및 파트타임,시간 협의,월급,"10,000",5시간전
충남 아산시,구구족 아산점 실장님 구해요,14:00~01:30,월급,"3,200,000",7시간전
서울 강서구,구구족 화곡점 정직원 및 알바 구함,10:00~02:30,월급,"2,400,000",7시간전
경기 성남시,단대오거리역/구구족에서 함께일할 직원분을 모집합니다.,시간 협의,월급,"2,500,000",7시간전
경기 남양주,구구족 다산점  직원모집/급여300/파트모집,10:00~22:00,월급,"3,000,000",8시간전
충북 청주시,구구족 가족 모십니다.,10:00~22:00,월급,"3,200,000",8시간전
