Place,Title,Time,Payday,Pay,Date
인천 서구,대한곱창 검단신도시점 6월 신규오픈 주방직원 구함,15:00~22:00,월급,"2,100,000",3분전
경기 김포시,대한곱창 검단신도시점 6월 신규오픈 주방직원 구함,15:00~22:00,월급,"2,100,000",5분전
경기 광주시,주말 홀.서빙 아르바이트 모집,18:00~23:00,월급,"9,500",10분전
인천 서구,대한곱창 검단신도시점 6월 신규오픈 주방직원 구함,15:00~22:00,월급,"2,100,000",10분전
경기 광주시,주말 홀.서빙 아르바이트 모집,18:00~23:00,월급,"9,500",12분전
경기 광주시,대한곱창 광주초월점 주방직원 모집,14:00~24:00,월급,"2,500,000",13분전
전남 여수시,홀서빙 알바모집(교통비지급),18:00~22:00,월급,"11,000",43분전
인천 서구,대한곱창 인천청라점 홀서빙 알바 구합니다.,19:00~23:00,월급,"11,000",1시간전
인천 서구,대한곱창 검단신도시점 6월 신규오픈 매장 주말 홀서빙구함,17:30~22:30,월급,"11,000",5시간전
세종 소담동,대한곱창 소담점에서 목금토 홀서빙 아르바이트를 모집합니다,19:00~23:00,월급,"9,500",6시간전
경기 안산시,대한곱창 주방 직원 구인합니다,15:30~23:00,월급,"10,000",6시간전
전남 여수시,홀서빙 알바모집(교통비지급),18:00~22:00,월급,"11,000",7시간전
충북 청주시,대한곱창  청주동남점  아르바이트모집,시간 협의,월급,"10,000",05/20
경기 안산시,대한곱창 주방 직원 구인합니다,15:30~23:00,월급,"10,000",05/19
충북 청주시,대한곱창 지웰점에서 함께일하실 가족분들을 모십니다/홀서빙/ 주방보조,시간 협의,월급,"9,600",05/19
울산 남구,[화사곱창] 대한곱창 울산달동점 홀 알바 모집,17:00~24:00,월급,"9,200",05/17
부산 금정구,부산대 대한곱창에서 정직원을 모집합니다.,04:30~12:30,월급,"2,300,000",05/16
부산 금정구,부산대 대한곱창에서 정직원을 모집합니다.,04:30~12:30,월급,"2,300,000",05/16
부산 금정구,부산대 대한곱창에서 정직원을 모집합니다.,04:30~12:30,월급,"2,300,000",05/16
부산 금정구,부산대 대한곱창에서 정직원을 모집합니다.,04:30~12:30,월급,"2,300,000",05/16
울산 남구,[화사곱창] 대한곱창 울산달동점 홀 알바 모집,17:00~24:00,월급,"9,200",05/16
충북 청주시,대한곱창  청주동남점  아르바이트모집,시간 협의,월급,"10,000",05/16
충북 청주시,대한곱창 지웰점에서 함께일하실 가족분들을 모십니다,시간 협의,월급,"9,400",05/15
경기 광주시,대한곱창 광주초월점 주방직원 모집,14:00~24:00,월급,"2,500,000",05/14
부산 강서구,명지동 대한곱창에서 홀 주방 아르바이트생 모집합니다,18:00~23:00,월급,"11,000",05/13
서울 송파구,대한곱창 문정역점 설거지인원 모집합니다.,시간 협의,월급,"12,000",05/12
서울 전체,대한곱창 선릉점에서 홀서빙 구합니다,18:00~23:00,월급,"1,500,000",05/10
서울 광진구,"대한곱창 직영팀 PT 모집합니다 시급11,000원",시간 협의,월급,"11,000",05/09
