Place,Title,Time,Payday,Pay,Date
전남 순천시,"도야족발에서  직원, 주말알바 구합니다",시간 협의,월급,"2,000,000",22분전
전남 순천시,"도야족발에서  직원, 주말알바 구합니다",시간 협의,월급,"2,000,000",3시간전
전남 순천시,"도야족발에서  직원, 주말알바 구합니다",시간 협의,월급,"2,000,000",3시간전
울산 남구,"야음동 도야족발, 도야 짬뽕에서 직원,홀매니저, 알바생을 구합니다",시간 협의,월급,"2,800,000",3시간전
울산 남구,"야음동 도야족발, 도야 짬뽕에서 직원,홀매니저, 알바생을 구합니다",시간 협의,월급,"2,800,000",5시간전
전남 순천시,"도야족발에서  직원, 주말알바 구합니다",시간 협의,월급,"2,000,000",05/22
전남 순천시,"도야족발에서  직원, 주말알바 구합니다",시간 협의,월급,"2,000,000",05/21
울산 북구,도야족발보쌈 강동산하점   주말알바구합니다,18:00~21:00,월급,"10,000",05/20
울산 남구,"야음동 도야족발, 도야 짬뽕에서 직원,홀매니저, 알바생을 구합니다",시간 협의,월급,"2,800,000",05/16
충남 공주시,주방알바구함,01:00~09:00,월급,"9,500",05/15
충남 서산시,도야족발서산점.,05:00~10:00,월급,"9,300",05/13
충남 서산시,도야족발서산점.,05:00~10:00,월급,"9,300",05/10
울산 남구,"야음동 도야족발, 도야 짬뽕에서 직원,홀매니저, 주방이모님 알바생을 구합니다",시간 협의,월급,"2,900,000",05/10
