Place,Title,Time,Payday,Pay,Date
서울 용산구,롭스용산역점에서 함께 할 주말마감 메이트구합니다,16:00~22:30,월급,"9,160",17분전
경기 이천시,롭스 이천점 평일(주5일) 오후타임 아르바이트 구인,15:30~21:30,월급,"9,160",53분전
서울 강남구,롭스 선릉점 평일 오후 메이트 모집합니다.,16:30~22:30,월급,"9,160",2시간전
경기 수원시,롭스 수원역사점 주말 오픈메이트 모집합니다.,10:00~16:30,월급,"9,160",2시간전
경남 양산시,"롭스 양산점에서 평일(화,수,목) 마감 메이트를 모집합니다.",16:30~21:00,월급,"9,160",2시간전
경남 양산시,롭스 양산점에서 주말 마감 메이트를 모집합니다.,16:30~21:00,월급,"9,160",2시간전
서울 강남구,롭스 가로수길점 주말 오전 PT 모집합니다.,10:00~13:30,월급,"9,160",2시간전
경기 남양주,"비바건강마켓 남양주진접점 상품진열,관리 및 캐셔",시간 협의,월급,"9,160",2시간전
서울 용산구,롭스용산역점에서 함께 할 주말마감 메이트구합니다,16:00~22:30,월급,"9,160",05/22
서울 용산구,롭스용산역점에서 함께 할 주말마감 메이트구합니다,16:00~22:30,월급,"9,160",05/21
서울 마포구,[급구]롭스 홍대역점 주말 마감 메이트 모집 합니다.,15:30~22:00,월급,"9,160",05/21
경남 양산시,"롭스 양산점에서 평일(화,수,목) 마감 메이트를 모집합니다.",16:30~21:00,월급,"9,160",05/20
경기 양평군,롯데마트 경기양평점에서 주말 오후PT 모집합니다.,16:00~19:30,월급,"9,160",05/20
부산 부산진,롭스 서면역사점 평일 오전 파트타이머 구합니다,11:00~15:30,월급,"9,160",05/20
경기 수원시,롭스 수원역사점 평일 오후 메이트 모집합니다.,19:00~22:00,월급,"9,160",05/20
서울 강북구,롭스 수유점 주말 오전 메이트 모집합니다.,11:30~17:00,월급,"9,160",05/18
부산 부산진,롭스 서면역사점 평일 오전 파트타이머 구합니다,11:00~15:30,월급,"9,160",05/15
경기 안산시,롯데쇼핑 롭스 안산중앙점 주말 오후 메이트 채용합니다,17:00~23:00,월급,"9,160",05/14
경기 안산시,롯데쇼핑 롭스 안산중앙점 주말 오전 메이트 채용합니다,10:00~17:00,월급,"9,160",05/14
경기 남양주,"비바건강마켓 남양주진접점 상품진열,관리 및 캐셔",시간 협의,월급,"9,160",05/14
