Place,Title,Time,Payday,Pay,Date
전남 순천시,롯데리아 순천금당점에서 함께일할 아르바이트를 모집합니다,16:00~22:00,월급,"9,160",9분전
전북 전주시,롯데리아 서신점에서 남자 아르바이트 구합니다.,17:00~23:30,월급,"9,160",10분전
서울 광진구,심야시간 근무 아르바이트 大모집,시간 협의,월급,"9,160",17분전
제주 서귀포,롯데리아 서귀포점 아르바이트 구합니다,17:00~23:00,월급,"9,160",18분전
경기 화성시,심야시간 주방근무 / 주5회 근무시 200만원 이상,23:00~07:00,월급,"2,000,000",22분전
경기 오산시,야간배달사원 / 5일근무시 월 250만원 이상[각종수당 포함],00:00~08:00,일급,"120,000",22분전
경기 화성시,심야시간 주방근무 / 주5회 근무시 200만원 이상,23:00~07:00,월급,"2,000,000",22분전
경기 오산시,야간배달사원 / 5일근무시 월 250만원 이상[각종수당 포함],00:00~08:00,일급,"120,000",22분전
경기 화성시,심야시간 주방근무 / 주5회 근무시 200만원 이상,23:00~07:00,월급,"2,000,000",23분전
서울 중랑구,"오전, 오후 근무 아르바이트 大모집",시간 협의,월급,"9,160",24분전
충남 공주시,(남) 아르바이트생 구합니다.,09:00~23:00,월급,"9,160",25분전
서울 광진구,"오전,오후 근무 아르바이트 大모집",시간 협의,월급,"9,160",25분전
경남 창원시,롯데리아 마산터미널점에서 아르바이트 모집합니다(야간급구),시간 협의,월급,"9,160",27분전
경기 양주시,롯데리아 양주고읍점 남자아르바이트 모집합니다,시간 협의,월급,"9,160",29분전
경기 의정부,롯데리아 의정부민락점 알바및주부사원 모집합니다~~,시간 협의,월급,"9,160",29분전
경기 의정부,롯데리아 의정부민락점 알바및주부사원 모집합니다~~,시간 협의,월급,"9,160",29분전
서울 관악구,방배역점 매니저/관리자 모집(롯데리아 경력자),시간 협의,월급,"2,300,000",30분전
서울 관악구,"알바, 파트타임 계약직 모집(vice)",09:00~15:00,월급,"9,200",30분전
경남 창원시,"롯데리아 창원감계점 알바모집(북면,주휴수당있음)",11:00~15:00,월급,"9,160",36분전
대구 서구,남여 알바생을 모집합니다.,시간 협의,월급,"9,160",36분전
대구 남구,롯데리아 봉덕점에서  경력사원 및 아르바이트생을 모집합니다,시간 협의,월급,"9,160",38분전
경북 경산시,롯데리아 경산사동점에서 정규직 직원& 아르바이트생을 모집합니다,시간 협의,월급,"9,160",43분전
부산 연제구,"롯데리아경력자 남,여 알바모집",시간 협의,월급,"9,160",45분전
서울 강남구,"[롯데리아 강남일원점] 아르바이트 모집 (주부가능,신입가능)",10:00~23:30,월급,"9,160",46분전
서울 강동구,아르바이트생 채용,시간 협의,월급,"9,160",49분전
서울 강동구,아르바이트생 채용,시간 협의,월급,"9,160",49분전
서울 강동구,아르바이트생 채용,시간 협의,월급,"9,160",49분전
서울 강남구,"[롯데리아 강남일원점] 아르바이트 모집 (주부가능,신입가능)",10:00~23:30,월급,"9,160",52분전
서울 구로구,아르바이트 모집해용,17:00~23:00,월급,"9,160",55분전
부산 해운대,"롯데리아재송점 매장관리자 채용합니다 (신입,경력자)",시간 협의,월급,"2,100,000",55분전
서울 구로구,아르바이트 모집해용,17:00~23:00,월급,"9,160",55분전
부산 해운대,"롯데리아재송점 매장관리자 채용합니다 (신입,경력자)",시간 협의,월급,"2,100,000",55분전
경기 안성시,"롯데리아  직원 구함( 남 ,여 )",09:00~21:00,월급,"2,600,000",55분전
경기 안성시,"아르바이트 모집합니다 (남,여,주부가능)",시간 협의,월급,"9,160",55분전
서울 동작구,롯데리아 이수역점  부점장 모집,09:00~18:00,월급,"2,600,000",56분전
서울 동작구,이수역점 아르바이트생 모집합니다~,시간 협의,월급,"9,160",56분전
부산 해운대,롯데리아부산재송점 평일+주말  오후반   아르바이트생 모집합니다.,시간 협의,월급,"9,160",57분전
대전 유성구,관리자님 / 알바님 함께해요,시간 협의,월급,"9,160",1시간전
대전 유성구,관리자 및 아르바이트 모집합니다,시간 협의,월급,"9,160",1시간전
경남 창원시,롯데리아경남대점 주말마감구인합니다,18:00~21:00,월급,"9,160",1시간전
