Place,Title,Time,Payday,Pay,Date
서울 관악구,MUJI / 무인양품 / 무지 강남점 직원 모집,시간 협의,월급,"23,000,000",49분전
경기 안산시,무인양품/MUJI/무지 안산점 평일 (월화수)파트타이머 모집,16:30~20:30,월급,"9,250",3시간전
대구 북구,무인양품(MUJI) 대구점 직원 모집,시간 협의,월급,"23,000,000",4시간전
대구 북구,무인양품(MUJI) 대구점 직원 모집,시간 협의,월급,"23,000,000",4시간전
울산 동구,MUJI / 무인양품 / 무지 울산점 직원 모집,시간 협의,월급,"23,000,000",5시간전
경남 김해시,MUJI / 무인양품 / 무지 김해점 직원 모집,시간 협의,월급,"23,000,000",5시간전
부산 수영구,MUJI / 무인양품 / 무지 부산 센텀시티몰점 직원 모집,시간 협의,월급,"23,000,000",5시간전
대전 전체,MUJI /무인양품 /무지 대전점 직원 모집,시간 협의,월급,"23,000,000",5시간전
광주 동구,MUJI / 무인양품 / 무지 광주점 직원 모집,시간 협의,월급,"23,000,000",5시간전
부산 동래구,MUJI / 무인양품 / 무지 부산본점 직원 모집,시간 협의,월급,"23,000,000",5시간전
서울 송파구,MUJI / 무인양품 / 무지 위례점 직원모집 /  특별수당지급,시간 협의,월급,"23,000,000",5시간전
서울 노원구,MUJI / 무인양품 / 무지 노원점 직원 모집,시간 협의,월급,"23,000,000",5시간전
서울 마포구,MUJI / 무인양품 / 무지 벨라시타몰점 직원 모집,시간 협의,월급,"23,000,000",5시간전
경기 고양시,MUJI / 무인양품 / 무지 일산점 직원 모집,시간 협의,월급,"23,000,000",5시간전
서울 관악구,MUJI / 무인양품 / 무지 용산 아이파크몰점 직원 모집,시간 협의,월급,"23,000,000",5시간전
서울 마포구,MUJI / 무인양품 / 무지 은평점 직원 모집,시간 협의,월급,"23,000,000",5시간전
서울 양천구,MUJI / 무인양품 / 무지 여의도 IFC몰점 직원 모집,시간 협의,월급,"23,000,000",5시간전
서울 용산구,MUJI / 무인양품 / 무지 서울역점 직원모집,시간 협의,월급,"23,000,000",5시간전
서울 동대문,MUJI / 무인양품 / 무지 영플라자점 직원 모집,시간 협의,월급,"23,000,000",5시간전
서울 중구,MUJI / 무인양품 / 무지 영풍종로점 직원 모집,시간 협의,월급,"23,000,000",5시간전
인천 연수구,MUJI / 무인양품 / 무지 인천 스퀘어원점/직원 모집,시간 협의,월급,"23,000,000",8시간전
서울 영등포,MUJI / 무인양품 / 무지 타임스퀘어점 직원 모집,시간 협의,월급,"23,000,000",8시간전
경기 안산시,무인양품/MUJI/무지 안산점 직원 모집,시간 협의,월급,"23,000,000",8시간전
경기 수원시,MUJI / 무인양품 / 무지 AK기흥점 직원 모집,시간 협의,월급,"23,000,000",8시간전
경기 수원시,MUJI / 무인양품 / 무지 롯데분당점(수내역) 직원모집,시간 협의,월급,"23,000,000",8시간전
경기 성남시,MUJI / 무인양품 / 무지 롯데분당점(수내역) 직원모집,시간 협의,월급,"23,000,000",8시간전
경기 수원시,MUJI / 무인양품 / 무지 AK분당점 직원 모집,시간 협의,월급,"23,000,000",8시간전
서울 관악구,MUJI / 무인양품 / 무지 파르나스몰점 직원 채용,시간 협의,월급,"23,000,000",8시간전
서울 서대문,MUJI / 무인양품 / 무지 합정점 직원모집,시간 협의,월급,"1,933,000",8시간전
서울 강동구,MUJI / 무인양품 /롯데월드몰점 리뉴얼 오픈 멤버 대모집,시간 협의,월급,"23,000,000",8시간전
서울 마포구,MUJI/무인양품/무지 신촌점 직원 모집,시간 협의,월급,"23,000,000",8시간전
서울 서대문,MUJI/무인양품/ 무지 AK홍대점 직원 모집,시간 협의,월급,"23,000,000",8시간전
경기 수원시,MUJI / 무인양품 / 무지 수지점 직원 모집,시간 협의,월급,"1,933,000",8시간전
서울 강남구,MUJI / 무인양품 / 무지 판교점 직원 모집,시간 협의,월급,"23,000,000",8시간전
경기 하남시,MUJI / 무인양품 / 무지 하남점 직원 모집,시간 협의,월급,"23,000,000",22시간전
대전 전체,MUJI / 무인양품 / 무지 대전점 직원모집,시간 협의,월급,"23,000,000",05/22
서울 동작구,MUJI / 무인양품 / 무지 강남점 직원 모집,시간 협의,월급,"23,000,000",05/22
대전 전체,MUJI / 무인양품 / 무지 대전점 직원모집,시간 협의,월급,"23,000,000",05/22
대구 동구,MUJI / 무인양품 / 무지 신세계대구점 직원 모집,시간 협의,월급,"23,000,000",05/22
울산 남구,MUJI / 무인양품 / 무지 울산점 직원 모집,시간 협의,월급,"23,000,000",05/22
