Place,Title,Time,Payday,Pay,Date
경남 통영시,"[통영-전지역] 부릉 기사, 배달 대행 기사 모집",시간 협의,월급,"10,200",6분전
서울 영등포,"[영등포- 영등포지점] 부릉 기사, 배달 대행 기사 모집",09:00~00:00,월급,"80,000,000",21분전
서울 동작구,"[영등포 신길지점] 부릉 기사, 배달 대행 기사 모집",09:00~00:00,일급,"350,000",21분전
서울 동작구,"[동작-노량진] 부릉 기사, 배달 대행 기사 모집",09:00~24:00,월급,"3,200",21분전
경남 창원시,"[창원-팔용] 부릉 기사, 배달 대행 기사 모집",시간 협의,월급,"4,500,000",22분전
경남 창원시,"[창원-팔용] 부릉 기사, 배달 대행 기사 모집",시간 협의,월급,"4,500,000",22분전
서울 강북구,[강북-미아] 부릉 파트타임 기사모집,시간 협의,월급,"4,000",58분전
서울 강북구,[강북-미아] 부릉 파트타임 기사모집,시간 협의,월급,"4,000",58분전
경기 수원시,"[수원-매탄] 부릉 기사, 배달 대행 기사 모집",시간 협의,월급,"6,000,000",1시간전
인천 서구,[부릉인천서구]연희.심곡.검암.청라.가정 서구전지역,시간 협의,월급,"3,500",1시간전
인천 서구,[부릉인천서구]연희.심곡.검암.청라.가정 서구전지역,시간 협의,월급,"3,500",1시간전
인천 서구,[부릉인천서구]연희.심곡.검암.청라.가정 서구전지역,시간 협의,월급,"3,500",1시간전
광주 남구,광주 남구 배달대행 콜 많고 분위기 좋은 부릉 기사님 모집합니다,09:30~00:30,월급,"2,900",1시간전
서울 송파구,"[송파-가락] 부릉 기사, 배달 대행 기사 모집",10:00~24:00,월급,"3,500",1시간전
경기 용인시,[용인-보라]  부릉 보라동 배달 대행 기사 모집,10:30~24:00,월급,"4,500,000",1시간전
충북 청주시,[청주-오창] 부릉 기사 배달 대행 오창라이더님 모집,09:00~02:00,월급,"3,200",1시간전
경남 창원시,[창원 성산/의창 부릉]  배달 대행 VROONG 기사님 모집 합니다.,시간 협의,월급,"4,500,000",2시간전
경남 창원시,[창원 성산/의창 부릉]  배달 대행 VROONG 기사님 모집 합니다.,시간 협의,월급,"4,500,000",2시간전
울산 동구,"[동구-울산] 부릉 화정지사 라이더, 배달 대행 기사 모집, 신규 입사이벤트",시간 협의,월급,"5,000,000",2시간전
경남 양산시,"[양산-웅상] ㅡ부릉 ㅡ배달 대행 기사 모집ㅡ서창,덕계ㅡ",10:00~01:00,월급,"4,000,000",2시간전
경남 양산시,"[양산-웅상] ㅡ부릉 ㅡ배달 대행 기사 모집ㅡ서창,덕계ㅡ",10:00~01:00,월급,"4,000,000",2시간전
부산 사하구,[부산-다대장림] 1~2시간짧시간부터 주말 파트까지 소득세금면제됩니다.,09:00~02:00,월급,"3,000",2시간전
부산 사하구,"[부산-다대] 부릉 기사, 배달 대행 기사 모집",08:00~03:00,월급,"3,000",2시간전
인천 남동구,"[인천-논현/서창] 부릉 기사, 배달 대행 기사 모집",10:00~01:00,월급,"3,800",2시간전
인천 남동구,"[인천-논현/서창] 부릉 기사, 배달 대행 기사 모집",10:00~01:00,월급,"3,800",2시간전
서울 강서구,No.1 [ 화곡동배달대행 ]  전국최고단가. 라이더 대모,시간 협의,일급,"250,000",3시간전
대구 수성구,"[급구]수성구배달대행 1위[부릉] 외에 돈버는곳 없습니다-리스, 일렌트 가능",08:00~04:00,일급,"300,000",3시간전
대구 수성구,"[급구]수성구배달대행 1위[부릉] 외에 돈버는곳 없습니다-리스, 일렌트 가능",08:00~04:00,일급,"300,000",3시간전
경기 성남시,[중윈-수정] 배달대행 부릉 [초보자 :프로라이더+교포가능]콜비4000원이상,10:00~03:00,월급,"5,000,000",3시간전
경기 성남시,[중윈-수정] 배달대행 부릉 [초보자 :프로라이더+교포가능][콜비 4000원,10:00~03:00,월급,"5,000,000",3시간전
경기 성남시,[중윈-수정]배달대행부릉 [초보자 :프로라이더+교포가능][콜비 4000원이상,10:00~03:00,월급,"5,000,000",3시간전
경기 성남시,"[성남-신흥] 부릉 기사, 배달 대행 기사 모집",10:00~03:00,월급,"5,500,000",3시간전
경기 성남시,"[성남-신흥] 부릉 기사, 배달 대행 기사 모집",10:00~03:00,월급,"5,500,000",3시간전
인천 계양구,"[인천-작전]  계양구 최고대우 부릉 기사, 배달 대행 기사 모집",시간 협의,일급,"200,000",3시간전
울산 동구,"[동구-울산] 부릉 화정지사 라이더, 배달 대행 기사 모집, 신규 입사이벤트",시간 협의,월급,"5,000,000",3시간전
울산 동구,"[동구-울산] 부릉 화정지사 라이더, 배달 대행 기사 모집, 신규 입사이벤트",시간 협의,월급,"5,000,000",3시간전
부산 기장군,[기장부릉배달대행] 기장 부릉 배달대행 기사모집 기장최다콜보유,09:00~02:00,월급,"3,500",3시간전
부산 기장군,[기장부릉배달대행] 기장 부릉 배달대행 기사모집 기장최다콜보유,09:00~02:00,월급,"3,500",3시간전
인천 서구,"[인천-석남] 부릉 기사, 배달 대행 기사 모집 (일20~30만원)",08:00~01:00,일급,"250,000",4시간전
전북 전주시,"[전주-만성혁신점] 부릉 기사, 배달 대행 기사 모집",10:00~01:00,월급,"5,000,000",4시간전
