Place,Title,Time,Payday,Pay,Date
경기 안산시,고잔NC백화점 브라운돈까스 오픈조 주방 구인,09:30~16:30,월급,"1,700,000",2시간전
서울 송파구,[롯데마트 제타플렉스점]브라운돈까스 직원모집 [주6일 280],10:00~20:00,월급,"2,800,000",2시간전
경기 수원시,이마트 수원점 브라운돈까스  정직원모집,시간 협의,월급,"2,200,000",8시간전
경기 안산시,고잔NC백화점 브라운돈까스 오픈조 주방 구인,09:30~16:30,월급,"1,700,000",8시간전
경기 수원시,이마트 수원점 브라운돈까스  정직원모집,시간 협의,월급,"2,200,000",05/22
경기 안산시,고잔 NC백화점 브라운돈까스 아르바이트 구인,17:00~21:00,월급,"10,000",05/22
서울 송파구,[롯데마트 제타플렉스점]브라운돈까스 직원모집 [주6일 280],10:00~20:00,월급,"2,800,000",05/22
서울 송파구,[롯데마트 제타플렉스점]브라운돈까스 직원모집 [주6일 280],10:00~20:00,월급,"2,800,000",05/22
서울 송파구,[롯데마트 제타플렉스점]브라운돈까스 직원모집 [주6일 280],10:00~20:00,월급,"2,800,000",05/16
서울 송파구,[롯데마트 제타플렉스점]브라운돈까스 직원모집 [주6일 280],10:00~20:00,월급,"2,800,000",05/16
경기 수원시,이마트 수원점 브라운돈까스 정직원모집,09:30~21:30,월급,"2,700,000",05/15
경기 안산시,고잔 NC백화점 브라운돈까스 아르바이트 구인,17:00~21:00,월급,"10,000",05/14
경기 수원시,이마트  수원점 브라운돈까스 정직원모집,시간 협의,월급,"2,200,000",05/11
