Place,Title,Time,Payday,Pay,Date
전북 전주시,"마감 시간대 근무자를 찾습니다(수,목,금  6시-10시 20분)",18:00~22:00,월급,"9,160",1분전
광주 동구,빽다방 광주 충장1호점  평일 마감 근무자 구합니다,18:00~24:00,월급,"9,160",1분전
경기 수원시,빽다방 수원호매실능실점  매니저모집합니다,시간 협의,월급,"1,980,000",1분전
제주 제주시,빽다방베이커리에서 친절한 직원을 모집합니다(평일오픈),07:00~11:00,월급,"9,160",1분전
광주 동구,빽다방 광주 충장1호점  주말 마감 근무자 구합니다,18:00~24:00,월급,"9,160",1분전
인천 부평구,[주말알바] 주말 미들 알바 구합니다.,10:00~17:00,월급,"9,160",1분전
경기 고양시,빽다방 일산강선점에서 주말미들  파트타이머 구합니다.,시간 협의,월급,"9,160",2분전
경북 경주시,백다방 경주 로데오점 평일 주5일 마감조 직원 모집공고,17:00~22:00,월급,"9,160",2분전
경기 수원시,빽다방(수원탑동점) - (월화수 / 목금) 마감_파트타이머 모집,18:00~23:00,월급,"9,160",3분전
인천 계양구,마감  알바  구합니다,16:30~22:30,월급,"9,160",4분전
전북 군산시,"빽다방 군산대점   주말오후및마감알바 모집합니다 (경력無, 의욕有)",시간 협의,월급,"9,160",4분전
서울 강동구,빽다방 암사역점  주중 2일 오픈 조 모집합니다(주2일),07:30~15:00,월급,"9,200",4분전
전북 전주시,빽다방전주에코시티점에서 같이 일하실 분을 모집합니다(신입가능),18:00~22:30,월급,"9,160",5분전
서울 금천구,독산롯데점  주말파트타이머를 채용합니다,시간 협의,월급,"9,500",6분전
서울 강동구,빽다방 암사역점에서    월.화.수  미들조를 모집합니다,13:30~18:00,월급,"9,200",7분전
충북 청주시,"빽다방에서 알바구인합니다.  (토,일) 18시-22시",18:00~22:00,월급,"9,700",8분전
충북 청주시,"빽다방에서 알바구인합니다.  (토,일) 13시- 18시",13:00~18:00,월급,"9,700",9분전
서울 광진구,다방 어린이대공원역점 평일(목금) 오후 알바 모집합니다.,16:00~22:00,월급,"9,160",10분전
서울 광진구,"다방 어린이대공원역점 평일(월화수, 목금) 오전알바 모집합니다",10:00~16:00,월급,"9,160",10분전
서울 송파구,빽다방 송파하비오점 평일 마감 & 주말마감 힘께해요,18:00~22:30,월급,"9,160",10분전
전북 전주시,빽다방 전주KBS점 주말 오전파트,08:00~15:00,월급,"9,160",11분전
경기 수원시,빽다방 수원조원시장점 주말오픈  아르바이트 모집합니다,09:00~14:00,월급,"9,160",11분전
경북 경주시,백다방 경주 로데오점 주말 마감조 AR 모집공고,17:00~22:00,월급,"10,000",14분전
경북 경주시,백다방 경주 로데오점 평일 주5일 미들 AR 모집공고,12:00~16:00,월급,"9,160",14분전
대구 달서구,빽다방 대구상인화성파크점 주말 오픈 / 경력직 뽑습니다,08:30~13:30,월급,"9,160",16분전
경기 수원시,"수원인계CGV점 빽다방 화 ,수 ,목 마감 pt 구함(1명)",21:00~03:00,월급,"9,300",17분전
대구 중구,빽다방 반월당현대점에서 월화수목아르바이트를 모집합니다.,19:00~22:00,월급,"9,160",17분전
경기 수원시,주말 토.일 미들 구해요.,12:00~18:00,월급,"9,160",17분전
광주 서구,광주 상무역점 평일 오픈 모집합니다.,09:00~14:00,월급,"9,160",19분전
대구 중구,빽다방 반월당현대점에서 월화수목아르바이트를 모집합니다.,19:00~22:00,월급,"9,160",19분전
충남 천안시,"[빽다방 성성점] 목,금,토,일 & 월,화,수 & 토,일 근무 구합니다.",시간 협의,월급,"9,160",20분전
대전 동구,"빽다방 대전가오점 토,일,월 알바 구합니다",18:00~23:00,월급,"9,160",20분전
전북 익산시,"빽다방 익산시민공원 토,일 (10시-4시) 아르바이트 구함",10:00~16:00,월급,"9,160",21분전
서울 성북구,성신여대점에서 주말마감 아르바이트 하실분을 모십니다.,17:00~23:00,월급,"9,200",23분전
서울 구로구,빽다방 고대구로병원점 알바 모집. 신규오픈매장(6월9일오픈),시간 협의,월급,"9,160",23분전
전북 익산시,빽다방 익산시민공원점 매니저 채용,12:30~21:30,월급,"11,000",24분전
서울 도봉구,빽다방 도봉구민회관점  월수금 아르바이트 모십니다,10:00~14:00,월급,"9,200",24분전
전북 익산시,빽다방 익산시민공원점  토일 마감조(16시~21시30분)구함,16:00~21:30,월급,"9,160",24분전
서울 성북구,성신여대점에서 주말마감 아르바이트 하실분을 모십니다.,17:00~23:00,월급,"9,200",24분전
서울 도봉구,빽다방 쌍문세라믹점 월수금 및 화목 미들 및 마감 구합니다.,시간 협의,월급,"9,160",25분전
