Place,Title,Time,Payday,Pay,Date
서울 서초구,"[센트럴시티점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",1분전
부산 부산진,[쉐이크쉑 부산 서면점 신규 직원 모집],시간 협의,월급,"9,300",25분전
서울 강남구,"[강남점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",1시간전
서울 성동구,"[두타점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",2시간전
서울 동대문,"[두타점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",2시간전
서울 강북구,"[두타점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",2시간전
서울 성북구,"[두타점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",2시간전
인천 연수구,"[송도점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",2시간전
서울 노원구,[노원점]Shake Shack Staff모집,시간 협의,월급,"9,300",4시간전
경기 고양시,"[고양점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",4시간전
서울 관악구,"[신림점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",5시간전
서울 마포구,"[홍대점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",5시간전
서울 노원구,[노원점]Shake Shack Staff모집,시간 협의,월급,"9,300",05/23
서울 관악구,"[신림점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/23
서울 마포구,"[홍대점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/23
경기 화성시,"[동탄점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/23
서울 용산구,"[용산점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/23
서울 종로구,"[종각점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/23
서울 강남구,"[청담점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/23
대구 중구,"[동성로점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/22
대구 중구,"[동성로점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/19
서울 마포구,"[홍대점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/17
대구 중구,"[동성로점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/14
대전 서구,"[둔산점]Shake Shack Staff모집(주휴포함 11,160원)",시간 협의,월급,"9,300",05/13
