Place,Title,Time,Payday,Pay,Date
서울 강남구,스타벅스커피코리아 을지병원사거리점 바리스타 모집,시간 협의,월급,"10,000",1분전
충남 서산시,[스타벅스]서산호수점 열정있는 바리스타를 모집합니다.,07:00~22:00,월급,"10,000",2분전
세종 가람동,[세종이마트] 세종시 스타벅스 세종이마트점 바리스타 모집,시간 협의,월급,"10,000",4분전
대구 전체,[대구삼성화재] 바리스타모집,07:00~18:30,월급,"10,000",5분전
경기 이천시,스타벅스 이천증포DT점 바리스타 모집,시간 협의,월급,"10,000",10분전
경기 전체,스타벅스 여주DT점 바리스타 모집,시간 협의,월급,"10,000",10분전
세종 전체,[스타벅스 세종종촌] 신규 바리스타를 모집합니다,시간 협의,월급,"10,000",12분전
경기 평택시,[스타벅스 평택대DT] 바리스타 모집,06:30~23:00,월급,"10,000",12분전
서울 강남구,논현역사거리점에서 바리스타를 모집합니다.,시간 협의,월급,"10,000",15분전
경북 경주시,[바리스타채용] 경주용강DT점 바리스타 채용,시간 협의,월급,"10,000",16분전
경기 성남시,[정자아데나] 성남시 분당구 정자아데나점 바리스타 모집,06:30~21:30,월급,"10,000",17분전
경기 전체,스타벅스 여주 P.아울렛점에서 함께 일하실 바리스타를 모집합니다.,시간 협의,월급,"10,000",18분전
제주 서귀포,[서귀포/제주에듀시티점]바리스타모집(교통비협의),시간 협의,월급,"10,000",21분전
서울 전체,[사당역] 서울시 동작구 사당역점 바리스타 모집,시간 협의,월급,"10,000",21분전
경기 남양주,[스타벅스 남양주화도DT] 함께 일할 바리스타 모집,시간 협의,월급,"10,000",21분전
경기 용인시,스타벅스 수지풍덕천점 바리스타 모집,시간 협의,월급,"10,000",22분전
충북 청주시,스타벅스 청주오송점에서 함께할 파트너를 모집합니다,06:30~23:00,월급,"10,000",25분전
대전 전체,스타벅스 대전 신탄진DT점에서 함께 일할 파트너를 모집합니다.,06:00~22:00,월급,"10,000",27분전
서울 강남구,[스타벅스 도산사거리점] 바리스타 모집,07:00~21:30,월급,"10,000",28분전
서울 구로구,스타벅스 구로하이엔드점에서 함께 근무할 파트너를 모집합니다.,시간 협의,월급,"10,000",28분전
대전 유성구,[스타벅스 대전관평동점] 관평동점에서 함께 근무할 바리스타를 모집합니다,시간 협의,월급,"10,000",37분전
서울 강남구,스타벅스 역삼포스코점에서 함께할 바리스타를 모집합니다.,시간 협의,월급,"10,000",39분전
경기 전체,스타벅스 여주 P.아울렛점에서 함께 일하실 바리스타를 모집합니다.,시간 협의,월급,"10,000",41분전
서울 강남구,스타벅스 삼성동점에서 함께 일할 파트너를 모집합니다,06:30~21:00,월급,"10,000",45분전
제주 제주시,[제주시청점] 바리스타 모집,시간 협의,월급,"10,000",54분전
경기 안성시,[스타벅스 안성계동DT점] 함께 일할 바리스타 모집합니다.,07:00~23:00,월급,"10,000",54분전
경북 경주시,[스타벅스 경주터미널DT] 바리스타 채용 공고,06:00~23:00,월급,"10,000",55분전
경기 화성시,스타벅스 동탄호수공원점 바리스타 모집중 :-),시간 협의,월급,"10,000",56분전
서울 강남구,스타벅스 삼성동점에서 함께 일할 파트너를 모집합니다,06:30~21:00,월급,"10,000",1시간전
서울 강남구,[대치은마사거리] 서울시 강남구 대치은마사거리점 바리스타 모집,시간 협의,월급,"10,000",1시간전
경남 창원시,스타벅스 창원상남중앙점에서 함께 근무 할 바리스타를 모집합니다.,시간 협의,월급,"10,000",1시간전
경기 용인시,[신세계경기점] 바리스타 채용,09:30~21:30,월급,"10,000",1시간전
서울 서초구,스타벅스  서초파라곤점 바리스타모집,시간 협의,월급,"9,700",1시간전
제주 제주시,[제주함덕점] 아름다운 함덕 해변에서 함께 근무할 파트너를 모집합니다.,시간 협의,월급,"10,000",1시간전
서울 종로구,[스타벅스 정동점] 바리스타 모집,06:30~22:00,월급,"10,000",1시간전
서울 영등포,스타벅스 여의도 IFC(1F) 바리스타 모집,시간 협의,월급,"10,000",1시간전
서울 강남구,논현역사거리점에서 바리스타를 모집합니다.,시간 협의,월급,"10,000",1시간전
대전 서구,[스타벅스 둔산은하수] 함께 일할 바리스타 채용 모집,시간 협의,월급,"10,000",1시간전
서울 서초구,[스타벅스 방배역점] 같이 근무할 파트너를 모집합니다.,시간 협의,월급,"10,000",1시간전
경남 창원시,스타벅스 창원반림점에서 함께 근무 할 파트너를 모집합니다.,시간 협의,월급,"10,000",1시간전
