Place,Title,Time,Payday,Pay,Date
경북 전체,조리사 구합니다,시간 협의,월급,"9,160",20분전
경남 양산시,[아워홈 양산공장] 포장지 스티커 부착 알바,08:30~17:30,월급,"9,160",22분전
부산 연제구,(주)아워홈 부산외국어고등학교 급식 주방조리원 구합니다,09:00~19:30,월급,"9,160",1시간전
경기 평택시,LG전자기술원평택점 조리사 모집합니다.,06:00~14:30,월급,"9,160",2시간전
서울 강서구,(주)아워홈 Overseas사업관리팀 사무보조 채용,08:30~17:30,월급,"10,000",2시간전
경기 이천시,아워홈/에이티세미콘이천 구내식당 조리원구인 주5일(화~토 10시~19시),10:00~19:00,월급,"9,800",2시간전
서울 전체,세정실 인원 구인합니다. 직원식당/여의도/아워홈 트윈타워 11시30분~16시,11:30~16:00,월급,"9,160",2시간전
서울 전체,남자 조리사 모집합니다./ 직원식당/여의도/아워홈 트윈타워 6시~15시,06:00~15:00,일급,"84,000",2시간전
서울 성북구,국민대학교 vip식당 서빙인력 모집,11:30~13:30,월급,"14,000",2시간전
서울 강서구,파트타임 배식  조리원 구인,11:30~15:00,월급,"9,160",2시간전
경남 사천시,(주)아워홈 코텍사천점 조리원 구인합니다,08:30~18:00,월급,"9,300",2시간전
충남 아산시,투잡환영 아산둔포 야간조리원 구인(3시간 근무),22:00~01:00,일급,"42,300",2시간전
경북 구미시,사내식당 조리원  구합니다.,06:00~14:00,월급,"9,160",3시간전
충남 아산시,(아워홈)이엔에프테크놀로지 아산점 주간조리원 구인,07:00~15:00,월급,"2,000,000",3시간전
서울 종로구,아워홈LG광화문빌딩정 세정 인원 모집,09:30~15:00,월급,"9,160",3시간전
경기 안양시,아워홈한림성심병원평촌점 환자식직원 구인,04:30~13:30,일급,"87,020",5시간전
부산 남구,동국제강부산점 구내 식당 조리원 구함,09:00~13:30,월급,"1,000,000",6시간전
경남 양산시,(아워홈 양산공장)떡생산보조 아르바이트 모집,08:30~17:30,월급,"9,160",6시간전
경북 구미시,주간 조리원 구함,08:00~14:30,월급,"9,160",6시간전
강원 춘천시,(주)아워홈 더플레이어스 골프장 식음 홀사원 모집,시간 협의,월급,"2,200,000",7시간전
서울 성동구,아워홈 신도리코성동점 조리원(배식 및 세정) 구인,08:00~15:30,월급,"9,160",8시간전
경북 구미시,찬모구함,09:00~18:30,월급,"10,000",13시간전
서울 전체,아워홈 마곡식품연구센터 사무보조구인 (영양사경력 1년이상 必),08:30~17:30,월급,"10,000",20시간전
서울 금천구,LG가산디지털센터점 조리원구인(세정/천처리),10:00~14:30,월급,"9,160",23시간전
서울 강서구,(주)아워홈 인재개발팀 사무보조 채용,08:30~17:30,월급,"9,500",05/23
경기 안양시,아워홈 한림성심병원평촌점 환자식 배선직원 구함,10:00~19:30,일급,"80,150",05/22
충남 천안시,교보생명계성원점 조리사모집,시간 협의,월급,"30,000,000",05/22
광주 서구,신세계백화점 아워홈 직원식당 조리원 구인,09:00~15:00,월급,"9,160",05/22
경기 화성시,(주)아워홈 에이치케이화성점 조리원(찬모) 구인,09:00~18:00,월급,"2,700,000",05/22
경기 김포시,조리원 모집,11:00~20:00,월급,"9,160",05/21
서울 동작구,노량진지역) 유한양행 조리사 모집합니다.,시간 협의,월급,"28,000,000",05/21
서울 송파구,아워홈 잠실야구장점 영양사 보조알바 구인합니다.,15:00~20:00,월급,"9,160",05/21
충남 아산시,(주)아워홈 동화기업아산공장점_ 영양사 구인,09:00~18:00,월급,"24,000,000",05/21
경기 부천시,삼성미래산후조리원부천점 찬모 구인,11:00~20:00,월급,"9,600",05/21
경기 성남시,위례신도시 요양원 (주)아워홈 kb골든라이프빌리지점 조리원 구인,06:00~15:00,월급,"2,200,000",05/21
서울 강동구,송파구 요양원 (주)아워홈 kb골든라이프빌리지 조리원 구인,06:00~15:30,월급,"2,200,000",05/21
부산 금정구,부산외대 학생식당 파트조리원 모집,시간 협의,월급,"9,160",05/21
서울 강남구,선릉역 평일 조리사 모집합니다. [아워홈/쿠팡신사옥강남점],10:00~19:00,월급,"10,000",05/20
서울 강남구,선릉역 조리원(여사) 모집합니다. [아워홈/쿠팡신사옥강남점],10:00~19:00,월급,"9,500",05/20
서울 강서구,마곡나루역인근)아워홈 LG사이언스파크 구내식당 파트 조리원 구인,시간 협의,월급,"9,160",05/20
