Place,Title,Time,Payday,Pay,Date
경북 경주시,엔제리너스 경주D/T점에서 근무하실 아르바이트를 모십니다.,시간 협의,월급,"9,160",26분전
광주 서구,엔제리너스 광주풍암점에서 직원 모집합니다,15:30~20:30,월급,"9,160",35분전
부산 강서구,엔제리너스 김해공항점(국내선)에서 바리스타 모집 합니다.,시간 협의,월급,"9,160",2시간전
부산 강서구,엔제리너스 김해공항점(국내선)에서 바리스타 모집 합니다.,시간 협의,월급,"9,160",2시간전
부산 강서구,엔제리너스 김해공항점(국내선)에서 바리스타 모집 합니다.,시간 협의,월급,"9,160",3시간전
부산 강서구,엔제리너스 김해공항점(국내선)에서 바리스타 모집 합니다.,시간 협의,월급,"9,160",3시간전
서울 송파구,"엔제리너스 잠실롯데월드타워19,31F점에서 오후타임 함께 일하실분 구합니다.",시간 협의,월급,"9,160",4시간전
서울 강서구,엔제리너스 김포공항 1층점에서 함께할 엔젤(알바)를 구합니다.,시간 협의,월급,"9,160",4시간전
서울 송파구,"[토,일] 엔제리너스 석촌호수점에서 오전타임 아르바이트 구합니다.",09:00~16:00,월급,"9,160",13시간전
대구 전체,엔제리너스 칠성시장역점에서 직원 모집합니다.(주5일근무),시간 협의,월급,"1,920,000",13시간전
경남 진주시,금산 엔제리너스 마감알바 구합니다.,19:00~23:00,월급,"9,160",14시간전
대구 북구,엔제리너스칠곡구암역점 함께 할 바리스타 구해요,11:00~01:00,월급,"9,160",16시간전
대구 전체,엔제리너스 칠곡구암역점 심야직원구함(주 5일근무),24:00~09:00,월급,"2,410,000",16시간전
인천 중구,엔제리너스 인천공항T2 B1점에서 함께할 바리스타를 모집합니다.,시간 협의,월급,"9,160",17시간전
서울 강북구,엔제리너스커피 심야 아르바이트 모집,00:00~05:00,월급,"9,160",17시간전
서울 강동구,엔제리너스 강동경희대병원점 아르바이트(월~금中 2~5일근무) 모집합니다.,시간 협의,월급,"9,160",17시간전
서울 중구,[평일저녁]15:00 ~ 20:00 (시간조율가능/주말추가근무가능),15:00~20:00,월급,"9,160",19시간전
경기 수원시,엔제리너스 수원고색DI점에서 함께일할 바리스타 모집,18:00~22:00,월급,"9,160",19시간전
경남 김해시,엔제리너스 봉황D/I점 매니저 모집(청년내일채움공제 지원가능),00:00~24:00,월급,"9,160",19시간전
서울 강동구,엔제리너스 강동경희대병원점 아르바이트(월~금中 2~5일근무) 모집합니다.,시간 협의,월급,"9,160",20시간전
서울 송파구,"엔제리너스 잠실롯데월드타워19,31F점에서 오후타임 함께 일하실분 구합니다.",시간 협의,월급,"9,160",21시간전
경기 성남시,엔제리너스 분당서현점 토/일 아르바이트 구합니다,시간 협의,월급,"9,160",05/22
서울 송파구,"엔제리너스 잠실롯데월드타워19,31F점에서 오후타임 함께 일하실분 구합니다.",시간 협의,월급,"9,160",05/22
전북 군산시,주말 아르바이트 모집,14:30~22:00,월급,"9,160",05/21
전북 군산시,새로운 시작 조촌동엔제리너스 직원 및 아르바이트 모집,시간 협의,월급,"9,160",05/21
전북 군산시,새로운 시작 조촌동엔제리너스 직원 및 아르바이트 모집,시간 협의,월급,"9,160",05/21
서울 광진구,엔제리너스 건대역점에서 함께하실분,시간 협의,월급,"9,160",05/21
서울 송파구,"엔제리너스 잠실롯데월드타워19,31F점에서 함께 일하실분 구합니다.",시간 협의,월급,"9,160",05/21
서울 중구,[주말포함/평일협의]09:00 ~ 17:00 (주말근무우대),09:00~17:00,월급,"9,160",05/20
서울 송파구,"엔제리너스 잠실롯데월드타워19,31F점에서 함께 일하실분 구합니다.",시간 협의,월급,"9,160",05/20
서울 송파구,"[토,일] 엔제리너스 석촌호수점에서 오전타임 아르바이트 구합니다.",09:00~16:00,월급,"9,160",05/20
울산 중구,울산병영점에서 관리자님을 모집합니다,08:30~23:00,월급,"1,915,000",05/19
전북 군산시,주말 아르바이트 모집,14:30~22:00,월급,"9,160",05/19
전북 군산시,새로운 시작 조촌동엔제리너스 직원 및 아르바이트 모집,시간 협의,월급,"9,160",05/19
서울 강동구,엔제리너스 강동경희대병원점 아르바이트(월~금中 2~5일근무) 모집합니다.,시간 협의,월급,"9,160",05/18
서울 중구,[주말포함/평일협의]09:00 ~ 17:00 (주말근무우대),09:00~17:00,월급,"9,160",05/18
서울 강동구,엔제리너스 강동경희대병원점 아르바이트(월~금中 2~5일근무) 모집합니다.,시간 협의,월급,"9,160",05/16
울산 북구,엔제리너스 울산 명촌점 즐겁게 일할 바리스타 구합니다.,시간 협의,월급,"9,160",05/16
인천 미추홀,[주말]롯데백인천터미널점에서 함께할 엔젤을 모집합니다.,시간 협의,월급,"9,160",05/16
경남 창원시,진해자은점 엔제리너스에서 같이 일하실분 모집합니다.( 직원 및 아르바이트 ),시간 협의,월급,"9,160",05/16
