Place,Title,Time,Payday,Pay,Date
경남 통영시,[이마트 통영점] 스태프(주5일근무) 사원모집,10:00~18:00,월급,"10,260",1분전
경기 평택시,토이킹덤 스타필드 안성점 STAFF모집,10:00~22:00,월급,"10,260",4분전
서울 노원구,[트레이더스 월계점] 주5일 근무 스태프 모집(6개월+6개월),07:00~15:00,월급,"10,260",18분전
서울 영등포,[emart 영등포점] 주 5일 근무 스태프 모집,시간 협의,월급,"10,260",29분전
경기 수원시,[이마트광교점] 주5일근무(35시간) 스태프 채용 공고,07:00~15:00,월급,"10,260",40분전
충남 아산시,[트레이더스 천안아산점] 주5일 스태프모집(주말근무가능자),06:00~23:00,월급,"10,260",42분전
서울 강동구,[이마트명일점]  6개월 스태프 모집,시간 협의,월급,"10,260",42분전
경기 하남시,[트레이더스 하남점] 야간  근무 진열사원 모집(or  주간 캐셔 근무사원),06:00~23:00,월급,"11,240",48분전
경기 안양시,[이마트 과천점]스태프 사원 모집(주5일),09:00~22:00,월급,"10,260",2시간전
부산 부산진,[트레이더스 서면점] 6개월 스태프 사원모집,06:00~22:00,월급,"10,260",2시간전
서울 강남구,[이마트 역삼점] 스태프 (주 5일근무) 사원 모집,시간 협의,월급,"10,260",2시간전
충북 청주시,[이마트 청주점]스태프(주 5일근무) 사원모집,09:00~17:00,월급,"10,260",2시간전
서울 강남구,[이마트 역삼점] 스태프 (주 5일근무) 사원 모집,시간 협의,월급,"10,260",2시간전
경기 하남시,［토이킹덤］스타필드 하남점 staff35 모집,10:00~22:00,월급,"10,260",2시간전
경기 화성시,[이마트 화성봉담점] 주말 스태프 모집(주 2일근무 주말 또는 주중/6개월),09:00~23:00,월급,"11,240",2시간전
경기 하남시,"[트레이더스위례점] 주5일, 주2일(주말) 스태프 모집공고",시간 협의,월급,"11,240",2시간전
경기 안양시,[이마트 평촌점] 주5일 스태프사원 모집,시간 협의,월급,"10,260",2시간전
경기 안산시,이마트 트레이더스 군포점 STAFF 모집,06:00~23:00,월급,"10,260",3시간전
경기 안성시,토이킹덤 스타필드 안성점 STAFF모집,10:00~22:00,월급,"10,260",3시간전
경기 용인시,[이마트 흥덕점] 스태프 (주5일 근무) 사원모집,09:00~17:00,월급,"10,260",3시간전
경기 하남시,[트레이더스 하남점] 야간 근무 진열사원 모집(or 주간 근무 진열 사원),06:00~23:00,월급,"11,240",4시간전
경기 김포시,[이마트 김포한강점] 주말 스태프 모집,10:00~23:00,월급,"11,240",4시간전
경기 군포시,[이마트 산본점] 스태프 모집(주5일근무),시간 협의,월급,"10,260",13시간전
경기 성남시,[이마트 성남점] 스태프(주5일근무)사원 모집 공고,08:00~22:00,월급,"10,260",14시간전
경기 하남시,[트레이더스 하남점] 야간  근무 진열사원 모집(or  주간 캐셔 근무사원),06:00~23:00,월급,"11,240",18시간전
충남 아산시,[트레이더스 천안아산점] 주5일 스태프모집(주말근무가능자),06:00~23:00,월급,"10,260",19시간전
서울 동작구,[이마트 이수점]스태프 모집(주5일근무),시간 협의,월급,"10,260",20시간전
경기 안양시,이마트 트레이더스 군포점 STAFF 모집,06:00~23:00,월급,"10,260",05/23
경기 하남시,"[트레이더스위례점] 주5일, 주2일(주말) 스태프 모집공고",시간 협의,월급,"11,240",05/23
경기 하남시,[트레이더스 하남점] 야간 근무 진열사원 모집(or 주간 근무 진열 사원),06:00~23:00,월급,"11,240",05/22
경기 하남시,"[트레이더스위례점] 주5일, 주2일(주말) 스태프 모집공고",시간 협의,월급,"11,240",05/22
서울 전체,[이마트 신촌점]스태프(주 5일근무) 사원모집,시간 협의,월급,"10,260",05/22
경기 수원시,[이마트 트레이더스 수원점] 사원 모집(주5일),00:00~23:00,월급,"10,260",05/22
경기 화성시,[이마트 화성봉담점] 스태프 모집(주 5일근무/3개월),09:00~23:00,월급,"10,260",05/22
경기 여주시,이마트 여주점 스태프 모집(주5일 근무),09:00~23:00,월급,"10,260",05/22
서울 노원구,[트레이더스 월계점] 주5일 근무 스태프 모집(6개월+6개월),07:00~15:00,월급,"10,260",05/22
서울 중랑구,[이마트 상봉점] 주5일 근무스태프 사원모집,09:00~17:00,월급,"10,260",05/22
서울 강남구,[이마트 역삼점] 스태프 (주 5일근무) 사원 모집,시간 협의,월급,"10,260",05/22
충남 아산시,[트레이더스 천안아산점] 주5일 스태프모집(주말근무가능자),06:00~23:00,월급,"10,260",05/22
경기 안성시,[이마트 안성점]  스태프(주5일근무)모집,09:00~23:00,월급,"10,260",05/21
