Place,Title,Time,Payday,Pay,Date
경기 용인시,[지오다노] 본사 정규직 기흥롯데아울렛점 판매사원 채용,09:30~18:30,월급,"26,600,000",3분전
경기 용인시,[지오다노] 본사 정규직 기흥롯데아울렛점 판매사원 채용,09:30~18:30,월급,"26,600,000",4분전
경기 안성시,지오다노 안성스타필드점 의류 판매 사원,시간 협의,월급,"26,600,000",21분전
부산 기장군,[지오다노] 부산프리미엄아울렛점  주말알바모집,12:30~16:30,월급,"9,160",22분전
경기 용인시,[지오다노] 본사 정규직 기흥롯데아울렛점 판매사원 채용,09:30~18:30,월급,"26,600,000",41분전
경기 용인시,[지오다노] 본사 정규직 기흥롯데아울렛점 판매사원 채용,09:30~18:30,월급,"26,600,000",1시간전
경기 용인시,[지오다노] 본사 정규직 기흥롯데아울렛점 판매사원 채용,09:30~18:30,월급,"26,600,000",1시간전
경기 용인시,[본사정규직] 지오다노 수지롯데아울렛점 판매사원 채용,시간 협의,월급,"26,600,000",2시간전
경기 하남시,[본사정규직] 지오다노 하남스타필드점 판매사원 채용,시간 협의,월급,"26,600,000",2시간전
서울 전체,[본사정규직]지오다노 강남 신세계백화점 사원 채용,시간 협의,월급,"26,600,000",3시간전
부산 동구,[본사정규직] 지오다노 부산프리미엄아울렛점 판매사원 채용,시간 협의,월급,"26,600,000",4시간전
부산 기장군,[지오다노] 부산프리미엄아울렛점  주말알바모집,12:30~16:30,월급,"9,160",4시간전
부산 전체,[지오다노 ]부산프리미엄아울렛점 판매사원 채용,시간 협의,월급,"26,600,000",5시간전
경기 안양시,[지오다노]본사 정규직 평촌롯데 백화점 지오다노 판매사원 채용,09:30~18:30,월급,"26,600,000",19시간전
경기 평택시,지오다노 안성스타필드점 의류 판매 사원,시간 협의,월급,"26,600,000",23시간전
경기 평택시,지오다노 안성스타필드점 의류 판매 사원,시간 협의,월급,"26,600,000",05/22
경기 군포시,[본사 정규직] 금정AK점(오픈예정) 판매사원 채용,시간 협의,월급,"26,600,000",05/21
경기 군포시,[본사 정규직] 금정AK점(오픈예정) 판매사원 채용,시간 협의,월급,"26,600,000",05/21
경기 안양시,[지오다노]본사 정규직 평촌롯데 백화점 지오다노 판매사원 채용,09:30~18:30,월급,"26,600,000",05/20
서울 관악구,[본사정규직] 지오다노 신도림디큐브점 판매사원 채용,시간 협의,월급,"26,600,000",05/20
서울 강동구,[본사정규직] 지오다노 하남스타필드점 판매사원 채용,시간 협의,월급,"26,600,000",05/20
경기 하남시,[본사정규직] 지오다노 하남스타필드점 판매사원 채용,시간 협의,월급,"26,600,000",05/20
경기 하남시,[본사정규직] 지오다노 위례스타필드점 판매사원 채용,시간 협의,월급,"26,600,000",05/20
서울 송파구,[본사정규직] 지오다노 위례스타필드점 판매사원 채용,시간 협의,월급,"26,600,000",05/20
경기 안양시,[지오다노]본사 정규직 평촌롯데 백화점 지오다노 판매사원 채용,09:30~18:30,월급,"26,600,000",05/16
경기 안양시,[지오다노]본사 정규직 평촌롯데 백화점 지오다노 판매사원 채용,09:30~18:30,월급,"26,600,000",05/09
