Place,Title,Time,Payday,Pay,Date
경남 창원시,주방 직원 모집합니다,09:30~17:00,월급,"9,160",11분전
인천 부평구,프렌차이즈 청년어부에서 성실한 알바생을 모집합니다,10:00~15:00,월급,"9,160",56분전
인천 부평구,프렌차이즈 청년어부에서 성실한 알바생을 모집합니다,15:00~20:00,월급,"9,160",58분전
부산 강서구,주4일 함께일할 직원분 구합니다.,10:30~22:00,월급,"2,050,000",6시간전
경기 용인시,청년어부 용인흥덕점 에서 함께  일하실  파트타이머분들을 구합니다~,10:00~15:00,월급,"9,660",22시간전
경기 수원시,청년어부 용인흥덕점 에서 함께  일하실 매니저 님을 구합니다~,10:00~21:00,월급,"2,600,000",22시간전
경기 수원시,청년어부 용인흥덕점 에서 함께  일하실 매니저 님을 구합니다~,10:00~21:00,월급,"2,600,000",22시간전
경기 용인시,청년어부 용인흥덕점 에서 함께  일하실 매니저 님을 구합니다~,10:00~21:00,월급,"2,600,000",22시간전
경기 의정부,포스 & 주방보조 (멀티) 파트타이머 직원구합니다.,10:00~16:00,월급,"10,000",05/21
경기 의정부,포스 & 주방보조 (멀티) 파트타이머 직원구합니다.,10:00~16:00,월급,"10,000",05/21
경기 의정부,포스 & 주방보조 (멀티) 파트타이머 직원구합니다.,10:00~16:00,월급,"10,000",05/21
경기 의정부,포스 & 주방보조 (멀티) 파트타이머 직원구합니다.,10:00~16:00,월급,"10,000",05/21
서울 은평구,청년어부 녹번역점 초보자 & 경력자 인력채용(알바)구합니다.,시간 협의,월급,"9,300",05/15
서울 은평구,청년어부 녹번역점 초보자 & 경력자 인력채용(알바)구합니다.,시간 협의,월급,"9,300",05/15
서울 은평구,청년어부 녹번역점 초보자 & 경력자 인력채용(알바)구합니다.,시간 협의,월급,"9,300",05/15
서울 은평구,청년어부 녹번역점 초보자 & 경력자 인력채용(알바)구합니다.,시간 협의,월급,"9,300",05/15
부산 해운대,"배달초밥전문점 주말저녁알바모집해요(토,일)",16:30~18:00,월급,"9,500",05/15
부산 해운대,"배달초밥전문점 주말저녁알바모집해요(토,일)",16:30~18:00,월급,"9,500",05/15
부산 해운대,"배달초밥전문점 주말저녁알바모집해요(토,일)",16:30~18:00,월급,"9,500",05/15
부산 해운대,"배달초밥전문점 주말저녁알바모집해요(토,일)",16:30~18:00,월급,"9,500",05/15
부산 기장군,김호권의 청년어부  정관점에서 함께할 오픈 맴버  구함,11:00~22:00,월급,"9,160",05/15
부산 기장군,김호권의 청년어부  정관점에서 함께할 오픈 맴버  구함,11:00~22:00,월급,"9,160",05/15
부산 기장군,김호권의 청년어부  정관점에서 함께할 오픈 맴버  구함,11:00~22:00,월급,"9,160",05/15
광주 남구,"주 34시(월 150만), 화수목 4시간, 금토일11시간, 쉬운포스및포장",시간 협의,월급,"1,500,000",05/15
대구 달서구,"월배점 평일 종일 or 오전,오후 알바 구해요",시간 협의,월급,"2,400,000",05/15
대구 달서구,"월배점 평일 종일 or 오전,오후 알바 구해요",시간 협의,월급,"2,400,000",05/15
대구 달서구,"월배점 평일 종일 or 오전,오후 알바 구해요",시간 협의,월급,"2,400,000",05/15
대구 달서구,"월배점 평일 종일 or 오전,오후 알바 구해요",시간 협의,월급,"2,400,000",05/13
광주 남구,"월,금,일/쉬운포장 및 포스 /멀티잘하시는 분 모셔요",시간 협의,월급,"9,500",05/10
부산 전체,주4일 함께일할 직원분 구합니다.,10:30~22:00,월급,"2,050,000",05/10
부산 전체,주4일 함께일할 직원분 구합니다.,10:30~22:00,월급,"2,050,000",05/10
부산 강서구,주4일 함께일할 직원분 구합니다.,10:30~22:00,월급,"2,050,000",05/10
서울 송파구,주방  보조 주말.평일 알바 구해요~,16:00~22:00,월급,"11,000",05/10
서울 송파구,주방  보조 주말.평일 알바 구해요~,16:00~22:00,월급,"11,000",05/10
서울 송파구,주방  보조 주말.평일 알바 구해요~,16:00~22:00,월급,"11,000",05/10
서울 송파구,주방  보조 주말.평일 알바 구해요~,16:00~22:00,월급,"11,000",05/10
