Place,Title,Time,Payday,Pay,Date
경기 이천시,치킨플러스 이천특수사령부점에서 함께 근무하실 직원구합니다,시간 협의,월급,"12,000",6분전
경기 용인시,치킨플러스 용인양지점에서 근무하실 직원 구합니다,19:00~22:00,월급,"10,000",4시간전
서울 강서구,치킨플러스 강서화곡점에서 가족을 모십니다,18:00~22:00,월급,"9,300",6시간전
서울 양천구,치킨플러스 신정점에서 가족을 모집합니다.,17:00~22:00,월급,"1,350,000",6시간전
서울 강서구,치킨플러스 마곡방화점 직원 모집 합니다.,16:00~02:00,월급,"3,000,000",05/22
서울 관악구,치킨플러스 신대방점에서 함께 근무 할 주방직원 구합니다.,18:00~02:00,월급,"11,000",05/21
충북 진천군,치킨플러스 충북덕산점에서 가족을 모십니다.,17:30~23:00,월급,"10,000",05/21
충남 천안시,치킨플러스 천안신부점에서 함께 근무 할 주방직원 구합니다.,11:00~22:00,월급,"10,000",05/15
서울 영등포,치킨플러스 여의도점 홀주말알바 구합니다,17:00~23:00,월급,"11,000",05/14
서울 영등포,치킨플러스 여의도점에서 홀 직원구합니다,17:00~23:00,월급,"11,000",05/14
서울 영등포,치킨플러스 여의도점에서 주방 모집합니다,14:00~24:00,월급,"2,800,000",05/14
인천 계양구,치킨플러스 인천작전점에서 함께 근무 할 주방직원 구합니다.,18:00~00:00,월급,"9,200",05/10
인천 계양구,치킨플러스 작전점 주방직원/파트타임,18:00~24:00,월급,"11,000",05/10
서울 구로구,치킨플러스 개봉점 주방 직원 모십니다,15:00~01:00,월급,"2,720,000",05/10
서울 구로구,치킨플러스 개봉점 주방직원 /매니져 모집,15:00~01:00,월급,"2,800,000",05/10
경기 김포시,치킨플러스 김포풍무점 아르바이트 구합니다,19:00~23:00,월급,"11,000",05/10
서울 은평구,치킨플러스 은평뉴타운점에서 직원을 모집합니다.,17:00~22:00,월급,"11,000",05/10
서울 은평구,치킨플러스 은평뉴타운점에서 직원을 모집합니다.,17:00~22:00,월급,"11,000",05/10
서울 은평구,치킨플러스 은평뉴타운점에서 직원을 모집합니다.,17:00~22:00,월급,"11,000",05/09
경기 김포시,치킨플러스 김포풍무점 아르바이트 구합니다,19:00~23:00,월급,"11,000",05/08
