Place,Title,Time,Payday,Pay,Date
경기 광명시,투썸플레이스 광명밤일점에서 경력있는 매니저님을 모집합니다.,시간 협의,월급,"2,300,000",2분전
인천 미추홀,투썸플레이스 인천법원점 주말 마감 스텝 구합니다.,18:00~22:00,월급,"9,160",5분전
인천 미추홀,"투썸플레이스 인천법원점 (수,목, 금) 마감 스텝 구합니다.",18:00~22:00,월급,"9,160",5분전
세종 전체,투썸플레이스 세종시청점 주말 오픈  마감 스태프 모집,시간 협의,월급,"9,160",7분전
서울 송파구,"투썸플레이스 잠실역점 수,목,금 마감  스텝 모집합니다.",18:30~23:30,월급,"9,160",9분전
서울 마포구,투썸플레이스 홍대걷고싶은거리점 주5일 스텝 모집,시간 협의,월급,"10,992",9분전
서울 송파구,투썸플레이스 잠실역점  토일 마감스텝 모집합니다.,17:30~23:30,월급,"9,160",9분전
서울 송파구,투썸플레이스 잠실역점  토일 오픈스텝 모집합니다.,시간 협의,월급,"9,160",10분전
인천 남동구,투썸플레이스 인천구월역점 오전/오후 파트타이머 모집,시간 협의,월급,"9,160",13분전
서울 노원구,투썸 노원문화의거리점 청소 담당 채용,06:00~09:00,월급,"550,000",14분전
서울 동대문,(투썸 답십리점)  함께 일 할 직원  모집합니다.,시간 협의,월급,"1,950,000",17분전
경기 남양주,투썸플레이스 덕소점에서 함께 근무할 스텝 (평일/주말)모집합니다,시간 협의,월급,"9,160",19분전
대구 중구,투썸 (동성로광장점) 주말 마감 스텝  모집,시간 협의,월급,"9,160",19분전
대구 중구,투썸 동성로광장점(주5일) (정직원) 채용,시간 협의,월급,"1,950,000",19분전
인천 계양구,[투썸플레이스 홈플러스작전점] 평일 마감 홀 스탭 모집,18:00~22:30,월급,"11,160",20분전
경기 부천시,투썸플레이스 부천시청역점 주5일 오후 스텝모집,시간 협의,월급,"10,992",21분전
경기 수원시,투썸수원터미널점 매니저님 구합니다,시간 협의,월급,"2,160,000",22분전
부산 기장군,투썸플레이스[신세계프리미엄아울렛] 주말 커피전문점 아르바이트 채용공고,14:00~21:00,월급,"9,200",23분전
부산 해운대,투썸플레이스 센텀스카이비즈점 주말 미들 스텝 모집,11:30~18:00,월급,"9,160",24분전
경기 부천시,투썸플레이스 부천역로데오점 주말오후 스텝모집,시간 협의,월급,"10,000",24분전
경기 구리시,[카페 매니저] 투썸플레이스 구리수택점 매니저 모집,14:00~23:00,월급,"2,100,000",27분전
대구 북구,매니져모집,시간 협의,월급,"9,160",28분전
경기 하남시,투썸플레이스 한강미사점 주말 스텝 모집합니다.,15:00~21:30,월급,"10,000",30분전
서울 광진구,"투썸 건대스타시티점 월,수 오픈스탭을 모집합니다.",07:00~14:30,월급,"9,160",30분전
경남 김해시,"투썸플레이스 김해구산점 금, 토, 일 아르바이트 모집",18:30~22:30,월급,"9,300",37분전
서울 노원구,투썸 중계은행사거리점 주말  스텝 모집합니다,시간 협의,월급,"9,160",37분전
경기 안양시,"투썸인덕원대륭테크노점에서 평일 오픈스텝을 구합니다(시급:11,000원)",07:30~13:30,월급,"11,000",38분전
서울 동작구,[카페알바] 투썸플레이스 반포효성점 평일오전 스텝,08:00~13:30,월급,"10,992",39분전
강원 강릉시,투썸강릉포남점에서 함께할 일요일 스텝알바를 모집합니다.,14:00~23:00,월급,"9,200",41분전
서울 구로구,투썸플레이스 구로대륭1차점 토요 미들(단기)모집,15:00~19:00,월급,"9,160",42분전
서울 구로구,투썸플레이스 구로대륭1차점 키친(오픈)매니저 모집,06:30~15:30,월급,"2,000,000",43분전
서울 구로구,투썸플레이스 구로대륭1차점 평일 저녁(단기)모집,19:30~22:00,월급,"9,160",43분전
서울 구로구,투썸플레이스 구로대륭1차점 주말마감 모집,16:00~22:00,월급,"9,160",44분전
경남 김해시,투썸플레이스 장유율하 원메이저점 스텝모집,15:00~22:00,월급,"9,160",44분전
대전 서구,투썸플레이스 대전과학기술대점 월화마감알바 구함,18:00~23:00,월급,"9,160",47분전
서울 동대문,(투썸 답십리점)  함께 일 할 직원  모집합니다.,시간 협의,월급,"1,950,000",48분전
대구 전체,투썸플레이스 동대구 환승터미널점에서 함께할 마감스텝 모집합니다,19:00~23:00,월급,"9,160",52분전
부산 강서구,투썸플레이스 대저점 [평일/주말스텝 모집],08:00~23:00,월급,"9,160",54분전
전북 전체,투썸플레이스 전주에코호수DT점에서 평일오픈스텝을모집합니다.,시간 협의,월급,"9,160",55분전
서울 강남구,투썸플레이스 직영점포(청담역점) 직원(인턴매니저) 채용,시간 협의,월급,"9,300",55분전
