Place,Title,Time,Payday,Pay,Date
경기 성남시,서현파리바게뜨 마감직윈구합니다(주말포함 주5일근무),17:00~23:00,월급,"11,010",3분전
경기 시흥시,"파리바게트 주말(토,일)  일하실 분이요",15:30~21:30,월급,"9,160",3분전
세종 반곡동,"급)파리바게뜨 세종반곡점 평일(마감), 주말(오전) 알바 구합니다",시간 협의,월급,"9,160",4분전
경기 성남시,주말 오후 아르바이트 모집,14:30~21:30,월급,"9,160",6분전
경기 성남시,"목,금 마감 아르바이트 모집",18:00~23:00,월급,"9,160",9분전
전국 전체,파리바게뜨 대부도점 주말 오픈 알바 모집,07:30~15:30,월급,"9,160",10분전
서울 성북구,파리바게뜨 월곡동아점에서 파트타임 아르바이트 구합니다.,17:00~22:30,월급,"9,160",16분전
대구 중구,파리바게뜨 경대병원점 월화수 오후(12.30-16.30)알바 모집합니다,12:30~16:30,월급,"9,160",17분전
서울 영등포,"PB당산행복점 평일 2일 마감(오후6-10시30분) 요일협의,문자지원해주세요",18:00~22:30,월급,"9,160",17분전
인천 남동구,논남파바에서 주말 오전7시~2시 고객응대및 제빵정리 타임채용합니다,07:00~13:00,월급,"9,160",19분전
경북 포항시,평일  목금 미들 직원 모집합니다,12:00~17:00,월급,"9,160",20분전
충북 청주시,사직사거리파리바게뜨평일 화.목 오픈 알바구합니다,07:00~13:00,월급,"9,160",20분전
서울 구로구,함께 일할 가족을 찾습니다,시간 협의,월급,"9,160",22분전
충남 천안시,파리바게뜨 불당호반점/수목금 오후알바구합니다.,18:00~22:30,월급,"9,160",27분전
서울 용산구,"파리바게뜨 이태원경리단점  화수목10시-14시, 토일9시-13시  근무자모집",09:00~13:00,월급,"9,160",28분전
세종 보람동,파리바게뜨 세종시청점 알바구해요,15:00~22:00,월급,"9,160",30분전
부산 전체,파리바게뜨매니저구함,시간 협의,월급,"9,160",32분전
서울 강남구,파리바게뜨 주말 오픈 07-12시,07:00~12:00,월급,"9,160",33분전
전남 순천시,의료원근처 파리바게트 중앙점에서 주말알바구해요,18:00~23:00,월급,"9,160",35분전
경기 김포시,파리바게뜨 김포호수마을점 평일오후 알바구합니다.,14:00~22:00,월급,"9,160",35분전
충북 청주시,청주산남 파리바게뜨 월화 오전 알바구함,07:00~01:00,월급,"9,160",35분전
경기 평택시,파리바게트 송북점  파트타임 알바 구합니다,시간 협의,월급,"9,160",36분전
전북 남원시,파리바게뜨 전남곡성점에서 함께 근무하실분 구합니다(평일2),시간 협의,월급,"9,160",38분전
전북 남원시,파리바게뜨 전남곡성점에서 함께 근무하실분 구합니다(평일2),시간 협의,월급,"9,160",38분전
인천 연수구,"파리바게뜨 송도센트럴파크점 월, 화 오픈 아르바이트 모집",07:00~14:00,월급,"9,200",39분전
부산 동래구,파리바게뜨 동래래미안,07:00~11:00,월급,"9,160",42분전
경기 오산시,파리바게트 오산휴먼시아점  주말 오전 근무자 공고,08:00~12:00,월급,"9,160",43분전
경기 평택시,파리바게트 송북점  주말 파트타임 알바 구합니다,시간 협의,월급,"9,160",43분전
전남 순천시,주말 오후 알바 찾아용,12:00~16:00,월급,"9,160",49분전
경기 화성시,파리바게뜨 동탄나루마을점  마감 직원 구합니다.,18:00~23:00,월급,"9,160",49분전
경기 화성시,파리바게뜨 동탄나루마을점에서 오픈알바직원 구합니다.,07:00~13:00,월급,"9,160",51분전
전남 순천시,파리바게뜨 연향점 주말 오픈 알바 구해요,07:00~13:00,월급,"9,160",52분전
대구 중구,주말알바구함,시간 협의,월급,"9,160",55분전
경기 구리시,파리바게뜨 수택중앙점 평일 오전(7시-12시) 구합니다,07:00~12:00,월급,"9,160",55분전
서울 영등포,"평일 미들(목12~18, 금09~15) 알바 구합니다",시간 협의,월급,"9,160",57분전
대구 서구,평일 아르바이트 구해요,18:00~22:00,월급,"9,160",58분전
서울 용산구,"파리바게뜨 이태원경리단점  화수목10시-14시, 토일9시-13시  근무자모집",09:00~13:00,월급,"9,160",1시간전
경기 부천시,파리바게뜨 가톨릭대점에서 가족처럼 일하실 알바 모집합니다,시간 협의,월급,"9,160",1시간전
서울 성동구,[파리바게뜨] 주중 (월 - 금) 07시 - 13시 오픈 아르바이트생 모집,07:00~13:00,월급,"9,160",1시간전
서울 성동구,[파리바게뜨] 주중 월/화 저녁 (17시 - 21시) 알바공고,17:00~21:00,월급,"9,160",1시간전
