Place,Title,Time,Payday,Pay,Date
대전 전체,파스쿠찌카이스트점  아르바이트 모집합니다,12:00~17:00,월급,"10,500",1분전
서울 관악구,"파스쿠찌 신림역점 오픈 직원, 정직원,평일 모집",08:00~17:00,월급,"9,160",1분전
서울 성북구,파스쿠찌 성신여대점에서 주말오픈 PT를 구합니다,08:00~14:00,월급,"9,160",8분전
충남 천안시,아르바이트  모집,시간 협의,월급,"9,160",8분전
서울 양천구,"파스쿠찌 목동하이페리온2점 평일오픈, 미들, 마감P/T (화,금) 채용",시간 협의,월급,"9,160",27분전
대구 북구,파스쿠찌침산점 주말저녁(금토)알바모집,20:00~00:30,월급,"9,160",45분전
경북 칠곡군,파스쿠찌 경북왜관점 정직원 및 알바 구합니다,시간 협의,월급,"9,160",45분전
대구 수성구,"파스쿠찌수성점   토일마감,수목금마감(카페 경력자) 모집합니다",17:00~22:00,월급,"9,160",46분전
충북 청주시,"파스쿠찌 청주엘지로DT점 평일알바, 주말알바 구합니다",시간 협의,월급,"9,160",1시간전
경기 안산시,함께 일하실. 스텝 모집합니다,18:00~24:00,월급,"9,160",1시간전
대구 북구,평일 마감 아르바이트를 구합니다,19:00~23:00,월급,"9,160",1시간전
광주 서구,파스쿠찌 광주시청로점 평일미들PT 모집합니다.,11:30~14:00,월급,"9,160",1시간전
서울 동대문,파스쿠찌 서울숲점에서 오픈 아르바이트 모집합니다,08:00~14:30,월급,"9,300",2시간전
광주 서구,파스쿠찌 상무DY점 성실히 일하실 알바분들 모십니다,시간 협의,월급,"9,160",2시간전
부산 부산진,서면  파스쿠찌  커피점 오전 매니저  정직원 구합니다.,08:00~15:00,월급,"9,160",2시간전
제주 서귀포,직원채용공고,16:00~24:00,월급,"2,000,000",3시간전
충남 계룡시,"카페 파스쿠찌 계룡DT점 목,금 마감파트타이머 채용",16:00~23:00,월급,"9,160",3시간전
대전 서구,카페 파스쿠찌 계룡DT점 매니저(정직원) 채용,07:00~16:00,월급,"2,000,000",3시간전
세종 전체,파스쿠찌 세종아름점(오픈예정) 파트타이머 모집,시간 협의,월급,"9,500",3시간전
충북 청주시,"파스쿠찌 청주엘지로DT점 평일알바, 주말알바 구합니다",시간 협의,월급,"9,160",3시간전
경기 부천시,부천현대중동 주말 크루 채용,시간 협의,월급,"9,160",4시간전
세종 전체,파스쿠찌 세종아름점(오픈예정) 정직원 바리스타(마감) 모집,15:00~22:00,월급,"2,440,000",4시간전
경북 포항시,"주말(토,일) 마감 알바구합니다",18:00~23:00,월급,"9,200",4시간전
대구 남구,파스쿠찌 남산역점 직원 채용 합니다,시간 협의,월급,"1,920,000",4시간전
경남 창원시,상남동 카페 파스쿠찌 정규 직원(스텝) 모집(초보가능),08:00~16:00,월급,"9,200",4시간전
경기 가평군,가평유명산파스쿠찌 알바 구인,09:00~18:00,월급,"9,300",4시간전
울산 중구,파스쿠찌 학성공원점에서 금토일 마감 모집합니다,19:00~23:00,월급,"9,160",4시간전
서울 서초구,파스쿠찌 ＇강남고속터미널점＇ 마감알바,18:00~22:30,월급,"9,160",5시간전
경기 가평군,파스쿠찌유명산DI점 직원 및  알바구함,09:00~18:00,월급,"2,200,000",5시간전
대구 남구,파스쿠찌 대명역점에서 파트타임 모집합니다.,시간 협의,월급,"9,160",5시간전
경기 가평군,가평유명산파스쿠찌 주말알바 구인,09:00~18:00,월급,"9,600",5시간전
충남 천안시,아르바이트  모집,시간 협의,월급,"9,160",5시간전
경기 안산시,파스쿠찌 안산중앙점 직원/파트타이머 모집,시간 협의,월급,"9,160",5시간전
부산 부산진,서면  파스쿠찌  커피점 매니저  정직원 구합니다.,시간 협의,월급,"9,160",5시간전
경북 구미시,"파스쿠찌 상모점 매니저,오픈청소 구해요",시간 협의,월급,"2,200,000",6시간전
서울 성동구,파스쿠찌 서울숲점에서 오픈 아르바이트 모집합니다,08:00~14:30,월급,"9,300",6시간전
대구 수성구,"파스쿠찌수성점   토일마감,수목금마감(카페 경력자) 모집합니다",17:00~22:00,월급,"9,160",6시간전
울산 북구,단기알바,01:00~06:00,월급,"9,200",7시간전
대전 유성구,"경력 (주말 미들,  평일 마감) 스텝 구합니다.",시간 협의,월급,"9,160",7시간전
대구 남구,파스쿠찌 남산역점 마감 파트 채용 합니다,16:30~00:30,월급,"9,160",7시간전
