Place,Title,Time,Payday,Pay,Date
경기 부천시,부천/신중동/ 정직원 / 파트타임  / 홀서빙 /설거지  모집합니다.,13:00~23:30,월급,"3,000,000",1시간전
서울 동작구,팔각도 이수역점에서 주말 홀알바님 모집합니다.,18:00~22:30,월급,"9,500",4시간전
서울 동대문,주말.오전오후 홀써빙 알바구해요,시간 협의,월급,"9,500",4시간전
경기 부천시,부천/신중동/ 정직원 / 파트타임  / 홀서빙 /설거지  모집합니다.,13:00~23:30,월급,"3,000,000",05/23
강원 강릉시,팔각도(숯불닭갈비) 강릉유천점  월화수목  알바모집,17:00~22:00,월급,"11,000",05/20
경기 부천시,부천/신중동/ 정직원 / 파트타임  / 홀서빙 /설거지  모집합니다.,13:00~23:30,월급,"3,000,000",05/19
경기 화성시,팔각도 동탄북광장점 홀서빙/주6일(6시~11시) 170만원/시간요일 협의가능,18:00~23:00,월급,"1,700,000",05/16
경기 화성시,"팔각도 동탄북광장점 홀(5시~11시)/13,200원-초보 격하게 환영",시간 협의,월급,"13,200",05/16
경기 화성시,팔각도 동탄북광장점 홀 정직원 320/ 숙소 제공,12:00~23:00,월급,"3,200,000",05/16
경기 화성시,"팔각도 동탄북광장점에서 홀서빙,주방 직원,알바 급구/시급13,200원",시간 협의,월급,"13,200",05/16
서울 구로구,팔각도 신도림역 / 매니저 300 / 홀 주방 270 정직원 채용합니다.,14:00~23:00,월급,"3,000,000",05/16
서울 구로구,팔각도 신도림역 / 홀서빙 아르바이트 모집합니다.,18:00~22:30,월급,"11,000",05/16
서울 구로구,팔각도 신도림역 / 홀서빙 아르바이트 모집합니다.,18:00~22:30,월급,"11,000",05/16
서울 구로구,팔각도 신도림역 / 홀서빙 아르바이트 모집합니다.,18:00~22:30,월급,"11,000",05/16
서울 영등포,"팔각도 오목교역 / 점장 300 / 홀, 주방 270 정직원 채용합니다.",14:00~23:00,월급,"3,000,000",05/16
서울 영등포,"팔각도 오목교역 / 점장 300 / 홀, 주방 270 정직원 채용합니다.",14:00~23:00,월급,"3,000,000",05/16
서울 양천구,팔각도 목동점 매니저 300/홀 260/주방 270 정직원 채용합니다.,14:00~23:00,월급,"3,000,000",05/16
서울 양천구,팔각도 목동점 매니저 300/홀 260/주방 270 정직원 채용합니다.,14:00~23:00,월급,"3,000,000",05/16
경기 고양시,"팔각도 화정역점에서 홀직원,알바/주방알바 (280만원)",13:30~23:30,월급,"2,800,000",05/10
서울 강서구,"팔각도 발산역점에서 주방실장(290만원) 또는 직원, 홀 직원, 알바",11:30~22:00,월급,"2,900,000",05/10
경기 수원시,주방직원  및 홀직원 모셔요,14:00~12:00,월급,"3,000,000",05/10
경기 수원시,주방직원  및 홀직원 모셔요,14:00~12:00,월급,"3,000,000",05/10
경기 수원시,주방직원  및 홀직원 모셔요,14:00~12:00,월급,"3,000,000",05/10
경기 수원시,주방직원  및 홀직원 모셔요,14:00~12:00,월급,"3,000,000",05/10
경남 김해시,팔각도 김해율하점,15:00~23:00,월급,"2,800,000",05/10
경남 김해시,팔각도 김해율하점,15:00~23:00,월급,"2,800,000",05/10
경남 김해시,6월 오픈 팔각도 김해율하점 아르바이트,17:00~22:00,월급,"11,000",05/10
서울 동작구,팔각도 이수역점에서 홀직원 구합니다.,11:30~22:30,월급,"2,900,000",05/10
