Place,Title,Time,Payday,Pay,Date
서울 영등포,"프레드피자(영등포점) - 배달, 주방 직원 및 파트알바 모집합니다.",시간 협의,월급,"9,500",5분전
서울 영등포,"프레드피자(영등포점) - 배달, 주방 직원 및 파트알바 모집합니다.",시간 협의,월급,"9,500",5분전
서울 영등포,"프레드피자(영등포점) - 배달, 주방 직원 및 파트알바 모집합니다.",시간 협의,월급,"9,500",5분전
서울 영등포,"프레드피자(영등포점) - 배달, 주방 직원 및 파트알바 모집합니다.",시간 협의,월급,"9,500",5분전
부산 영도구,프레드피자 영도점 정직원 구합니다 : ),시간 협의,월급,"2,300,000",12분전
부산 영도구,프레드피자 영도점에서 함께하실 직원 구합니다 :-),17:30~02:30,월급,"9,200",12분전
부산 영도구,프레드피자 영도점에서 직원 구합니다 : ),17:30~02:30,월급,"9,200",12분전
부산 영도구,프레드피자 영도점에서 마감조구합니다 : ),17:30~02:30,월급,"9,200",12분전
경기 김포시,프레드피자 한강신도시점에서 같이 일 하실 파트타임 알바 모집합니다.,시간 협의,월급,"9,500",13분전
경기 김포시,프레드피자 한강신도시점에서 같이 일 하실 파트타임 알바 모집합니다.,시간 협의,월급,"9,500",13분전
경기 김포시,프레드피자 한강신도시점에서 같이 일 하실 파트타임 알바 모집합니다.,시간 협의,월급,"9,500",13분전
경기 김포시,프레드피자 한강신도시점에서 같이 일 하실 파트타임 알바 모집합니다.,시간 협의,월급,"9,500",13분전
부산 부산진,프레드피자 서면점 직원 공고,시간 협의,월급,"2,900,000",19분전
부산 부산진,프레드피자 서면점 직원 공고,시간 협의,월급,"10,000",19분전
부산 부산진,프레드피자 서면점 직원 공고,시간 협의,월급,"10,000",19분전
부산 부산진,프레드피자 서면점 직원 공고,시간 협의,월급,"2,900,000",19분전
울산 남구,피자관리및 메이킹,18:00~21:00,월급,"9,160",57분전
부산 강서구,피자관리및 메이킹,17:00~01:00,월급,"9,160",2시간전
부산 강서구,피자관리및 메이킹,17:00~01:00,월급,"9,160",3시간전
부산 강서구,피자관리및 메이킹,17:00~01:00,월급,"9,160",3시간전
서울 성북구,프레드피자 서울성북점 오픈직원 채용,10:00~19:00,월급,"2,200,000",4시간전
서울 성북구,프레드피자 서울성북점 오픈직원 채용,10:00~19:00,월급,"2,200,000",4시간전
서울 성북구,프레드피자 서울성북점 오픈직원 채용,10:00~19:00,월급,"2,200,000",4시간전
서울 성북구,프레드피자 서울성북점 오픈직원 채용,10:00~19:00,월급,"2,200,000",4시간전
전북 군산시,프레드피자 군산점 구인구직 알바&직원 구합니다.,17:30~00:30,월급,"9,500",4시간전
전북 군산시,프레드피자 군산점 구인구직 알바&직원 구합니다.,17:30~00:30,월급,"9,500",4시간전
전북 군산시,프레드피자 군산점 구인구직 알바&직원 구합니다.,17:30~00:30,월급,"9,500",4시간전
전북 군산시,프레드피자 군산점 구인구직 알바&직원 구합니다.,17:30~00:30,월급,"9,500",4시간전
부산 기장군,프레드피자 오시리아점 직원 구인구직,시간 협의,월급,"1,575,520",4시간전
부산 기장군,프레드피자 오시리아점 같이 일하실 직원분 구합니다.,시간 협의,월급,"1,575,520",4시간전
부산 기장군,프레드피자 오시리아점 구인구직,시간 협의,월급,"1,575,520",4시간전
부산 기장군,프레드피자 오시리아점 구인공고,시간 협의,월급,"1,575,520",4시간전
경기 수원시,프레드피자 수원장안점 정직원 및 아르바이트 모집합니다.,시간 협의,월급,"9,160",4시간전
경기 수원시,프레드피자 수원장안점 정직원 및 아르바이트 모집합니다.,시간 협의,월급,"9,160",4시간전
경기 수원시,프레드피자 수원장안점 정직원 및 아르바이트 모집합니다.,시간 협의,월급,"9,160",4시간전
경기 수원시,프레드피자 수원장안점 정직원 및 아르바이트 모집합니다.,시간 협의,월급,"9,160",4시간전
서울 구로구,프레드 피자 (금천점)에서 주말 파트타임 알바 모집합니다,17:30~00:30,월급,"11,500",4시간전
서울 금천구,프레드 피자 (금천점)에서 주말 파트타임 알바 모집합니다,17:30~00:30,월급,"11,500",4시간전
서울 금천구,프레드 피자 (금천점)에서 주말 파트타임 알바 모집합니다,17:30~00:30,월급,"11,500",4시간전
서울 금천구,프레드 피자 (금천점)에서 주말 파트타임 알바 모집합니다,17:30~00:30,월급,"11,500",4시간전
