Place,Title,Time,Payday,Pay,Date
서울 강남구,[주2일] 현대백화점 압구정본점 VIP라운지 바리스타 채용,09:30~18:30,월급,"9,880",1시간전
서울 영등포,[더현대 서울] 현대백화점 VIP라운지 바리스타 아르바이트 모집,09:30~18:30,월급,"9,680",1시간전
대구 동구,[주5일]현대시티아울렛 대구점 배송사무실(6월시작),10:00~19:00,월급,"9,200",2시간전
서울 강동구,"현대백화점 천호점 지원팀 사무보조, 저장물입고 출고 관리 등",14:00~17:00,월급,"9,200",2시간전
대구 동구,[주5일]현대시티아울렛 대구점 통합서비스데스크 고정AR모집(6월 근무시작),10:00~19:30,월급,"9,200",2시간전
서울 양천구,현대백화점목동점/기부물품 수령후 사은품지급 및 글라스하우스 업무보조/주말,10:00~19:30,월급,"9,200",2시간전
대구 중구,현대백화점 대구점 리사이클 이벤트 보조 아르바이트 모집(3개월 단위 계약),시간 협의,월급,"9,200",2시간전
경기 성남시,현대백화점 판교점 어린이미술관 안전 주5일 아르바이트 모집합니다,09:30~19:00,월급,"9,200",2시간전
서울 강동구,천호점 6/4(토)~6/6(월) 리빙아동팀 핸드빌배포,12:00~18:00,월급,"9,200",3시간전
부산 동구,[현대백화점 부산점] VIP라운지(자스민) 주방보조 주말아르바이트 채용,13:00~19:30,월급,"9,200",3시간전
경기 부천시,"[현대백화점 중동점] 자스민 라운지 단기 아르바이트 모집(금,토,일)",13:00~18:00,월급,"10,212",3시간전
서울 구로구,[주말] 디큐브시티 문화센터/사은물류 아르바이트 모집,09:30~19:00,월급,"9,200",4시간전
울산 동구,[현대백화점 울산동구점] 저장물관리 아르바이트 모집 (6/2~),09:30~15:00,월급,"9,200",20시간전
경기 성남시,현대백화점 판교점 이커머스 사무보조 평일 아르바이트 모집합니다,09:30~18:30,월급,"9,200",22시간전
대구 동구,[주5일]현대시티아울렛 대구점 배송사무실/통합서비스데스크/ (6월시작),10:00~19:30,월급,"9,200",22시간전
서울 송파구,[단기6/4-6/6]대시티몰 가든파이브점 룰렛이벤트 행사 알바,12:00~17:30,월급,"9,200",22시간전
서울 강남구,[현대백화점 무역센터점] 자스민라운지 바리스타아르바이트 모집(라떼아트가능자),09:30~19:00,월급,"10,000",05/23
대구 동구,[주5일]현대시티아울렛 대구점 통합서비스데스크/배송사무실 (6월시작),10:00~19:30,월급,"9,200",05/22
경기 성남시,현대백화점 판교점 VIP라운지 보조 아르바이트 모집합니다,10:00~19:30,월급,"9,200",05/22
경기 성남시,[현대백화점 판교점] 재경팀 회계파트 수불 육아휴직 대체 근무자 채용,10:00~19:00,월급,"2,276,667",05/21
서울 영등포,[더현대 서울] 현대백화점 회원서비스센터 아르바이트 모집,10:00~19:30,월급,"9,200",05/21
서울 송파구,"[토,일] 현대시티몰 통합서비스데스크 주말 고정AR 모집",10:00~18:00,월급,"9,200",05/21
서울 강남구,[주5일] 현대백화점 압구정본점 VIP라운지 바리스타 채용,09:30~18:30,월급,"9,880",05/21
충북 청주시,[급구] 현대백화점 충청점 주 5일 강의보조 장기 아르바이트 구인,09:00~18:30,월급,"9,200",05/21
서울 강남구,[꿀알바] 현대백화점 압구정본점 VIP라운지 탕비실보조 채용,09:30~18:30,월급,"10,000",05/20
경기 성남시,현대백화점 판교점 리사이클 주5일 아르바이트 구인합니다,10:00~20:00,월급,"9,200",05/20
서울 동대문,"[월-금AR] 현대시티아울렛 동대문점 통합데스크 (사은품지급,안내)",10:00~19:00,월급,"9,200",05/20
서울 강남구,[현대백화점 무역센터점] 문화센터 강의실보조 아르바이트 모집,09:00~18:30,월급,"9,200",05/19
서울 강남구,[현대백화점] 압구정본점 판매기획팀 통합 아르바이트 채용,10:00~19:30,월급,"9,200",05/17
충북 청주시,[급구] 현대백화점 충청점 기차 이벤트 단기 아르바이트 구인,12:30~18:30,월급,"10,000",05/17
충북 청주시,[급구] 현대백화점 충청점 라이딩존 아르바이트 구인,12:30~18:30,월급,"9,200",05/17
충북 청주시,[급구] 현대백화점 충청점 라이딩존 아르바이트 구인,12:30~18:30,월급,"9,200",05/17
경기 부천시,[현대백화점 중동점] 자스민 라운지 설거지 아르바이트 채용(장애인 채용),13:00~18:00,월급,"9,200",05/15
인천 연수구,[현대프리미엄아울렛] 송도점 사은데스크 행사 단기 아르바이트 모집,10:00~19:30,월급,"9,200",05/14
서울 영등포,[더현대 서울] 꿀알바 현대백화점 자스민 라운지 아르바이트 모집,10:00~19:00,월급,"9,680",05/14
서울 영등포,[더현대 서울] 꿀알바 현대백화점 사은데스크 아르바이트 모집,시간 협의,월급,"9,200",05/14
경기 김포시,주말알바/현대프리미엄아울렛김포점/사은데스크 보조 아르바이트,10:00~19:00,월급,"9,500",05/11
경기 김포시,주3일알바/현대프리미엄아울렛김포점/사은데스크 보조 아르바이트,10:00~19:00,월급,"9,500",05/11
서울 강남구,[현대백화점 무역센터점] 리사이클 캠페인 관리 아르바이트,10:30~19:30,월급,"10,000",05/09
경기 남양주,현대프리미엄아울렛 SPACE1 모카라이브러리 안내데스크,10:00~19:30,월급,"9,200",05/08
