Place,Title,Time,Payday,Pay,Date
서울 노원구,호치킨 노원역점에서 알바를 모집합니다.,시간 협의,월급,"10,000",7분전
경기 용인시,호치킨 죽전점에서 알바를 채용합니다,18:00~24:00,월급,"9,160",1시간전
경기 용인시,호치킨 죽전점에서 알바를 채용합니다,18:00~24:00,월급,"9,160",1시간전
경기 용인시,호치킨 죽전점에서 알바를 채용합니다,18:00~24:00,월급,"9,160",1시간전
경기 용인시,호치킨 죽전점에서 알바를 채용합니다,18:00~24:00,월급,"9,160",1시간전
경기 수원시,[호치킨 수원영통청명마을점] 주방보조 아르바이트 모집,18:30~23:00,월급,"9,300",1시간전
서울 마포구,홀서빙 알바 구인합니다.,17:30~24:00,월급,"10,000",2시간전
서울 노원구,호치킨 노원역점에서 알바를 모집합니다.,시간 협의,월급,"10,000",2시간전
서울 전체,[AJ토탈] 호치킨 길동역점 (직영점) 매장관리 모집,시간 협의,월급,"30,000,000",3시간전
경기 용인시,호치킨 용인 역북점에서 열정적인 직원  구합니다,16:00~01:30,월급,"2,600,000",3시간전
서울 구로구,호치킨 구일점에서 주방보조 아르바이트를 채용합니다,18:30~22:30,월급,"11,000",5시간전
서울 강동구,[호치킨 길동역1번출구점] 디너 아르바이트 구인합니다,시간 협의,월급,"9,160",7시간전
경기 용인시,호치킨 용인동천점에서 알바를 모집합니다.,18:30~23:00,월급,"9,160",8시간전
경기 용인시,호치킨 용인동천점에서 알바를 모집합니다.,18:30~22:00,월급,"9,160",8시간전
경기 용인시,호치킨 용인동천점에서 알바를 모집합니다.,18:30~22:00,월급,"9,160",8시간전
경기 용인시,호치킨 용인동천점에서 알바를 모집합니다.,18:30~22:00,월급,"9,160",8시간전
대전 전체,[AJ토탈] 호치킨 대전가장점 (직영점) 매장관리 직원 모집,시간 협의,월급,"30,000,000",8시간전
경기 광주시,"호치킨 남,여  직원 및 알바  구인",18:00~00:00,월급,"12,000",17시간전
경기 광주시,"호치킨 남,여  직원 및 알바  구인",18:00~00:00,월급,"12,000",17시간전
경기 광주시,"호치킨 남,여  직원 및 알바  구인",18:00~00:00,월급,"12,000",17시간전
서울 중랑구,호치킨[상봉역점]에서 직원을 모집합니다.,시간 협의,월급,"1,300,000",19시간전
서울 송파구,풍납동 호치킨 직원 구합니다. 주5일 10시간반 260만,15:30~02:00,월급,"2,600,000",19시간전
경기 하남시,호치킨 하남미사점 홀 직원모집합니다.,20:00~24:00,월급,"12,000",05/23
대전 전체,[AJ토탈] 호치킨 대전가장점 (직영점) 매장관리 직원 모집,시간 협의,월급,"30,000,000",05/23
서울 성동구,호치킨 한양대점 아르바이트 모집합니다,시간 협의,월급,"10,000",05/22
서울 노원구,호치킨 노원역점에서 알바를 모집합니다.,시간 협의,월급,"10,000",05/22
서울 양천구,호치킨 목2동시장점 에서  직원분 구해용,14:30~01:00,월급,"2,500,000",05/22
서울 양천구,호치킨 목2동시장점 주방및 홀 금토 알바구해용,20:00~01:00,월급,"10,000",05/22
경기 수원시,[호치킨 매탄] 평일(주4일)주방 17시00분부터24시00분 7시간,17:00~24:00,월급,"9,160",05/21
경기 용인시,[급구]호치킨 동백점에서 주4일 아르바이트(시급12000원)구합니다.,18:00~01:00,월급,"12,000",05/21
서울 노원구,호치킨 노원역점에서 알바를 모집합니다.,시간 협의,월급,"10,000",05/21
서울 송파구,풍납동 호치킨에서 직원 구합니다. 월급 320만원 홀서빙 시급11000원,15:30~02:00,월급,"3,200,000",05/21
경기 용인시,[급구]호치킨 동백점에서 직원 모집합니다.,18:00~01:00,월급,"2,000,000",05/19
경기 안양시,호치킨 안양성원점 금토(주2일) 아르바이트 구합니다.,18:30~23:00,월급,"9,500",05/17
경기 안양시,호치킨 안양성원점 금토(주2일) 아르바이트 구합니다.,18:30~23:00,월급,"9,500",05/15
인천 남동구,주방보조,18:00~22:00,월급,"10,500",05/14
경기 의정부,호치킨 회룡역  주방주말 (금토일)알바 모집합니다,13:00~01:00,월급,"10,992",05/12
경기 의정부,"호치킨  주방설거지 (금,토,일) 해주실분 모집합니다",22:00~01:00,월급,"9,500",05/12
대전 서구,[호치킨 대전가장점] 디너 아르바이트 구인합니다,시간 협의,월급,"9,160",05/10
